dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.629811,4.373374,0.000022,0.002183,0.109157,5.457863,0.000451
0.020000,1.629814,4.373374,0.000025,0.000142,-0.102080,-10.561839,0.000440
0.020000,1.629820,4.373374,0.000031,0.000318,0.008846,5.546273,0.000414
0.020000,1.629832,4.373374,0.000042,0.000566,0.012381,0.176745,0.000369
0.020000,1.629849,4.373374,0.000060,0.000884,0.015910,0.176478,0.000298
0.020000,1.629875,4.373374,0.000085,0.001273,0.019431,0.176042,0.000196
0.020000,1.629909,4.373374,0.000120,0.001732,0.022939,0.175393,0.000058
0.020000,1.630904,4.373374,0.001115,0.049749,2.400874,118.896745,6.283062
0.020000,1.632730,4.373373,0.002941,0.091276,2.076317,-16.227840,6.282834
0.020000,1.634984,4.373372,0.005194,0.112682,1.070341,-50.298809,6.282552
0.020000,1.637710,4.373370,0.007921,0.136339,1.182856,5.625758,6.282211
0.020000,1.640955,4.373366,0.011166,0.162247,1.295397,5.627062,6.281806
0.020000,1.644763,4.373360,0.014974,0.190405,1.407866,5.623433,6.281332
0.020000,1.649180,4.373351,0.019390,0.220810,1.520247,5.619046,6.280783
0.020000,1.654249,4.373337,0.024460,0.253460,1.632524,5.613853,6.280154
0.020000,1.660016,4.373317,0.030227,0.288356,1.744774,5.612517,6.279441
0.020000,1.666526,4.373290,0.036736,0.325493,1.856870,5.604804,6.278639
0.020000,1.673823,4.373254,0.044034,0.364871,1.968912,5.602089,6.277743
0.020000,1.681953,4.373206,0.052164,0.406487,2.080783,5.593527,6.276749
0.020000,1.690959,4.373143,0.061170,0.450336,2.192462,5.583961,6.275652
0.020000,1.700887,4.373062,0.071099,0.496418,2.304099,5.581846,6.274449
0.020000,1.711781,4.372960,0.081993,0.544727,2.415429,5.566483,6.273137
0.020000,1.723686,4.372832,0.093898,0.595259,2.526610,5.559068,6.271711
0.020000,1.736645,4.372673,0.106859,0.648012,2.637645,5.551772,6.270170
0.020000,1.750703,4.372478,0.120918,0.702978,2.748297,5.532571,6.268511
0.020000,1.765904,4.372242,0.136121,0.760153,2.858783,5.524293,6.266730
0.020000,1.782293,4.371956,0.152512,0.819533,2.968958,5.508754,6.264828
0.020000,1.799889,4.371615,0.170112,0.879985,3.022643,2.684261,6.262806
0.020000,1.818692,4.371212,0.188919,0.940384,3.019919,-0.136209,6.260667
0.020000,1.838701,4.370739,0.208934,1.000722,3.016927,-0.149591,6.258416
0.020000,1.859914,4.370188,0.230154,1.060999,3.013818,-0.155424,6.256059
0.020000,1.882329,4.369552,0.252578,1.121207,3.010433,-0.169289,6.253601
0.020000,1.905945,4.368823,0.276205,1.181346,3.006933,-0.175006,6.251047
0.020000,1.930759,4.367993,0.301033,1.241409,3.003124,-0.190438,6.248404
0.020000,1.956770,4.367052,0.327061,1.301392,2.999177,-0.197347,6.245678
0.020000,1.983975,4.365993,0.354287,1.361292,2.995020,-0.207863,6.242875
0.020000,2.012372,4.364806,0.382709,1.421105,2.990638,-0.219068,6.240003
0.020000,2.041959,4.363484,0.412325,1.480827,2.986069,-0.228489,6.237069
0.020000,2.072734,4.362018,0.443134,1.540452,2.981271,-0.239864,6.234081
0.020000,2.104692,4.360399,0.475134,1.599978,2.976298,-0.248675,6.231046
0.020000,2.137832,4.358618,0.508322,1.659400,2.971108,-0.259499,6.227972
0.020000,2.172151,4.356667,0.542696,1.718714,2.965695,-0.270631,6.224870
0.020000,2.207646,4.354539,0.578255,1.777916,2.960114,-0.279041,6.221746
0.020000,2.244291,4.352227,0.614972,1.835888,2.898561,-3.077672,6.218614
0.020000,2.282038,4.349727,0.652803,1.891513,2.781252,-5.865420,6.215484
0.020000,2.320841,4.347035,0.691698,1.944794,2.664067,-5.859275,6.212372
0.020000,2.360651,4.344149,0.731613,1.995734,2.547026,-5.852061,6.209288
0.020000,2.401422,4.341068,0.772500,2.044338,2.430156,-5.843473,6.206246
0.020000,2.443105,4.337791,0.814312,2.090607,2.313478,-5.833933,6.203257
0.020000,2.485655,4.334320,0.857003,2.134547,2.197013,-5.823236,6.200333
0.020000,2.529023,4.330656,0.900526,2.176163,2.080782,-5.811542,6.197486
0.020000,2.573165,4.326802,0.944835,2.215459,1.964809,-5.798643,6.194726
0.020000,2.618032,4.322762,0.989884,2.252441,1.849098,-5.785561,6.192064
0.020000,2.663579,4.318541,1.035627,2.287115,1.733685,-5.770628,6.189510
0.020000,2.709760,4.314145,1.082016,2.319486,1.618569,-5.755798,6.187073
0.020000,2.756529,4.309580,1.129007,2.349562,1.503773,-5.739800,6.184763
0.020000,2.803841,4.304856,1.176554,2.377348,1.389299,-5.723735,6.182588
0.020000,2.851650,4.299981,1.224611,2.402851,1.275180,-5.705937,6.180555
0.020000,2.899911,4.294964,1.273133,2.426079,1.161394,-5.689326,6.178673
0.020000,2.948581,4.289815,1.322074,2.447039,1.047985,-5.670446,6.176948
0.020000,2.997613,4.284547,1.371389,2.465738,0.934935,-5.652499,6.175386
0.020000,3.046965,4.279171,1.421032,2.482183,0.822261,-5.633668,6.173993
0.020000,3.096592,4.273699,1.470960,2.496382,0.709970,-5.614571,6.172774
0.020000,3.146450,4.268144,1.521127,2.508343,0.598062,-5.595387,6.171733
0.020000,3.196497,4.262521,1.571488,2.518074,0.486547,-5.575740,6.170875
0.020000,3.246688,4.256842,1.622000,2.525583,0.375431,-5.555833,6.170201
0.020000,3.296981,4.251122,1.672617,2.530877,0.264704,-5.536340,6.169716
0.020000,3.347334,4.245376,1.723297,2.533965,0.154383,-5.516026,6.169420
0.020000,3.397703,4.239617,1.773994,2.534854,0.044461,-5.496120,6.169315
0.020000,3.448025,4.233863,1.824644,2.532494,-0.117974,-8.121768,6.169401
0.020000,3.498237,4.228132,1.875182,2.526898,-0.279807,-8.091607,6.169678
0.020000,3.548296,4.222436,1.925564,2.519134,-0.388219,-5.420618,6.170145
0.020000,3.598162,4.216791,1.975749,2.509209,-0.496231,-5.400597,6.170799
0.020000,3.647792,4.211210,2.025691,2.497133,-0.603838,-5.380368,6.171639
0.020000,3.697144,4.205706,2.075349,2.482911,-0.711056,-5.360879,6.172662
0.020000,3.746178,4.200294,2.124680,2.466554,-0.817874,-5.340906,6.173863
0.020000,3.794850,4.194985,2.173642,2.448068,-0.924300,-5.321296,6.175238
0.020000,3.843121,4.189791,2.222191,2.427461,-1.030341,-5.302067,6.176782
0.020000,3.890948,4.184723,2.270286,2.404741,-1.136001,-5.282982,6.178489
0.020000,3.938290,4.179792,2.317884,2.379915,-1.241285,-5.264225,6.180354
0.020000,3.985106,4.175008,2.364944,2.352991,-1.346206,-5.246025,6.182370
0.020000,4.031355,4.170379,2.411424,2.323976,-1.450758,-5.227633,6.184529
0.020000,4.076994,4.165914,2.457281,2.292877,-1.554967,-5.210430,6.186823
0.020000,4.121984,4.161620,2.502475,2.259700,-1.658823,-5.192786,6.189244
0.020000,4.166282,4.157502,2.546964,2.224453,-1.762364,-5.177047,6.191783
0.020000,4.209847,4.153567,2.590707,2.187142,-1.865575,-5.160549,6.194430
