dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.629924,4.123374,0.000022,0.002183,0.109157,5.457863,0.000451
0.020000,1.629924,4.123374,0.000109,0.006549,0.218315,5.457863,0.000440
0.020000,1.629924,4.123374,0.000306,0.013099,0.327472,5.457863,0.000414
0.020000,1.629924,4.123374,0.000655,0.021831,0.436629,5.457863,0.000369
0.020000,1.629924,4.123374,0.001201,0.032747,0.545786,5.457863,0.000298
0.020000,1.629924,4.123374,0.001987,0.045846,0.654944,5.457863,0.000196
0.020000,1.629924,4.123374,0.003056,0.061128,0.764101,5.457863,0.000058
0.020000,1.630874,4.123374,0.004454,0.078593,0.873258,5.457863,6.283062
0.020000,1.632642,4.123373,0.006222,0.098242,0.982415,5.457863,6.282834
0.020000,1.634825,4.123372,0.008405,0.120073,1.091573,5.457863,6.282552
0.020000,1.637467,4.123370,0.011047,0.144088,1.200730,5.457863,6.282211
0.020000,1.640611,4.123367,0.014190,0.170285,1.309887,5.457863,6.281806
0.020000,1.644300,4.123361,0.017880,0.198666,1.419044,5.457863,6.281332
0.020000,1.648579,4.123351,0.022159,0.229230,1.528202,5.457863,6.280783
0.020000,1.653491,4.123338,0.027071,0.261977,1.637359,5.457863,6.280154
0.020000,1.659080,4.123319,0.032660,0.296908,1.746516,5.457863,6.279441
0.020000,1.665389,4.123293,0.038969,0.334021,1.855673,5.457863,6.278639
0.020000,1.672462,4.123258,0.046043,0.373318,1.964831,5.457863,6.277743
0.020000,1.680343,4.123211,0.053924,0.414798,2.073988,5.457863,6.276749
0.020000,1.689076,4.123150,0.062656,0.458460,2.183145,5.457863,6.275652
0.020000,1.698703,4.123072,0.072284,0.504307,2.292302,5.457863,6.274449
0.020000,1.709269,4.122972,0.082850,0.552336,2.401460,5.457863,6.273137
0.020000,1.720817,4.122848,0.094399,0.602548,2.510617,5.457863,6.271711
0.020000,1.733391,4.122694,0.106974,0.654944,2.619774,5.457863,6.270170
0.020000,1.747035,4.122505,0.120619,0.709522,2.728931,5.457863,6.268511
0.020000,1.761791,4.122275,0.135377,0.766284,2.838089,5.457863,6.266730
0.020000,1.777704,4.121998,0.151292,0.825229,2.947246,5.457863,6.264828
0.020000,1.794794,4.121667,0.168386,0.884174,2.947246,0.000000,6.262806
0.020000,1.813063,4.121275,0.186659,0.943119,2.947246,-0.000000,6.260667
0.020000,1.832509,4.120815,0.206111,1.002064,2.947246,0.000000,6.258416
0.020000,1.853133,4.120280,0.226741,1.061009,2.947246,0.000000,6.256059
0.020000,1.874934,4.119662,0.248551,1.119953,2.947246,-0.000000,6.253601
0.020000,1.897912,4.118952,0.271540,1.178898,2.947246,0.000000,6.251047
0.020000,1.922066,4.118144,0.295707,1.237843,2.947246,0.000000,6.248404
0.020000,1.947395,4.117228,0.321053,1.296788,2.947246,0.000000,6.245678
0.020000,1.973900,4.116196,0.347579,1.355733,2.947246,0.000000,6.242875
0.020000,2.001580,4.115039,0.375283,1.414678,2.947246,-0.000000,6.240003
0.020000,2.030435,4.113750,0.404166,1.473623,2.947246,0.000000,6.237069
0.020000,2.060462,4.112319,0.434228,1.532568,2.947246,0.000000,6.234081
0.020000,2.091663,4.110738,0.465468,1.591513,2.947246,-0.000000,6.231046
0.020000,2.124036,4.108999,0.497888,1.650458,2.947246,0.000000,6.227972
0.020000,2.157581,4.107092,0.531487,1.709403,2.947246,0.000000,6.224870
0.020000,2.192296,4.105011,0.566264,1.768348,2.947246,0.000000,6.221746
0.020000,2.228159,4.102748,0.602199,1.825109,2.838089,-5.457863,6.218614
0.020000,2.265126,4.100299,0.639247,1.879688,2.728931,-5.457863,6.215484
0.020000,2.303152,4.097661,0.677364,1.932083,2.619774,-5.457863,6.212372
0.020000,2.342194,4.094831,0.716508,1.982296,2.510617,-5.457863,6.209288
0.020000,2.382206,4.091807,0.756634,2.030325,2.401460,-5.457863,6.206246
0.020000,2.423144,4.088589,0.797699,2.076171,2.292302,-5.457863,6.203257
0.020000,2.464965,4.085177,0.839659,2.119834,2.183145,-5.457863,6.200333
0.020000,2.507625,4.081573,0.882471,2.161314,2.073988,-5.457863,6.197486
0.020000,2.551079,4.077779,0.926090,2.200610,1.964831,-5.457863,6.194726
0.020000,2.595283,4.073799,0.970474,2.237724,1.855673,-5.457863,6.192064
0.020000,2.640195,4.069637,1.015577,2.272654,1.746516,-5.457863,6.189510
0.020000,2.685769,4.065298,1.061358,2.305401,1.637359,-5.457863,6.187073
0.020000,2.731963,4.060790,1.107772,2.335965,1.528202,-5.457863,6.184763
0.020000,2.778734,4.056120,1.154775,2.364346,1.419044,-5.457863,6.182588
0.020000,2.826037,4.051296,1.202324,2.390544,1.309887,-5.457863,6.180555
0.020000,2.873831,4.046328,1.250375,2.414559,1.200730,-5.457863,6.178673
0.020000,2.922071,4.041225,1.298884,2.436390,1.091573,-5.457863,6.176948
0.020000,2.970716,4.035998,1.347808,2.456038,0.982415,-5.457863,6.175386
0.020000,3.019721,4.030660,1.397104,2.473503,0.873258,-5.457863,6.173993
0.020000,3.069045,4.025221,1.446727,2.488786,0.764101,-5.457863,6.172774
0.020000,3.118645,4.019695,1.496633,2.501884,0.654944,-5.457863,6.171733
0.020000,3.168478,4.014096,1.546780,2.512800,0.545786,-5.457863,6.170875
0.020000,3.218502,4.008436,1.597124,2.521533,0.436629,-5.457863,6.170201
0.020000,3.268675,4.002730,1.647620,2.528082,0.327472,-5.457863,6.169716
0.020000,3.318954,3.996992,1.698225,2.532448,0.218315,-5.457863,6.169420
0.020000,3.369297,3.991236,1.748896,2.534632,0.109157,-5.457863,6.169315
0.020000,3.419640,3.985480,1.799567,2.532513,-0.105929,-10.754317,6.169401
0.020000,3.469921,3.979740,1.850174,2.528211,-0.215086,-5.457863,6.169678
0.020000,3.520097,3.974031,1.900674,2.521726,-0.324244,-5.457863,6.170145
0.020000,3.570125,3.968368,1.951022,2.513058,-0.433401,-5.457863,6.170799
0.020000,3.619963,3.962763,2.001174,2.502207,-0.542558,-5.457863,6.171639
0.020000,3.669570,3.957232,2.051088,2.489173,-0.651715,-5.457863,6.172662
0.020000,3.718901,3.951786,2.100719,2.473955,-0.760873,-5.457863,6.173863
0.020000,3.767916,3.946440,2.150025,2.456555,-0.870030,-5.457863,6.175238
0.020000,3.816570,3.941205,2.198960,2.436971,-0.979187,-5.457863,6.176782
0.020000,3.864822,3.936092,2.247482,2.415204,-1.088344,-5.457863,6.178489
