dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.630037,3.873374,0.000022,0.002183,0.109157,5.457863,0.000451
0.020000,1.630034,3.873374,0.000025,0.000142,-0.102080,-10.561839,0.000440
0.020000,1.630027,3.873374,0.000031,0.000318,0.008846,5.546273,0.000414
0.020000,1.630016,3.873374,0.000042,0.000566,0.012381,0.176745,0.000369
0.020000,1.629998,3.873374,0.000060,0.000884,0.015910,0.176478,0.000298
0.020000,1.629973,3.873374,0.000085,0.001273,0.019431,0.176042,0.000196
0.020000,1.629938,3.873374,0.000120,0.001732,0.022939,0.175393,0.000058
0.020000,1.630843,3.873374,0.001025,0.045229,2.174843,107.595204,6.283062
0.020000,1.632554,3.873373,0.002736,0.085559,2.016526,-7.915869,6.282834
0.020000,1.634667,3.873372,0.004849,0.105633,1.003673,-50.642623,6.282552
0.020000,1.637223,3.873370,0.007405,0.127820,1.109394,5.286020,6.282211
0.020000,1.640266,3.873367,0.010447,0.152125,1.215228,5.291730,6.281806
0.020000,1.643837,3.873361,0.014018,0.178547,1.321103,5.293717,6.281332
0.020000,1.647978,3.873352,0.018160,0.207087,1.427022,5.295979,6.280783
0.020000,1.652733,3.873339,0.022915,0.237747,1.532993,5.298557,6.280154
0.020000,1.658144,3.873321,0.028326,0.270530,1.639112,5.305914,6.279441
0.020000,1.664253,3.873296,0.034434,0.305435,1.745282,5.308540,6.278639
0.020000,1.671102,3.873261,0.041284,0.342468,1.851626,5.317196,6.277743
0.020000,1.678734,3.873216,0.048916,0.381629,1.958062,5.321803,6.276749
0.020000,1.687192,3.873157,0.057375,0.422921,2.064602,5.326994,6.275652
0.020000,1.696519,3.873081,0.066702,0.466349,2.171419,5.340810,6.274449
0.020000,1.706757,3.872985,0.076940,0.511915,2.278297,5.343910,6.273137
0.020000,1.717949,3.872864,0.088133,0.559624,2.385423,5.356299,6.271711
0.020000,1.730138,3.872715,0.100322,0.609481,2.492837,5.370734,6.270170
0.020000,1.743366,3.872532,0.113552,0.661488,2.600357,5.376004,6.268511
0.020000,1.757677,3.872309,0.127865,0.715652,2.708231,5.393681,6.266730
0.020000,1.773115,3.872040,0.143305,0.771980,2.816367,5.406772,6.264828
0.020000,1.789700,3.871719,0.159893,0.829417,2.871844,2.773855,6.262806
0.020000,1.807434,3.871339,0.177631,0.886909,2.874612,0.138439,6.260667
0.020000,1.826318,3.870892,0.196520,0.944459,2.877517,0.145208,6.258416
0.020000,1.846353,3.870372,0.216562,1.002073,2.880701,0.159227,6.256059
0.020000,1.867539,3.869771,0.237757,1.059753,2.884017,0.165782,6.253601
0.020000,1.889879,3.869081,0.260107,1.117506,2.887619,0.180137,6.251047
0.020000,1.913372,3.868295,0.283614,1.175332,2.891327,0.185395,6.248404
0.020000,1.938021,3.867404,0.308278,1.233238,2.895303,0.198779,6.245678
0.020000,1.963826,3.866399,0.334103,1.291228,2.899479,0.208802,6.242875
0.020000,1.990788,3.865273,0.361089,1.349305,2.903843,0.218196,6.240003
0.020000,2.018910,3.864016,0.389238,1.407473,2.908429,0.229284,6.237069
0.020000,2.048191,3.862621,0.418553,1.465737,2.913198,0.238493,6.234081
0.020000,2.078634,3.861078,0.449035,1.524101,2.918200,0.250094,6.231046
0.020000,2.110240,3.859380,0.480687,1.582569,2.923395,0.259711,6.227972
0.020000,2.143010,3.857517,0.513509,1.641145,2.928773,0.268936,6.224870
0.020000,2.176946,3.855483,0.547506,1.699833,2.934386,0.280642,6.221746
0.020000,2.212027,3.853269,0.582657,1.757568,2.886771,-2.380757,6.218614
0.020000,2.248214,3.850872,0.618923,1.813283,2.785764,-5.050351,6.215484
0.020000,2.285464,3.848288,0.656263,1.866976,2.684638,-5.056321,6.212372
0.020000,2.323736,3.845513,0.694636,1.918643,2.583364,-5.063697,6.209288
0.020000,2.362990,3.842547,0.734001,1.968282,2.481922,-5.072086,6.206246
0.020000,2.403184,3.839387,0.774319,2.015887,2.380286,-5.081788,6.203257
0.020000,2.444276,3.836035,0.815548,2.061456,2.278436,-5.092493,6.200333
0.020000,2.486226,3.832491,0.857648,2.104983,2.176352,-5.104235,6.197486
0.020000,2.528993,3.828757,0.900577,2.146464,2.074018,-5.116689,6.194726
0.020000,2.572535,3.824836,0.944295,2.185892,1.971403,-5.130719,6.192064
0.020000,2.616810,3.820733,0.988760,2.223262,1.868512,-5.144580,6.189510
0.020000,2.661778,3.816452,1.033931,2.258568,1.765311,-5.160035,6.187073
0.020000,2.707398,3.812000,1.079767,2.291804,1.661797,-5.175728,6.184763
0.020000,2.753627,3.807384,1.126227,2.322963,1.557944,-5.192602,6.182588
0.020000,2.800425,3.802612,1.173267,2.352038,1.453766,-5.208909,6.180555
0.020000,2.847750,3.797692,1.220848,2.379023,1.349219,-5.227387,6.178673
0.020000,2.895562,3.792634,1.268926,2.403909,1.244328,-5.244541,6.176948
0.020000,2.943818,3.787449,1.317460,2.426690,1.139060,-5.263402,6.175386
0.020000,2.992477,3.782148,1.366407,2.447359,1.033418,-5.282090,6.173993
0.020000,3.041498,3.776743,1.415725,2.465907,0.927396,-5.301118,6.172774
0.020000,3.090839,3.771246,1.465372,2.482326,0.820984,-5.320578,6.171733
0.020000,3.140459,3.765671,1.515304,2.496610,0.714184,-5.340018,6.170875
0.020000,3.190316,3.760030,1.565479,2.508750,0.606992,-5.359564,6.170201
0.020000,3.240368,3.754338,1.615854,2.518738,0.499396,-5.379818,6.169716
0.020000,3.290574,3.748608,1.666385,2.526566,0.391406,-5.399491,6.169420
0.020000,3.340891,3.742855,1.717030,2.532226,0.283011,-5.419746,6.169315
0.020000,3.391255,3.737097,1.767723,2.534650,0.121203,-8.090430,6.169401
0.020000,3.441605,3.731349,1.818399,2.533826,-0.041209,-8.120605,6.169678
0.020000,3.491897,3.725627,1.869015,2.530804,-0.151112,-5.495146,6.170145
0.020000,3.542087,3.719945,1.919527,2.525575,-0.261418,-5.515287,6.170799
0.020000,3.592135,3.714317,1.969889,2.518133,-0.372119,-5.535041,6.171639
0.020000,3.641995,3.708757,2.020059,2.508468,-0.483225,-5.555306,6.172662
0.020000,3.691625,3.703279,2.069990,2.496574,-0.594721,-5.574783,6.173863
0.020000,3.740981,3.697895,2.119639,2.482442,-0.706606,-5.594259,6.175238
0.020000,3.790019,3.692618,2.168960,2.466064,-0.818879,-5.613678,6.176782
0.020000,3.838695,3.687461,2.217909,2.447434,-0.931534,-5.632722,6.178489
0.020000,3.886965,3.682433,2.266440,2.426542,-1.044564,-5.651488,6.180354
0.020000,3.934784,3.677547,2.314507,2.403383,-1.157966,-5.670119,6.182370
0.020000,3.982106,3.672811,2.362066,2.377949,-1.271721,-5.687749,6.184529
0.020000,4.028888,3.668234,2.409071,2.350232,-1.385835,-5.705679,6.186823
0.020000,4.075082,3.663825,2.455476,2.320226,-1.500277,-5.722129,6.189244
0.020000,4.120644,3.659590,2.501234,2.287925,-1.615065,-5.739383,6.191783
0.020000,4.165528,3.655535,2.546301,2.253322,-1.730157,-5.754584,6.194430
0.020000,4.209687,3.651666,2.590629,2.216411,-1.845563,-5.770331,6.197176
0.020000,4.253075,3.647986,2.634172,2.177186,-1.961249,-5.784272,6.200009
0.020000,4.295645,3.644499,2.676885,2.135642,-2.077211,-5.798113,6.202920
0.020000,4.337351,3.641206,2.718721,2.091773,-2.193425,-5.810696,6.205896
0.020000,4.378145,3.638109,2.759632,2.045576,-2.309874,-5.822455,6.208926
0.020000,4.417980,3.635207,2.799573,1.997045,-2.426537,-5.833182,6.211998
0.020000,4.456810,3.632498,2.838497,1.946177,-2.543397,-5.842960,6.215100
0.020000,4.494585,3.629981,2.876356,1.892968,-2.660425,-5.851436,6.218220
0.020000,4.531260,3.627652,2.913104,1.837416,-2.777595,-5.858487,6.221343
0.020000,4.566785,3.625508,2.948695,1.779519,-2.894897,-5.865082,6.224458
0.020000,4.601136,3.623541,2.983102,1.720357,-2.958090,-3.159655,6.227552
0.020000,4.634309,3.621744,3.016323,1.661050,-2.965339,-0.362479,6.230618
0.020000,4.666300,3.620110,3.048356,1.601635,-2.970743,-0.270198,6.233646
0.020000,4.697106,3.618628,3.079198,1.542116,-2.975937,-0.259696,6.236628
0.020000,4.726726,3.617291,3.108848,1.482497,-2.980941,-0.250184,6.239557
0.020000,4.755156,3.616091,3.137304,1.422783,-2.985721,-0.238993,6.242424
0.020000,4.782395,3.615018,3.164563,1.362977,-2.990296,-0.228738,6.245221
0.020000,4.808439,3.614064,3.190625,1.303083,-2.994712,-0.220836,6.247943
0.020000,4.833287,3.613221,3.215487,1.243106,-2.998848,-0.206771,6.250583
0.020000,4.856936,3.612480,3.239148,1.183049,-3.002832,-0.199232,6.253133
0.020000,4.879385,3.611832,3.261606,1.122918,-3.006584,-0.187601,6.255589
0.020000,4.900632,3.611271,3.282860,1.062714,-3.010164,-0.178997,6.257944
0.020000,4.920675,3.610787,3.302909,1.002444,-3.013530,-0.168285,6.260192
0.020000,4.939513,3.610374,3.321752,0.942111,-3.016641,-0.155526,6.262330
0.020000,4.957144,3.610024,3.339386,0.881718,-3.019630,-0.149478,6.264352
0.020000,4.973567,3.609731,3.355811,0.821271,-3.022362,-0.136603,6.266254
0.020000,4.988802,3.609486,3.371049,0.761863,-2.970381,2.599052,6.268034
0.020000,5.002893,3.609284,3.385141,0.704626,-2.861855,5.426311,6.269693
0.020000,5.015884,3.609119,3.398133,0.649598,-2.751402,5.522668,6.271235
0.020000,5.027819,3.608985,3.410069,0.596783,-2.640747,5.532711,6.272661
0.020000,5.038742,3.608877,3.420993,0.546188,-2.529745,5.550128,6.273974
0.020000,5.048698,3.608791,3.430949,0.497817,-2.418564,5.559038,6.275178
0.020000,5.057731,3.608724,3.439982,0.451672,-2.307269,5.564750,6.276275
0.020000,5.065886,3.608672,3.448138,0.407759,-2.195623,5.582299,6.277271
0.020000,5.073208,3.608632,3.455459,0.366080,-2.083957,5.583313,6.278168
0.020000,5.079740,3.608602,3.461992,0.326638,-1.972099,5.592893,6.278972
0.020000,5.085529,3.608579,3.467781,0.289437,-1.860069,5.601471,6.279686
0.020000,5.090619,3.608563,3.472870,0.254477,-1.747997,5.603625,6.280316
0.020000,5.095054,3.608552,3.477305,0.221762,-1.635742,5.612731,6.280866
0.020000,5.098880,3.608544,3.481131,0.191293,-1.523475,5.613345,6.281342
0.020000,5.102141,3.608538,3.484393,0.163070,-1.411104,5.618554,6.281748
0.020000,5.104883,3.608535,3.487135,0.137098,-1.298645,5.622957,6.282090
0.020000,5.107151,3.608533,3.489402,0.113375,-1.186113,5.626603,6.282373
0.020000,5.108989,3.608531,3.491240,0.091903,-1.073611,5.625118,6.282603
0.020000,5.110442,3.608531,3.492694,0.072683,-0.960984,5.631316,6.282785
0.020000,5.111557,3.608530,3.493808,0.055715,-0.848427,5.627853,6.282924
0.020000,5.112377,3.608530,3.494628,0.041000,-0.735725,5.635131,6.283027
0.020000,5.112947,3.608530,3.495199,0.028539,-0.623082,5.632118,6.283098
0.020000,5.113314,3.608530,3.495566,0.018330,-0.510420,5.633134,6.283144
0.020000,5.113521,3.608530,3.495773,0.010375,-0.397743,5.633820,6.283170
0.020000,5.113615,3.608530,3.495867,0.004674,-0.285059,5.634240,6.283182
0.020000,5.113639,3.608530,3.495891,0.001227,-0.172369,5.634462,6.283185
0.020000,5.113640,3.608530,3.495892,0.000033,-0.059678,5.634549,6.283185
0.020000,5.113640,3.608530,3.495892,0.000000,-0.001666,2.900601,6.283185
