dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.609680,4.353001,0.000022,0.002193,0.109627,5.481338,6.282669
0.020000,1.609677,4.353001,0.000025,0.000162,-0.101550,-10.558820,6.282682
0.020000,1.609670,4.353001,0.000032,0.000363,0.010095,5.582233,6.282711
0.020000,1.609657,4.353001,0.000045,0.000646,0.014129,0.201705,6.282762
0.020000,1.609637,4.353001,0.000066,0.001009,0.018157,0.201405,6.282843
0.020000,1.609608,4.353001,0.000095,0.001453,0.022176,0.200914,6.282959
0.020000,1.609568,4.353001,0.000134,0.001976,0.026179,0.200184,6.283117
0.020000,1.610459,4.353001,0.001025,0.044523,2.127331,105.057581,0.000139
0.020000,1.612169,4.353002,0.002735,0.085536,2.050638,-3.834641,0.000399
0.020000,1.614282,4.353003,0.004847,0.105604,1.003423,-52.360757,0.000721
0.020000,1.616837,4.353005,0.007403,0.127786,1.109119,5.284826,0.001110
0.020000,1.619879,4.353009,0.010445,0.152086,1.214956,5.291817,0.001572
0.020000,1.623449,4.353016,0.014015,0.178502,1.320834,5.293894,0.002114
0.020000,1.627590,4.353026,0.018156,0.207037,1.426758,5.296236,0.002740
0.020000,1.632344,4.353041,0.022909,0.237692,1.532736,5.298890,0.003458
0.020000,1.637753,4.353062,0.028319,0.270470,1.638880,5.307171,0.004272
0.020000,1.643860,4.353091,0.034426,0.305372,1.745091,5.310573,0.005188
0.020000,1.650708,4.353130,0.041274,0.342402,1.851501,5.320485,0.006211
0.020000,1.658339,4.353181,0.048906,0.381562,1.958007,5.325313,0.007346
0.020000,1.666796,4.353249,0.057363,0.422854,2.064622,5.330767,0.008598
0.020000,1.676121,4.353335,0.066688,0.466285,2.171549,5.346331,0.009972
0.020000,1.686358,4.353445,0.076925,0.511856,2.278562,5.350673,0.011471
0.020000,1.697549,4.353583,0.088117,0.559573,2.385848,5.364270,0.013099
0.020000,1.709736,4.353753,0.100306,0.609442,2.493443,5.379779,0.014860
0.020000,1.722964,4.353962,0.113535,0.661466,2.601188,5.387212,0.016756
0.020000,1.737275,4.354217,0.127848,0.715652,2.709325,5.406878,0.018790
0.020000,1.752712,4.354523,0.143288,0.772007,2.817719,5.419707,0.020963
0.020000,1.769297,4.354890,0.159878,0.829478,2.873578,2.792928,0.023275
0.020000,1.787032,4.355325,0.177618,0.887012,2.876671,0.154649,0.025720
0.020000,1.805917,4.355835,0.196510,0.944612,2.880000,0.166444,0.028293
0.020000,1.825954,4.356429,0.216556,1.002283,2.883560,0.178013,0.030989
0.020000,1.847144,4.357116,0.237757,1.060030,2.887358,0.189887,0.033800
0.020000,1.869487,4.357904,0.260114,1.117859,2.891421,0.203146,0.036721
0.020000,1.892985,4.358803,0.283629,1.175772,2.895670,0.212444,0.039744
0.020000,1.917640,4.359822,0.308305,1.233776,2.900200,0.226517,0.042864
0.020000,1.943452,4.360971,0.334142,1.291874,2.904917,0.235850,0.046071
0.020000,1.970422,4.362259,0.361144,1.350073,2.909945,0.251402,0.049358
0.020000,1.998553,4.363696,0.389311,1.408376,2.915155,0.260491,0.052717
0.020000,2.027846,4.365292,0.418647,1.466789,2.920611,0.272828,0.056138
0.020000,2.058301,4.367057,0.449153,1.525315,2.926316,0.285239,0.059614
0.020000,2.089920,4.369000,0.480832,1.583960,2.932247,0.296532,0.063134
0.020000,2.122706,4.371132,0.513687,1.642729,2.938440,0.309665,0.066688
0.020000,2.156658,4.373461,0.547720,1.701625,2.944826,0.319318,0.070266
0.020000,2.191759,4.375995,0.582911,1.759585,2.897999,-2.341371,0.073856
0.020000,2.227966,4.378739,0.619222,1.815539,2.797709,-5.014481,0.077442
0.020000,2.265238,4.381699,0.656612,1.869485,2.697280,-5.021479,0.081010
0.020000,2.303535,4.384877,0.695040,1.921419,2.596687,-5.029651,0.084545
0.020000,2.342815,4.388275,0.734467,1.971337,2.495896,-5.039536,0.088033
