dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.609551,4.103001,0.000022,0.002193,0.109627,5.481338,6.282669
0.020000,1.609551,4.103001,0.000110,0.006578,0.219254,5.481338,6.282682
0.020000,1.609551,4.103001,0.000307,0.013155,0.328880,5.481338,6.282711
0.020000,1.609551,4.103001,0.000658,0.021925,0.438507,5.481338,6.282762
0.020000,1.609551,4.103001,0.001206,0.032888,0.548134,5.481338,6.282843
0.020000,1.609551,4.103001,0.001995,0.046043,0.657761,5.481338,6.282959
0.020000,1.609551,4.103001,0.003070,0.061391,0.767387,5.481338,6.283117
0.020000,1.610493,4.103001,0.004473,0.078931,0.877014,5.481338,0.000139
0.020000,1.612269,4.103002,0.006249,0.098664,0.986641,5.481338,0.000399
0.020000,1.614462,4.103003,0.008441,0.120589,1.096268,5.481338,0.000721
0.020000,1.617115,4.103005,0.011094,0.144707,1.205894,5.481338,0.001110
0.020000,1.620272,4.103010,0.014251,0.171018,1.315521,5.481338,0.001572
0.020000,1.623977,4.103017,0.017957,0.199521,1.425148,5.481338,0.002114
0.020000,1.628275,4.103027,0.022254,0.230216,1.534775,5.481338,0.002740
0.020000,1.633208,4.103042,0.027187,0.263104,1.644402,5.481338,0.003458
0.020000,1.638821,4.103064,0.032800,0.298185,1.754028,5.481338,0.004272
0.020000,1.645157,4.103094,0.039137,0.335458,1.863655,5.481338,0.005188
0.020000,1.652261,4.103134,0.046241,0.374924,1.973282,5.481338,0.006211
0.020000,1.660176,4.103188,0.054156,0.416582,2.082909,5.481338,0.007346
0.020000,1.668946,4.103258,0.062926,0.460432,2.192535,5.481338,0.008598
0.020000,1.678614,4.103348,0.072595,0.506476,2.302162,5.481338,0.009972
0.020000,1.689226,4.103462,0.083207,0.554711,2.411789,5.481338,0.011471
0.020000,1.700823,4.103604,0.094805,0.605140,2.521416,5.481338,0.013099
0.020000,1.713451,4.103781,0.107434,0.657761,2.631042,5.481338,0.014860
0.020000,1.727153,4.103997,0.121138,0.712574,2.740669,5.481338,0.016756
0.020000,1.741972,4.104261,0.135959,0.769580,2.850296,5.481338,0.018790
0.020000,1.757952,4.104578,0.151943,0.828778,2.959923,5.481338,0.020963
0.020000,1.775116,4.104958,0.169110,0.887977,2.959923,0.000000,0.023275
0.020000,1.793462,4.105408,0.187462,0.947175,2.959923,-0.000000,0.025720
