dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.609422,3.853001,0.000022,0.002193,0.109627,5.481338,6.282669
0.020000,1.609425,3.853001,0.000025,0.000162,-0.101550,-10.558820,6.282682
0.020000,1.609433,3.853001,0.000032,0.000363,0.010095,5.582233,6.282711
0.020000,1.609446,3.853001,0.000045,0.000646,0.014129,0.201705,6.282762
0.020000,1.609466,3.853001,0.000066,0.001009,0.018157,0.201405,6.282843
0.020000,1.609495,3.853001,0.000095,0.001453,0.022176,0.200914,6.282959
0.020000,1.609534,3.853001,0.000134,0.001976,0.026179,0.200184,6.283117
0.020000,1.610528,3.853001,0.001128,0.049682,2.385286,117.955351,0.000139
0.020000,1.612369,3.853002,0.002969,0.092060,2.118879,-13.320357,0.000399
0.020000,1.614642,3.853003,0.005242,0.113650,1.079517,-51.968120,0.000721
0.020000,1.617392,3.853006,0.007992,0.137509,1.192973,5.672811,0.001110
0.020000,1.620665,3.853010,0.011265,0.163639,1.306472,5.674951,0.001572
0.020000,1.624506,3.853017,0.015106,0.192037,1.419886,5.670720,0.002114
0.020000,1.628960,3.853028,0.019560,0.222700,1.533198,5.665586,0.002740
0.020000,1.634072,3.853044,0.024672,0.255628,1.646388,5.659496,0.003458
0.020000,1.639889,3.853066,0.030489,0.290819,1.759549,5.658058,0.004272
0.020000,1.646454,3.853097,0.037054,0.328270,1.872546,5.649859,0.005188
0.020000,1.653814,3.853139,0.044414,0.367980,1.985487,5.647034,0.006211
0.020000,1.662012,3.853195,0.052612,0.409944,2.098227,5.637003,0.007346
0.020000,1.671095,3.853267,0.061696,0.454159,2.210743,5.625789,0.008598
0.020000,1.681107,3.853360,0.071708,0.500624,2.323212,5.623452,0.009972
0.020000,1.692093,3.853478,0.082695,0.549331,2.435351,5.606957,0.011471
0.020000,1.704098,3.853626,0.094700,0.600277,2.547314,5.598171,0.013099
0.020000,1.717166,3.853808,0.107769,0.653459,2.659096,5.589068,0.014860
0.020000,1.731341,3.854032,0.121947,0.708868,2.770472,5.568813,0.016756
0.020000,1.746669,3.854305,0.137277,0.766501,2.881653,5.559050,0.018790
0.020000,1.763193,3.854633,0.153804,0.826350,2.992437,5.539197,0.020963
0.020000,1.780934,3.855026,0.171549,0.887276,3.046315,2.693905,0.023275
0.020000,1.799891,3.855490,0.190512,0.948140,3.043191,-0.156211,0.025720
0.020000,1.820062,3.856035,0.210691,1.008937,3.039844,-0.167338,0.028293
0.020000,1.841446,3.856669,0.232084,1.069662,3.036266,-0.178913,0.030989
0.020000,1.864041,3.857402,0.254690,1.130311,3.032459,-0.190349,0.033800
0.020000,1.887843,3.858241,0.278508,1.190880,3.028449,-0.200478,0.036721
0.020000,1.912852,3.859198,0.303535,1.251363,3.024150,-0.214967,0.039744
0.020000,1.939065,3.860282,0.329770,1.311757,3.019660,-0.224479,0.042864
0.020000,1.966479,3.861501,0.357211,1.372054,3.014878,-0.239113,0.046071
0.020000,1.995091,3.862868,0.385857,1.432253,3.009934,-0.247180,0.049358
0.020000,2.024900,3.864391,0.415703,1.492347,3.004692,-0.262119,0.052717
0.020000,2.055900,3.866080,0.446750,1.552331,2.999221,-0.273572,0.056138
0.020000,2.088090,3.867945,0.478994,1.612202,2.993523,-0.284879,0.059614
0.020000,2.121466,3.869996,0.512433,1.671953,2.987578,-0.297259,0.063134
0.020000,2.156025,3.872243,0.547065,1.731582,2.981427,-0.307549,0.066688
