dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.112960,3.608531,0.000022,0.002201,0.110068,5.503376,3.138871
0.020000,5.112968,3.608531,0.000031,0.000444,-0.087852,-9.895970,3.138906
0.020000,5.112988,3.608531,0.000051,0.001000,0.027771,5.781167,3.138986
0.020000,5.113024,3.608531,0.000086,0.001777,0.038885,0.555697,3.139128
0.020000,5.113080,3.608531,0.000142,0.002778,0.050008,0.556107,3.139351
0.020000,5.113160,3.608530,0.000222,0.004000,0.061143,0.556779,3.139671
0.020000,5.113269,3.608530,0.000331,0.005446,0.072299,0.557774,3.140106
0.020000,5.113411,3.608530,0.000473,0.007116,0.083482,0.559157,3.140676
0.020000,5.113591,3.608530,0.000653,0.009010,0.094701,0.560987,3.141396
0.020000,5.112097,3.608529,0.002148,0.074723,3.285668,159.548326,3.142287
0.020000,5.109702,3.608526,0.004542,0.119706,2.249113,-51.827753,3.143366
0.020000,5.106855,3.608520,0.007390,0.142386,1.134012,-55.755057,3.144652
0.020000,5.103512,3.608507,0.010733,0.167145,1.237961,5.197463,3.146165
0.020000,5.099637,3.608486,0.014608,0.193761,1.330780,4.640942,3.147922
0.020000,5.095190,3.608453,0.019054,0.222322,1.428037,4.862868,3.149944
0.020000,5.090132,3.608405,0.024113,0.252941,1.530966,5.146419,3.152252
0.020000,5.084424,3.608337,0.029822,0.285435,1.624705,4.686959,3.154866
0.020000,5.078027,3.608242,0.036219,0.319847,1.720621,4.795822,3.157806
0.020000,5.070904,3.608115,0.043343,0.356224,1.818818,4.909853,3.161096
0.020000,5.063015,3.607947,0.051234,0.394553,1.916486,4.883367,3.164757
0.020000,5.054324,3.607728,0.059928,0.434670,2.005808,4.466112,3.168812
0.020000,5.044791,3.607447,0.069464,0.476837,2.108382,5.128719,3.173286
0.020000,5.034382,3.607091,0.079880,0.520767,2.196477,4.404736,3.178204
0.020000,5.023058,3.606646,0.091212,0.566634,2.293349,4.843624,3.183591
0.020000,5.010783,3.606094,0.103500,0.614384,2.387536,4.709308,3.189475
0.020000,4.997521,3.605416,0.116779,0.663960,2.478782,4.562343,3.195884
0.020000,4.983239,3.604590,0.131085,0.715300,2.567012,4.411461,3.202845
0.020000,4.967918,3.603593,0.146439,0.767671,2.618541,2.576481,3.210383
0.020000,4.951567,3.602399,0.162834,0.819736,2.603259,-0.764121,3.218505
0.020000,4.934190,3.600984,0.180267,0.871692,2.597758,-0.275067,3.227225
0.020000,4.915796,3.599319,0.198737,0.923479,2.589397,-0.418009,3.236556
0.020000,4.896390,3.597373,0.218240,0.975175,2.584765,-0.231638,3.246508
0.020000,4.875982,3.595115,0.238773,1.026628,2.572680,-0.604238,3.257095
0.020000,4.854579,3.592510,0.260334,1.078042,2.570686,-0.099714,3.268329
0.020000,4.832193,3.589523,0.282918,1.129223,2.559037,-0.582436,3.280220
0.020000,4.808833,3.586114,0.306525,1.180347,2.556191,-0.142305,3.292779
0.020000,4.784513,3.582244,0.331151,1.231293,2.547317,-0.443666,3.306015
0.020000,4.759245,3.577871,0.356795,1.282183,2.544504,-0.140694,3.319936
0.020000,4.733044,3.572951,0.383454,1.332976,2.539629,-0.243737,3.334547
0.020000,4.705924,3.567436,0.411129,1.383735,2.537961,-0.083409,3.349851
0.020000,4.677903,3.561281,0.439819,1.434492,2.537859,-0.005093,3.365850
0.020000,4.648996,3.554433,0.469525,1.485312,2.540997,0.156906,3.382539
0.020000,4.619224,3.546843,0.500249,1.536206,2.544726,0.186474,3.399911
0.020000,4.588607,3.538458,0.531994,1.587225,2.550926,0.309977,3.417955
0.020000,4.557166,3.529222,0.564764,1.638493,2.563421,0.624770,3.436654
0.020000,4.524923,3.519081,0.598563,1.689993,2.574992,0.578533,3.455986
0.020000,4.491902,3.507978,0.633401,1.741889,2.594803,0.990540,3.475923
0.020000,4.458128,3.495856,0.669285,1.794179,2.614461,0.982895,3.496430
0.020000,4.423626,3.482658,0.706225,1.847015,2.641845,1.369194,3.517466
0.020000,4.388423,3.468325,0.744233,1.900416,2.670018,1.408645,3.538983
0.020000,4.352548,3.452802,0.783324,1.954527,2.705581,1.778157,3.560927
0.020000,4.316027,3.436030,0.823511,2.009378,2.742543,1.848120,3.583238
0.020000,4.278891,3.417954,0.864813,2.065082,2.785171,2.131408,3.605846
0.020000,4.241168,3.398521,0.907247,2.121689,2.830388,2.260864,3.628682
0.020000,4.202890,3.377678,0.950832,2.179264,2.878729,2.417014,3.651666
0.020000,4.164086,3.355375,0.995589,2.237852,2.929387,2.532929,3.674717
0.020000,4.124786,3.331566,1.041539,2.297491,2.981973,2.629288,3.697752
0.020000,4.085019,3.306206,1.088703,2.358208,3.035856,2.694161,3.720685
0.020000,4.044832,3.279268,1.137083,2.419011,3.040125,0.213429,3.743421
0.020000,4.004285,3.250740,1.186661,2.478893,2.994116,-2.300442,3.765856
0.020000,3.963434,3.220618,1.237417,2.537792,2.944934,-2.459094,3.787895
0.020000,3.922333,3.188906,1.289330,2.595635,2.892166,-2.638410,3.809444
0.020000,3.881033,3.155616,1.342377,2.652343,2.835373,-2.839633,3.830420
0.020000,3.839580,3.120765,1.396533,2.707804,2.773046,-3.116360,3.850745
0.020000,3.798016,3.084381,1.451771,2.761934,2.706533,-3.325644,3.870350
0.020000,3.756380,3.046496,1.508064,2.814615,2.634018,-3.625743,3.889176
0.020000,3.714706,3.007149,1.565379,2.865741,2.556337,-3.884060,3.907169
0.020000,3.673021,2.966384,1.623683,2.915216,2.473729,-4.130432,3.924286
