dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.113640,3.858530,0.000022,0.002201,0.110068,5.503376,3.138871
0.020000,5.113640,3.858530,0.000110,0.006604,0.220135,5.503376,3.138906
0.020000,5.113640,3.858530,0.000308,0.013208,0.330203,5.503376,3.138986
0.020000,5.113640,3.858530,0.000660,0.022014,0.440270,5.503376,3.139128
0.020000,5.113640,3.858530,0.001211,0.033020,0.550338,5.503376,3.139351
0.020000,5.113640,3.858530,0.002003,0.046228,0.660405,5.503376,3.139671
0.020000,5.113640,3.858530,0.003082,0.061638,0.770473,5.503376,3.140106
0.020000,5.113640,3.858530,0.004491,0.079249,0.880540,5.503376,3.140676
0.020000,5.113640,3.858530,0.006274,0.099061,0.990608,5.503376,3.141396
0.020000,5.111923,3.858529,0.008475,0.121074,1.100675,5.503376,3.142287
0.020000,5.109259,3.858526,0.011139,0.145289,1.210743,5.503376,3.143366
0.020000,5.106090,3.858518,0.014309,0.171705,1.320810,5.503376,3.144652
0.020000,5.102369,3.858504,0.018029,0.200323,1.430878,5.503376,3.146165
0.020000,5.098054,3.858481,0.022344,0.231142,1.540945,5.503376,3.147922
0.020000,5.093103,3.858444,0.027297,0.264162,1.651013,5.503376,3.149944
0.020000,5.087467,3.858391,0.032932,0.299384,1.761080,5.503376,3.152252
0.020000,5.081105,3.858315,0.039294,0.336807,1.871148,5.503376,3.154866
0.020000,5.073974,3.858210,0.046426,0.376431,1.981215,5.503376,3.157806
0.020000,5.066028,3.858068,0.054373,0.418257,2.091283,5.503376,3.161096
0.020000,5.057224,3.857880,0.063179,0.462284,2.201350,5.503376,3.164757
0.020000,5.047520,3.857635,0.072887,0.508512,2.311418,5.503376,3.168812
0.020000,5.036869,3.857321,0.083541,0.556942,2.421485,5.503376,3.173286
0.020000,5.025231,3.856924,0.095186,0.607573,2.531553,5.503376,3.178204
0.020000,5.012562,3.856426,0.107866,0.660405,2.641620,5.503376,3.183591
0.020000,4.998817,3.855808,0.121625,0.715439,2.751688,5.503376,3.189475
0.020000,4.983955,3.855048,0.136506,0.772674,2.861755,5.503376,3.195884
0.020000,4.967935,3.854121,0.152554,0.832110,2.971823,5.503376,3.202845
0.020000,4.950734,3.853001,0.169790,0.891547,2.971823,0.000000,3.210383
0.020000,4.932358,3.851660,0.188215,0.950983,2.971823,0.000000,3.218505
0.020000,4.912808,3.850068,0.207829,1.010420,2.971823,0.000000,3.227225
0.020000,4.892091,3.848192,0.228632,1.069856,2.971823,-0.000000,3.236556
0.020000,4.870209,3.845998,0.250624,1.129293,2.971823,0.000000,3.246508
0.020000,4.847170,3.843449,0.273804,1.188729,2.971823,-0.000000,3.257095
0.020000,4.822980,3.840505,0.298173,1.248166,2.971823,0.000000,3.268329
0.020000,4.797647,3.837124,0.323731,1.307602,2.971823,0.000000,3.280220
0.020000,4.771181,3.833262,0.350477,1.367039,2.971823,0.000000,3.292779
0.020000,4.743593,3.828873,0.378412,1.426475,2.971823,0.000000,3.306015
0.020000,4.714896,3.823906,0.407536,1.485912,2.971823,-0.000000,3.319936
0.020000,4.685104,3.818311,0.437849,1.545348,2.971823,0.000000,3.334547
0.020000,4.654235,3.812034,0.469350,1.604784,2.971823,-0.000000,3.349851
0.020000,4.622307,3.805020,0.502040,1.664221,2.971823,0.000000,3.365850
0.020000,4.589341,3.797211,0.535919,1.723657,2.971823,0.000000,3.382539
0.020000,4.555361,3.788548,0.570986,1.783094,2.971823,-0.000000,3.399911
0.020000,4.520393,3.778971,0.607243,1.842530,2.971823,0.000000,3.417955
0.020000,4.484466,3.768418,0.644687,1.901967,2.971823,0.000000,3.436654
0.020000,4.447613,3.756827,0.683321,1.961403,2.971823,0.000000,3.455986
0.020000,4.409868,3.744135,0.723144,2.020840,2.971823,-0.000000,3.475923
0.020000,4.371269,3.730282,0.764155,2.080276,2.971823,0.000000,3.496430
0.020000,4.331855,3.715205,0.806355,2.139713,2.971823,0.000000,3.517466
0.020000,4.291670,3.698844,0.849743,2.199149,2.971823,0.000000,3.538983
0.020000,4.250759,3.681142,0.894321,2.258585,2.971823,-0.000000,3.560927
0.020000,4.209170,3.662042,0.940087,2.318022,2.971823,0.000000,3.583238
0.020000,4.166952,3.641493,0.987041,2.377458,2.971823,0.000000,3.605846
0.020000,4.124155,3.619446,1.035185,2.436895,2.971823,0.000000,3.628682
0.020000,4.080830,3.595855,1.084517,2.496331,2.971823,-0.000000,3.651666
0.020000,4.037029,3.570681,1.135038,2.555768,2.971823,0.000000,3.674717
0.020000,3.992803,3.543888,1.186748,2.615204,2.971823,-0.000000,3.697752
0.020000,3.948203,3.515446,1.239646,2.674641,2.971823,0.000000,3.720685
0.020000,3.903295,3.485344,1.293712,2.731876,2.861755,-5.503376,3.743421
0.020000,3.858160,3.453589,1.348899,2.786910,2.751688,-5.503376,3.765856
0.020000,3.812874,3.420197,1.405166,2.839742,2.641620,-5.503376,3.787895
0.020000,3.767508,3.385195,1.462467,2.890373,2.531553,-5.503376,3.809444
0.020000,3.722125,3.348614,1.520759,2.938803,2.421485,-5.503376,3.830420
0.020000,3.676782,3.310494,1.579997,2.985031,2.311418,-5.503376,3.850745
0.020000,3.631530,3.270882,1.640138,3.029058,2.201350,-5.503376,3.870350
0.020000,3.586413,3.229830,1.701138,3.070884,2.091283,-5.503376,3.889176
0.020000,3.541467,3.187395,1.762951,3.110508,1.981215,-5.503376,3.907169
0.020000,3.496723,3.143639,1.825536,3.147931,1.871148,-5.503376,3.924286
0.020000,3.452202,3.098627,1.888847,3.183153,1.761080,-5.503376,3.940491
0.020000,3.407923,3.052427,1.952840,3.216173,1.651013,-5.503376,3.955754
0.020000,3.363897,3.005110,2.017472,3.246992,1.540945,-5.503376,3.970052
0.020000,3.320129,2.956750,2.082698,3.275609,1.430878,-5.503376,3.983369
0.020000,3.276621,2.907419,2.148474,3.302026,1.320810,-5.503376,3.995690
0.020000,3.233368,2.857194,2.214757,3.326240,1.210743,-5.503376,4.007009
0.020000,3.190363,2.806151,2.281502,3.348254,1.100675,-5.503376,4.017320
0.020000,3.147594,2.754366,2.348665,3.368066,0.990608,-5.503376,4.026621
0.020000,3.105047,2.701916,2.416202,3.385677,0.880540,-5.503376,4.034912
0.020000,3.062703,2.648878,2.484070,3.401086,0.770473,-5.503376,4.042194
0.020000,3.020542,2.595330,2.552224,3.414294,0.660405,-5.503376,4.048469
0.020000,2.978543,2.541348,2.620620,3.425301,0.550338,-5.503376,4.053740
0.020000,2.936680,2.487009,2.689214,3.434107,0.440270,-5.503376,4.058010
0.020000,2.894929,2.432391,2.757962,3.440711,0.330203,-5.503376,4.061282
0.020000,2.853264,2.377569,2.826820,3.445113,0.220135,-5.503376,4.063560
0.020000,2.811656,2.322621,2.895744,3.447315,0.110068,-5.503376,4.064844
0.020000,2.770088,2.267635,2.964674,3.445644,-0.083546,-9.680664,4.065136
0.020000,2.728542,2.212702,3.033548,3.441772,-0.193613,-5.503376,4.064439
0.020000,2.686991,2.157898,3.102323,3.435698,-0.303681,-5.503376,4.062754
0.020000,2.645408,2.103299,3.170954,3.427423,-0.413748,-5.503376,4.060081
0.020000,2.603766,2.048980,3.239398,3.416947,-0.523816,-5.503376,4.056421
0.020000,2.562041,1.995019,3.307610,3.404269,-0.633883,-5.503376,4.051774
0.020000,2.520208,1.941489,3.375546,3.389390,-0.743951,-5.503376,4.046139
0.020000,2.478247,1.888467,3.443163,3.372310,-0.854018,-5.503376,4.039517
0.020000,2.436137,1.836029,3.510417,3.353028,-0.964086,-5.503376,4.031907
0.020000,2.393862,1.784250,3.577263,3.331545,-1.074153,-5.503376,4.023312
0.020000,2.351406,1.733204,3.643657,3.307860,-1.184221,-5.503376,4.013733
0.020000,2.308760,1.682966,3.709555,3.281975,-1.294288,-5.503376,4.003175
0.020000,2.265916,1.633610,3.774914,3.253887,-1.404356,-5.503376,3.991645
0.020000,2.222869,1.585208,3.839688,3.223599,-1.514423,-5.503376,3.979151
0.020000,2.179622,1.537832,3.903835,3.191109,-1.624491,-5.503376,3.965709
0.020000,2.136180,1.491552,3.967311,3.156418,-1.734559,-5.503376,3.951334
0.020000,2.092554,1.446436,4.030070,3.119525,-1.844626,-5.503376,3.936051
0.020000,2.048761,1.402549,4.092070,3.080432,-1.954694,-5.503376,3.919888
0.020000,2.004824,1.359955,4.153265,3.039136,-2.064761,-5.503376,3.902879
0.020000,1.960770,1.318711,4.213613,2.995640,-2.174829,-5.503376,3.885066
0.020000,1.916636,1.278873,4.273069,2.949942,-2.284896,-5.503376,3.866498
0.020000,1.872462,1.240492,4.331589,2.902043,-2.394964,-5.503376,3.847232
0.020000,1.828297,1.203611,4.389129,2.851942,-2.505031,-5.503376,3.827332
0.020000,1.784197,1.168269,4.445645,2.799640,-2.615099,-5.503376,3.806869
0.020000,1.740220,1.134499,4.501092,2.745137,-2.725166,-5.503376,3.785924
0.020000,1.696436,1.102324,4.555428,2.688432,-2.835234,-5.503376,3.764580
0.020000,1.652916,1.071763,4.608608,2.629526,-2.945301,-5.503376,3.742930
0.020000,1.609725,1.042815,4.660604,2.570090,-2.971823,-1.326088,3.721063
0.020000,1.566910,1.015462,4.711411,2.510653,-2.971823,-0.000000,3.699060
0.020000,1.524519,0.989676,4.761030,2.451217,-2.971823,0.000000,3.677000
0.020000,1.482599,0.965427,4.809460,2.391780,-2.971823,-0.000000,3.654963
0.020000,1.441197,0.942678,4.856701,2.332344,-2.971823,0.000000,3.633024
0.020000,1.400362,0.921389,4.902754,2.272907,-2.971823,-0.000000,3.611259
0.020000,1.360141,0.901515,4.947617,2.213471,-2.971823,0.000000,3.589736
0.020000,1.320581,0.883009,4.991292,2.154034,-2.971823,-0.000000,3.568521
0.020000,1.281728,0.865820,5.033779,2.094598,-2.971823,0.000000,3.547676
0.020000,1.243625,0.849895,5.075076,2.035161,-2.971823,0.000000,3.527254
0.020000,1.206315,0.835179,5.115185,1.975725,-2.971823,-0.000000,3.507305
0.020000,1.169835,0.821614,5.154105,1.916288,-2.971823,0.000000,3.487872
0.020000,1.134225,0.809144,5.191837,1.856852,-2.971823,-0.000000,3.468992
0.020000,1.099518,0.797710,5.228379,1.797416,-2.971823,-0.000000,3.450697
0.020000,1.065746,0.787253,5.263733,1.737979,-2.971823,0.000000,3.433012
0.020000,1.032939,0.777717,5.297899,1.678543,-2.971823,0.000000,3.415958
0.020000,1.001125,0.769044,5.330875,1.619106,-2.971823,-0.000000,3.399550
0.020000,0.970326,0.761177,5.362663,1.559670,-2.971823,0.000000,3.383800
0.020000,0.940566,0.754062,5.393262,1.500233,-2.971823,-0.000000,3.368716
0.020000,0.911864,0.747647,5.422672,1.440797,-2.971823,0.000000,3.354300
0.020000,0.884239,0.741879,5.450894,1.381360,-2.971823,0.000000,3.340554
0.020000,0.857705,0.736710,5.477927,1.321924,-2.971823,0.000000,3.327475
0.020000,0.832276,0.732091,5.503771,1.262487,-2.971823,0.000000,3.315060
0.020000,0.807967,0.727979,5.528426,1.203051,-2.971823,0.000000,3.303303
0.020000,0.784786,0.724329,5.551893,1.143614,-2.971823,-0.000000,3.292196
0.020000,0.762744,0.721102,5.574171,1.084178,-2.971823,0.000000,3.281732
0.020000,0.741846,0.718259,5.595260,1.024742,-2.971823,-0.000000,3.271901
0.020000,0.722103,0.715764,5.615160,0.965305,-2.971823,0.000000,3.262692
0.020000,0.703518,0.713584,5.633872,0.905869,-2.971823,0.000000,3.254098
0.020000,0.686099,0.711686,5.651395,0.846432,-2.971823,-0.000000,3.246107
0.020000,0.669848,0.710043,5.667729,0.786996,-2.971823,0.000000,3.238708
0.020000,0.654752,0.708624,5.682892,0.729230,-2.888277,4.177288,3.231886
0.020000,0.640776,0.707403,5.696921,0.673666,-2.778210,5.503376,3.225612
0.020000,0.627879,0.706354,5.709860,0.620303,-2.668142,5.503376,3.219860
0.020000,0.616019,0.705455,5.721755,0.569142,-2.558075,5.503376,3.214602
0.020000,0.605154,0.704687,5.732648,0.520182,-2.448007,5.503376,3.209811
0.020000,0.595238,0.704031,5.742584,0.473423,-2.337940,5.503376,3.205461
0.020000,0.586234,0.703473,5.751607,0.428865,-2.227872,5.503376,3.201529
0.020000,0.578094,0.702999,5.759761,0.386509,-2.117805,5.503376,3.197990
0.020000,0.570776,0.702597,5.767089,0.346354,-2.007737,5.503376,3.194821
0.020000,0.564237,0.702258,5.773637,0.308401,-1.897670,5.503376,3.191999
0.020000,0.558434,0.701973,5.779447,0.272649,-1.787602,5.503376,3.189502
0.020000,0.553322,0.701733,5.784565,0.239098,-1.677535,5.503376,3.187309
0.020000,0.548857,0.701533,5.789033,0.207749,-1.567467,5.503376,3.185398
0.020000,0.544998,0.701367,5.792897,0.178601,-1.457400,5.503376,3.183750
0.020000,0.541698,0.701230,5.796199,0.151654,-1.347332,5.503376,3.182343
0.020000,0.538915,0.701119,5.798985,0.126909,-1.237264,5.503376,3.181158
0.020000,0.536603,0.701028,5.801298,0.104365,-1.127197,5.503376,3.180175
0.020000,0.534721,0.700956,5.803181,0.084023,-1.017129,5.503376,3.179377
0.020000,0.533224,0.700900,5.804681,0.065881,-0.907062,5.503376,3.178741
0.020000,0.532066,0.700857,5.805839,0.049941,-0.796994,5.503376,3.178250
0.020000,0.531205,0.700826,5.806700,0.036203,-0.686927,5.503376,3.177885
0.020000,0.530596,0.700804,5.807309,0.024666,-0.576859,5.503376,3.177628
0.020000,0.530196,0.700790,5.807709,0.015330,-0.466792,5.503376,3.177458
0.020000,0.529961,0.700781,5.807944,0.008195,-0.356724,5.503376,3.177359
0.020000,0.529846,0.700777,5.808059,0.003262,-0.246657,5.503376,3.177310
0.020000,0.529808,0.700776,5.808097,0.000530,-0.136589,5.503376,3.177294
0.020000,0.529803,0.700776,5.808102,0.000000,-0.026522,5.503376,3.177292
0.020000,0.529803,0.700776,5.808102,0.000000,0.000000,1.326088,3.177292
