dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.114321,4.108529,0.000022,0.002201,0.110068,5.503376,3.138871
0.020000,5.114312,4.108529,0.000031,0.000444,-0.087852,-9.895970,3.138906
0.020000,5.114292,4.108529,0.000051,0.001000,0.027771,5.781167,3.138986
0.020000,5.114256,4.108529,0.000086,0.001777,0.038885,0.555697,3.139128
0.020000,5.114201,4.108529,0.000142,0.002778,0.050008,0.556107,3.139351
0.020000,5.114121,4.108530,0.000222,0.004000,0.061143,0.556779,3.139671
0.020000,5.114012,4.108530,0.000331,0.005446,0.072299,0.557774,3.140106
0.020000,5.113869,4.108530,0.000473,0.007116,0.083482,0.559157,3.140676
0.020000,5.113689,4.108530,0.000653,0.009010,0.094701,0.560987,3.141396
0.020000,5.111749,4.108529,0.002593,0.096999,4.399429,215.236388,3.142287
0.020000,5.108816,4.108526,0.005527,0.146682,2.484149,-95.764001,3.143366
0.020000,5.105325,4.108517,0.009018,0.174529,1.392387,-54.588131,3.144652
0.020000,5.101226,4.108502,0.013117,0.204956,1.521341,6.447736,3.146165
0.020000,5.096472,4.108476,0.017871,0.237698,1.637110,5.788458,3.147922
0.020000,5.091015,4.108436,0.023328,0.272875,1.758851,6.087029,3.149944
0.020000,5.084802,4.108377,0.029541,0.310639,1.888170,6.465934,3.152252
0.020000,5.077787,4.108293,0.036557,0.350777,2.006907,5.936850,3.154866
0.020000,5.069921,4.108177,0.044424,0.393359,2.129097,6.109491,3.157806
0.020000,5.061153,4.108020,0.053193,0.438458,2.254967,6.293528,3.161096
0.020000,5.051434,4.107813,0.062915,0.486082,2.381162,6.309747,3.164757
0.020000,5.040716,4.107543,0.073635,0.536044,2.498133,5.848567,3.168812
0.020000,5.028947,4.107196,0.085409,0.588696,2.632599,6.723302,3.173286
0.020000,5.016081,4.106756,0.098283,0.643705,2.750450,5.892526,3.178204
0.020000,5.002065,4.106205,0.112310,0.701315,2.880468,6.500921,3.183591
0.020000,4.986851,4.105521,0.127539,0.761486,3.008590,6.406061,3.189475
0.020000,4.970389,4.104679,0.144023,0.824177,3.134549,6.297964,3.195884
0.020000,4.952632,4.103652,0.161810,0.889343,3.258275,6.186299,3.202845
0.020000,4.933550,4.102410,0.180932,0.956098,3.337779,3.975211,3.210383
0.020000,4.913148,4.100921,0.201388,1.022799,3.335026,-0.137672,3.218505
0.020000,4.891426,4.099152,0.223182,1.089698,3.344958,0.496637,3.227225
0.020000,4.868386,4.097066,0.246316,1.156731,3.351658,0.334973,3.236556
0.020000,4.844028,4.094624,0.270796,1.223994,3.363141,0.574155,3.246508
0.020000,4.818359,4.091784,0.296622,1.291296,3.365116,0.098765,3.257095
0.020000,4.791380,4.088500,0.323800,1.358883,3.379309,0.709635,3.268329
0.020000,4.763101,4.084726,0.352330,1.426493,3.380525,0.060779,3.280220
0.020000,4.733528,4.080411,0.382216,1.494325,3.391605,0.554039,3.292779
0.020000,4.702672,4.075501,0.413460,1.562192,3.393360,0.087760,3.306015
0.020000,4.670546,4.069941,0.446064,1.630203,3.400555,0.359731,3.319936
0.020000,4.637164,4.063672,0.480029,1.698250,3.402316,0.088064,3.334547
0.020000,4.602546,4.056633,0.515356,1.766344,3.404693,0.118814,3.349851
0.020000,4.566712,4.048760,0.552045,1.834442,3.404916,0.011153,3.365850
0.020000,4.529686,4.039990,0.590095,1.902530,3.404397,-0.025919,3.382539
0.020000,4.491497,4.030254,0.629506,1.970510,3.398989,-0.270404,3.399911
0.020000,4.452179,4.019485,0.670272,2.038316,3.390322,-0.433349,3.417955
0.020000,4.411767,4.007614,0.712391,2.105967,3.382564,-0.387903,3.436654
0.020000,4.370304,3.994573,0.755857,2.173282,3.365731,-0.841648,3.455986
0.020000,4.327834,3.980293,0.800663,2.240301,3.350969,-0.738115,3.475923
0.020000,4.284409,3.964708,0.846800,2.306841,3.326967,-1.200115,3.496430
0.020000,4.240084,3.947751,0.894258,2.372910,3.303485,-1.174069,3.517466
0.020000,4.194917,3.929362,0.943025,2.438339,3.271426,-1.602963,3.538983
0.020000,4.148971,3.909482,0.993087,2.503125,3.239307,-1.605944,3.560927
0.020000,4.102313,3.888055,1.044430,2.567120,3.199728,-1.978953,3.583238
0.020000,4.055013,3.865032,1.097036,2.630294,3.158708,-2.051029,3.605846
0.020000,4.007141,3.840371,1.150887,2.692556,3.113125,-2.279128,3.628682
0.020000,3.958770,3.814032,1.205964,2.753851,3.064739,-2.419289,3.651666
0.020000,3.909972,3.785987,1.262246,2.814128,3.013827,-2.545617,3.674717
0.020000,3.860821,3.756210,1.319713,2.873355,2.961372,-2.622755,3.697752
0.020000,3.811387,3.724686,1.378344,2.931519,2.908177,-2.659733,3.720685
0.020000,3.761757,3.691419,1.438091,2.987383,2.793218,-5.747957,3.743421
0.020000,3.712035,3.656437,1.498887,3.039774,2.619546,-8.683621,3.765856
0.020000,3.662314,3.619776,1.560662,3.088741,2.448366,-8.558992,3.787895
0.020000,3.612683,3.581483,1.623349,3.134361,2.280985,-8.369037,3.809444
0.020000,3.563216,3.541612,1.686883,3.176727,2.118316,-8.133439,3.830420
0.020000,3.513984,3.500222,1.751202,3.215919,1.959612,-7.935232,3.850745
0.020000,3.465045,3.457382,1.816243,3.252062,1.807147,-7.623210,3.870350
0.020000,3.416446,3.413163,1.881948,3.285243,1.659044,-7.405168,3.889176
0.020000,3.368229,3.367641,1.948259,3.315568,1.516236,-7.140375,3.907169
0.020000,3.320425,3.320893,2.015122,3.343141,1.378633,-6.880173,3.924286
0.020000,3.273055,3.273001,2.082483,3.368059,1.245939,-6.634704,3.940491
0.020000,3.226136,3.224046,2.150292,3.390415,1.117766,-6.408659,3.955754
0.020000,3.179674,3.174113,2.218497,3.410287,0.993624,-6.207100,3.970052
0.020000,3.133672,3.123284,2.287052,3.427726,0.871956,-6.083383,3.983369
0.020000,3.088126,3.071644,2.355908,3.442818,0.754573,-5.869170,3.995690
0.020000,3.043026,3.019275,2.425020,3.455603,0.639243,-5.766471,4.007009
