dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.834282,0.510689,0.000022,0.002204,0.110218,5.510875,2.747449
0.020000,4.834289,0.510687,0.000029,0.000352,-0.092601,-10.140908,2.747477
0.020000,4.834303,0.510681,0.000045,0.000793,0.022021,5.731073,2.747540
0.020000,4.834329,0.510670,0.000073,0.001409,0.030828,0.440379,2.747653
0.020000,4.834370,0.510653,0.000117,0.002202,0.039635,0.440323,2.747829
0.020000,4.834429,0.510629,0.000181,0.003171,0.048439,0.440229,2.748083
0.020000,4.834508,0.510595,0.000267,0.004316,0.057241,0.440089,2.748428
0.020000,4.834612,0.510552,0.000380,0.005636,0.066039,0.439889,2.748879
0.020000,4.833314,0.511089,0.001784,0.070239,3.230127,158.204422,2.749450
0.020000,4.831440,0.511864,0.003813,0.101405,1.558295,-83.591622,2.750154
0.020000,4.829171,0.512799,0.006267,0.122707,1.065105,-24.659485,2.751007
0.020000,4.826470,0.513910,0.009187,0.146008,1.165062,4.997833,2.752022
0.020000,4.823299,0.515209,0.012614,0.171378,1.268499,5.171872,2.753214
0.020000,4.819619,0.516712,0.016589,0.198745,1.368352,4.992650,2.754597
0.020000,4.815392,0.518431,0.021152,0.228138,1.469647,5.064706,2.756185
0.020000,4.810580,0.520378,0.026343,0.259553,1.570721,5.053730,2.757992
0.020000,4.805143,0.522566,0.032204,0.293024,1.673567,5.142298,2.760034
0.020000,4.799043,0.525005,0.038773,0.328475,1.772573,4.950312,2.762324
0.020000,4.792240,0.527706,0.046093,0.365984,1.875429,5.142806,2.764877
0.020000,4.784695,0.530679,0.054203,0.405493,1.975454,5.001210,2.767707
0.020000,4.776367,0.533932,0.063143,0.447034,2.077063,5.080445,2.770829
0.020000,4.767216,0.537471,0.072955,0.490592,2.177902,5.041953,2.774257
0.020000,4.757200,0.541303,0.083679,0.536182,2.279504,5.080124,2.778006
0.020000,4.746279,0.545433,0.095354,0.583781,2.379950,5.022316,2.782091
0.020000,4.734411,0.549864,0.108023,0.633427,2.482270,5.115960,2.786526
0.020000,4.721553,0.554597,0.121725,0.685084,2.582864,5.029735,2.791325
0.020000,4.707661,0.559631,0.136500,0.738777,2.684649,5.089219,2.796502
0.020000,4.692712,0.564958,0.152370,0.793469,2.734588,2.496974,2.802065
0.020000,4.676701,0.570560,0.169333,0.848181,2.735611,0.051160,2.808012
0.020000,4.659619,0.576418,0.187391,0.902907,2.736276,0.033249,2.814342
0.020000,4.641462,0.582514,0.206544,0.957633,2.736309,0.001651,2.821055
0.020000,4.622223,0.588825,0.226792,1.012413,2.739016,0.135333,2.828148
0.020000,4.601894,0.595331,0.248136,1.067202,2.739448,0.021590,2.835619
0.020000,4.580469,0.602006,0.270577,1.122046,2.742183,0.136776,2.843464
0.020000,4.557941,0.608828,0.294116,1.176924,2.743933,0.087466,2.851679
0.020000,4.534302,0.615770,0.318753,1.231877,2.747640,0.185361,2.860260
0.020000,4.509544,0.622805,0.344491,1.286889,2.750573,0.146645,2.869201
0.020000,4.483660,0.629905,0.371331,1.342005,2.755804,0.261565,2.878495
0.020000,4.456643,0.637043,0.399275,1.397197,2.759602,0.189909,2.888134
0.020000,4.428485,0.644187,0.428326,1.452524,2.766352,0.337478,2.898109
0.020000,4.399178,0.651307,0.458485,1.507981,2.772844,0.324602,2.908408
0.020000,4.368715,0.658371,0.489756,1.563568,2.779350,0.325320,2.919022
0.020000,4.337088,0.665347,0.522143,1.619346,2.788907,0.477857,2.929935
0.020000,4.304291,0.672202,0.555649,1.675292,2.797296,0.419413,2.941133
0.020000,4.270316,0.678903,0.590278,1.731462,2.808514,0.560931,2.952600
0.020000,4.235157,0.685414,0.626035,1.787838,2.818787,0.513652,2.964317
0.020000,4.198808,0.691702,0.662925,1.844474,2.831818,0.651540,2.976265
0.020000,4.161261,0.697732,0.700952,1.901376,2.845114,0.664785,2.988422
0.020000,4.122512,0.703469,0.740123,1.958559,2.859124,0.700500,3.000766
0.020000,4.082576,0.708875,0.780424,2.015035,2.823795,-1.766419,3.013264
0.020000,4.041488,0.713913,0.821820,2.069786,2.737558,-4.311874,3.025880
0.020000,3.999285,0.718546,0.864276,2.122815,2.651447,-4.305566,3.038574
0.020000,3.956006,0.722741,0.907759,2.174126,2.565568,-4.293911,3.051307
0.020000,3.911687,0.726468,0.952233,2.223726,2.479999,-4.278483,3.064040
0.020000,3.866370,0.729699,0.997665,2.271610,2.394183,-4.290808,3.076734
