dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.930287,0.741521,0.000022,0.002204,0.110218,5.510875,2.747449
0.020000,4.930287,0.741521,0.000110,0.006613,0.220435,5.510875,2.747477
0.020000,4.930287,0.741521,0.000309,0.013226,0.330653,5.510875,2.747540
0.020000,4.930287,0.741521,0.000661,0.022044,0.440870,5.510875,2.747653
0.020000,4.930287,0.741521,0.001212,0.033065,0.551088,5.510875,2.747829
0.020000,4.930287,0.741521,0.002006,0.046291,0.661305,5.510875,2.748083
0.020000,4.930287,0.741521,0.003086,0.061722,0.771523,5.510875,2.748428
0.020000,4.930287,0.741521,0.004497,0.079357,0.881740,5.510875,2.748879
0.020000,4.928857,0.742113,0.006282,0.099196,0.991958,5.510875,2.749450
0.020000,4.926820,0.742954,0.008487,0.121239,1.102175,5.510875,2.750154
0.020000,4.924353,0.743971,0.011154,0.145487,1.212393,5.510875,2.751007
0.020000,4.921418,0.745178,0.014328,0.171939,1.322610,5.510875,2.752022
0.020000,4.917971,0.746591,0.018054,0.200596,1.432828,5.510875,2.753214
0.020000,4.913971,0.748224,0.022374,0.231457,1.543045,5.510875,2.754597
0.020000,4.909376,0.750092,0.027334,0.264522,1.653263,5.510875,2.756185
0.020000,4.904145,0.752209,0.032977,0.299792,1.763480,5.510875,2.757992
0.020000,4.898235,0.754587,0.039348,0.337266,1.873698,5.510875,2.760034
0.020000,4.891604,0.757239,0.046490,0.376944,1.983915,5.510875,2.762324
0.020000,4.884208,0.760176,0.054447,0.418827,2.094133,5.510875,2.764877
0.020000,4.876004,0.763408,0.063265,0.462914,2.204350,5.510875,2.767707
0.020000,4.866949,0.766944,0.072986,0.509205,2.314568,5.510875,2.770829
0.020000,4.856998,0.770793,0.083655,0.557701,2.424785,5.510875,2.774257
0.020000,4.846107,0.774960,0.095316,0.608401,2.535003,5.510875,2.778006
0.020000,4.834231,0.779451,0.108013,0.661305,2.645220,5.510875,2.782091
0.020000,4.821324,0.784270,0.121790,0.716414,2.755438,5.510875,2.786526
0.020000,4.807340,0.789417,0.136692,0.773727,2.865655,5.510875,2.791325
0.020000,4.792232,0.794892,0.152761,0.833244,2.975873,5.510875,2.796502
0.020000,4.775973,0.800686,0.170022,0.892762,2.975873,0.000000,2.802065
0.020000,4.758558,0.806779,0.188472,0.952279,2.975873,-0.000000,2.808012
0.020000,4.739979,0.813151,0.208113,1.011797,2.975873,0.000000,2.814342
0.020000,4.720232,0.819780,0.228944,1.071314,2.975873,-0.000000,2.821055
0.020000,4.699307,0.826645,0.250965,1.130832,2.975873,-0.000000,2.828148
0.020000,4.677200,0.833719,0.274177,1.190349,2.975873,0.000000,2.835619
0.020000,4.653902,0.840978,0.298579,1.249866,2.975873,-0.000000,2.843464
0.020000,4.629408,0.848395,0.324172,1.309384,2.975873,0.000000,2.851679
0.020000,4.603711,0.855941,0.350955,1.368901,2.975873,-0.000000,2.860260
0.020000,4.576803,0.863587,0.378928,1.428419,2.975873,0.000000,2.869201
0.020000,4.548678,0.871303,0.408091,1.487936,2.975873,-0.000000,2.878495
0.020000,4.519332,0.879055,0.438445,1.547454,2.975873,0.000000,2.888134
0.020000,4.488756,0.886813,0.469989,1.606971,2.975873,-0.000000,2.898109
0.020000,4.456947,0.894541,0.502724,1.666489,2.975873,0.000000,2.908408
0.020000,4.423899,0.902204,0.536649,1.726006,2.975873,0.000000,2.919022
0.020000,4.389608,0.909768,0.571764,1.785524,2.975873,0.000000,2.929935
0.020000,4.354071,0.917196,0.608070,1.845041,2.975873,-0.000000,2.941133
0.020000,4.317284,0.924451,0.645566,1.904558,2.975873,0.000000,2.952600
0.020000,4.279244,0.931496,0.684252,1.964076,2.975873,0.000000,2.964317
0.020000,4.239952,0.938293,0.724129,2.023593,2.975873,-0.000000,2.976265
0.020000,4.199404,0.944805,0.765196,2.083111,2.975873,-0.000000,2.988422
0.020000,4.157603,0.950994,0.807453,2.142628,2.975873,0.000000,3.000766
0.020000,4.114570,0.956820,0.850879,2.199941,2.865655,-5.510875,3.013264
0.020000,4.070352,0.962241,0.895429,2.255050,2.755438,-5.510875,3.025880
0.020000,4.024994,0.967221,0.941059,2.307955,2.645220,-5.510875,3.038574
0.020000,3.978546,0.971723,0.987725,2.358655,2.535003,-5.510875,3.051307
0.020000,3.931056,0.975717,1.035383,2.407150,2.424785,-5.510875,3.064040
0.020000,3.882574,0.979174,1.083989,2.453442,2.314568,-5.510875,3.076734
0.020000,3.833149,0.982069,1.133499,2.497529,2.204350,-5.510875,3.089350
0.020000,3.782833,0.984384,1.183868,2.539411,2.094133,-5.510875,3.101850
0.020000,3.731677,0.986100,1.235053,2.579090,1.983915,-5.510875,3.114199
0.020000,3.679733,0.987206,1.287010,2.616564,1.873698,-5.510875,3.126360
0.020000,3.627052,0.987692,1.339694,2.651833,1.763480,-5.510875,3.138300
0.020000,3.573685,0.987554,1.393061,2.684898,1.653263,-5.510875,3.149986
0.020000,3.519684,0.986791,1.447068,2.715759,1.543045,-5.510875,3.161387
0.020000,3.465100,0.985406,1.501669,2.744416,1.432828,-5.510875,3.172474
0.020000,3.409984,0.983404,1.556822,2.770868,1.322610,-5.510875,3.183222
0.020000,3.354385,0.980797,1.612482,2.795116,1.212393,-5.510875,3.193605
0.020000,3.298354,0.977597,1.668605,2.817159,1.102175,-5.510875,3.203601
0.020000,3.241939,0.973820,1.725146,2.836999,0.991958,-5.510875,3.213190
0.020000,3.185188,0.969486,1.782063,2.854633,0.881740,-5.510875,3.222354
0.020000,3.128149,0.964617,1.839310,2.870064,0.771523,-5.510875,3.231076
0.020000,3.070868,0.959236,1.896843,2.883290,0.661305,-5.510875,3.239343
0.020000,3.013390,0.953371,1.954619,2.894312,0.551088,-5.510875,3.247142
0.020000,2.955761,0.947050,2.012594,2.903129,0.440870,-5.510875,3.254465
0.020000,2.898026,0.940303,2.070722,2.909742,0.330653,-5.510875,3.261302
0.020000,2.840226,0.933162,2.128961,2.914151,0.220435,-5.510875,3.267648
0.020000,2.782406,0.925660,2.187266,2.916355,0.110218,-5.510875,3.273498
0.020000,2.724620,0.917833,2.245580,2.915014,-0.067053,-8.863510,3.278848
0.020000,2.666923,0.909719,2.303845,2.911469,-0.177270,-5.510875,3.283696
0.020000,2.609356,0.901353,2.362017,2.905719,-0.287488,-5.510875,3.288042
0.020000,2.551959,0.892771,2.420052,2.897765,-0.397705,-5.510875,3.291889
0.020000,2.494773,0.884011,2.477905,2.887606,-0.507923,-5.510875,3.295239
0.020000,2.437836,0.875108,2.535534,2.875244,-0.618140,-5.510875,3.298098
0.020000,2.381189,0.866098,2.592893,2.860676,-0.728358,-5.510875,3.300471
0.020000,2.324870,0.857017,2.649939,2.843905,-0.838575,-5.510875,3.302365
0.020000,2.268920,0.847900,2.706627,2.824929,-0.948793,-5.510875,3.303788
0.020000,2.213377,0.838782,2.762914,2.803749,-1.059010,-5.510875,3.304749
0.020000,2.158280,0.829695,2.818755,2.780364,-1.169228,-5.510875,3.305258
0.020000,2.103669,0.820673,2.874106,2.754775,-1.279445,-5.510875,3.305326
0.020000,2.049583,0.811745,2.928924,2.726982,-1.389663,-5.510875,3.304964
0.020000,1.996062,0.802942,2.983164,2.696985,-1.499880,-5.510875,3.304187
0.020000,1.943147,0.794292,3.036781,2.664783,-1.610098,-5.510875,3.303009
0.020000,1.890878,0.785821,3.089733,2.630376,-1.720315,-5.510875,3.301443
0.020000,1.839294,0.777554,3.141974,2.593766,-1.830533,-5.510875,3.299506
0.020000,1.788439,0.769514,3.193462,2.554951,-1.940750,-5.510875,3.297215
0.020000,1.738353,0.761722,3.244150,2.513931,-2.050968,-5.510875,3.294589
0.020000,1.689078,0.754196,3.293997,2.470708,-2.161185,-5.510875,3.291645
0.020000,1.640656,0.746954,3.342957,2.425279,-2.271403,-5.510875,3.288405
0.020000,1.593132,0.740011,3.390986,2.377647,-2.381620,-5.510875,3.284888
0.020000,1.546547,0.733378,3.438040,2.327810,-2.491838,-5.510875,3.281117
0.020000,1.500946,0.727065,3.484076,2.275769,-2.602055,-5.510875,3.277114
0.020000,1.456373,0.721082,3.529049,2.221524,-2.712273,-5.510875,3.272903
0.020000,1.412872,0.715433,3.572915,2.165074,-2.822490,-5.510875,3.268508
0.020000,1.370489,0.710122,3.615630,2.106420,-2.932708,-5.510875,3.263955
0.020000,1.329254,0.705148,3.657163,2.046902,-2.975873,-2.158241,3.259269
0.020000,1.289179,0.700507,3.697506,1.987385,-2.975873,-0.000000,3.254470
0.020000,1.250266,0.696191,3.736659,1.927867,-2.975873,0.000000,3.249580
0.020000,1.212515,0.692193,3.774621,1.868350,-2.975873,-0.000000,3.244620
0.020000,1.175929,0.688502,3.811393,1.808833,-2.975873,0.000000,3.239608
0.020000,1.140509,0.685109,3.846974,1.749315,-2.975873,-0.000000,3.234564
0.020000,1.106259,0.682002,3.881365,1.689798,-2.975873,0.000000,3.229508
0.020000,1.073179,0.679170,3.914566,1.630280,-2.975873,0.000000,3.224457
0.020000,1.041272,0.676600,3.946577,1.570763,-2.975873,-0.000000,3.219429
0.020000,1.010539,0.674280,3.977397,1.511245,-2.975873,0.000000,3.214442
0.020000,0.980983,0.672196,4.007026,1.451728,-2.975873,0.000000,3.209512
0.020000,0.952605,0.670335,4.035466,1.392210,-2.975873,0.000000,3.204654
0.020000,0.925406,0.668682,4.062715,1.332693,-2.975873,-0.000000,3.199885
0.020000,0.899388,0.667224,4.088773,1.273175,-2.975873,0.000000,3.195220
0.020000,0.874552,0.665948,4.113642,1.213658,-2.975873,0.000000,3.190672
0.020000,0.850901,0.664838,4.137320,1.154141,-2.975873,-0.000000,3.186255
0.020000,0.828433,0.663882,4.159807,1.094623,-2.975873,0.000000,3.181981
0.020000,0.807152,0.663066,4.181105,1.035106,-2.975873,0.000000,3.177864
0.020000,0.787056,0.662376,4.201212,0.975588,-2.975873,-0.000000,3.173915
0.020000,0.768149,0.661800,4.220128,0.916071,-2.975873,0.000000,3.170145
0.020000,0.750429,0.661326,4.237854,0.856553,-2.975873,-0.000000,3.166563
0.020000,0.733897,0.660941,4.254390,0.797036,-2.975873,0.000000,3.163180
0.020000,0.718542,0.660634,4.269749,0.738859,-2.908820,3.352635,3.160001
0.020000,0.704326,0.660393,4.283967,0.682887,-2.798602,5.510875,3.157027
0.020000,0.691207,0.660209,4.297087,0.629120,-2.688385,5.510875,3.154256
0.020000,0.679141,0.660072,4.309154,0.577556,-2.578167,5.510875,3.151686
0.020000,0.668084,0.659973,4.320211,0.528197,-2.467950,5.510875,3.149312
0.020000,0.657992,0.659906,4.330304,0.481043,-2.357732,5.510875,3.147129
0.020000,0.648821,0.659865,4.339475,0.436092,-2.247515,5.510875,3.145132
0.020000,0.640526,0.659843,4.347769,0.393346,-2.137297,5.510875,3.143316
0.020000,0.633065,0.659836,4.355231,0.352805,-2.027080,5.510875,3.141674
0.020000,0.626392,0.659840,4.361903,0.314468,-1.916862,5.510875,3.140199
0.020000,0.620464,0.659853,4.367832,0.278335,-1.806645,5.510875,3.138882
0.020000,0.615237,0.659870,4.373059,0.244406,-1.696427,5.510875,3.137718
0.020000,0.610666,0.659890,4.377630,0.212682,-1.586210,5.510875,3.136696
0.020000,0.606708,0.659911,4.381588,0.183162,-1.475992,5.510875,3.135808
0.020000,0.603318,0.659932,4.384978,0.155847,-1.365775,5.510875,3.135047
0.020000,0.600452,0.659952,4.387844,0.130736,-1.255557,5.510875,3.134402
0.020000,0.598066,0.659969,4.390230,0.107829,-1.145340,5.510875,3.133864
0.020000,0.596117,0.659985,4.392179,0.087126,-1.035122,5.510875,3.133423
0.020000,0.594559,0.659998,4.393737,0.068628,-0.924905,5.510875,3.133071
0.020000,0.593350,0.660008,4.394947,0.052334,-0.814687,5.510875,3.132797
0.020000,0.592444,0.660016,4.395852,0.038245,-0.704470,5.510875,3.132592
0.020000,0.591798,0.660022,4.396498,0.026360,-0.594252,5.510875,3.132446
0.020000,0.591368,0.660026,4.396929,0.016679,-0.484035,5.510875,3.132348
