dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.026291,0.972352,0.000022,0.002204,0.110218,5.510875,2.747449
0.020000,5.026285,0.972355,0.000029,0.000352,-0.092601,-10.140908,2.747477
0.020000,5.026270,0.972361,0.000045,0.000793,0.022021,5.731073,2.747540
0.020000,5.026244,0.972372,0.000073,0.001409,0.030828,0.440379,2.747653
0.020000,5.026203,0.972389,0.000117,0.002202,0.039635,0.440323,2.747829
0.020000,5.026145,0.972413,0.000181,0.003171,0.048439,0.440229,2.748083
0.020000,5.026065,0.972446,0.000267,0.004316,0.057241,0.440089,2.748428
0.020000,5.025961,0.972489,0.000380,0.005636,0.066039,0.439889,2.748879
0.020000,5.024399,0.973136,0.002070,0.084509,3.943635,193.879784,2.749450
0.020000,5.022199,0.974045,0.004450,0.119021,1.725615,-110.901005,2.750154
0.020000,5.019536,0.975142,0.007331,0.144029,1.250394,-23.761032,2.751007
0.020000,5.016366,0.976446,0.010759,0.171387,1.367867,5.873640,2.752022
0.020000,5.012643,0.977972,0.014782,0.201176,1.489469,6.080133,2.753214
0.020000,5.008323,0.979736,0.019448,0.233314,1.606914,5.872219,2.754597
0.020000,5.003361,0.981753,0.024805,0.267836,1.726103,5.959472,2.756185
0.020000,4.997711,0.984040,0.030900,0.304738,1.845091,5.949408,2.757992
0.020000,4.991327,0.986609,0.037781,0.344063,1.966217,6.056284,2.760034
0.020000,4.984164,0.989473,0.045496,0.385720,2.082891,5.833676,2.762324
0.020000,4.976175,0.992645,0.054092,0.429803,2.204136,6.062294,2.764877
0.020000,4.967313,0.996137,0.063616,0.476245,2.322100,5.898190,2.767707
0.020000,4.957531,0.999957,0.074118,0.525084,2.441955,5.992741,2.770829
0.020000,4.946781,1.004115,0.085644,0.576302,2.560916,5.948070,2.774257
0.020000,4.935014,1.008617,0.098243,0.629918,2.680759,5.992125,2.778006
0.020000,4.922183,1.013470,0.111961,0.685902,2.799193,5.921679,2.782091
0.020000,4.908237,1.018676,0.126847,0.744296,2.919731,6.026925,2.786526
0.020000,4.893127,1.024237,0.142948,0.805058,3.038091,5.918014,2.791325
0.020000,4.876802,1.030153,0.160312,0.868211,3.157627,5.976808,2.796502
0.020000,4.859233,1.036414,0.178962,0.932529,3.215924,2.914844,2.802065
0.020000,4.840415,1.042998,0.198900,0.996855,3.216317,0.019647,2.808012
0.020000,4.820339,1.049883,0.220123,1.061171,3.215777,-0.027014,2.814342
0.020000,4.799001,1.057047,0.242632,1.125449,3.213887,-0.094524,2.821055
0.020000,4.776392,1.064464,0.266427,1.189737,3.214429,0.027129,2.828148
0.020000,4.752505,1.072108,0.291506,1.253967,3.211481,-0.147381,2.835619
0.020000,4.727336,1.079950,0.317869,1.318173,3.210311,-0.058514,2.843464
0.020000,4.700876,1.087962,0.345516,1.382312,3.206935,-0.168815,2.851679
0.020000,4.673120,1.096113,0.374444,1.446406,3.204690,-0.112256,2.860260
0.020000,4.644062,1.104370,0.404652,1.510410,3.200243,-0.222335,2.869201
0.020000,4.613697,1.112700,0.436139,1.574352,3.197077,-0.158292,2.878495
0.020000,4.582020,1.121068,0.468902,1.638166,3.190689,-0.319399,2.888134
0.020000,4.549027,1.129439,0.502940,1.701888,3.186101,-0.229413,2.898109
0.020000,4.514716,1.137774,0.538250,1.765476,3.179431,-0.333483,2.908408
0.020000,4.479084,1.146038,0.574828,1.828894,3.170894,-0.426891,2.919022
0.020000,4.442129,1.154189,0.612671,1.892173,3.163940,-0.347701,2.929935
0.020000,4.403851,1.162190,0.651776,1.955244,3.153546,-0.519654,2.941133
0.020000,4.364251,1.170000,0.692139,2.018130,3.144316,-0.461544,2.952600
0.020000,4.323332,1.177578,0.733754,2.080766,3.131786,-0.626459,2.964317
0.020000,4.281095,1.184884,0.776617,2.143171,3.120242,-0.577219,2.976265
0.020000,4.237547,1.191878,0.820723,2.205306,3.106765,-0.673839,2.988422
0.020000,4.192693,1.198519,0.866066,2.267144,3.091896,-0.743451,3.000766
0.020000,4.146564,1.204764,0.912616,2.327503,3.017929,-3.698383,3.013264
0.020000,4.099215,1.210569,0.960320,2.385179,2.883822,-6.705311,3.025880
0.020000,4.050703,1.215895,1.009123,2.440162,2.749133,-6.734447,3.038574
0.020000,4.001087,1.220705,1.058972,2.492448,2.614314,-6.740952,3.051307
0.020000,3.950425,1.224965,1.109813,2.542044,2.479795,-6.725988,3.064040
0.020000,3.898777,1.228648,1.161592,2.588950,2.345290,-6.725211,3.076734
0.020000,3.846204,1.231728,1.214255,2.633168,2.210908,-6.719111,3.089350
0.020000,3.792766,1.234186,1.267750,2.674712,2.077181,-6.686364,3.101850
0.020000,3.738525,1.236006,1.322021,2.713591,1.943976,-6.660229,3.114199
