dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.533788,0.930371,0.000022,0.002213,0.110648,5.532420,6.267246
0.020000,0.533774,0.930371,0.000035,0.000661,-0.077615,-9.413151,6.267299
0.020000,0.533745,0.930372,0.000065,0.001487,0.041291,5.945303,6.267418
0.020000,0.533692,0.930373,0.000118,0.002643,0.057806,0.825720,6.267630
0.020000,0.533609,0.930374,0.000201,0.004129,0.074317,0.825550,6.267960
0.020000,0.533490,0.930376,0.000319,0.005945,0.090822,0.825268,6.268436
0.020000,0.533981,0.930369,0.000810,0.024525,0.928984,41.908103,6.269083
0.020000,0.535185,0.930352,0.002015,0.060241,1.785802,42.840869,6.269929
0.020000,0.536710,0.930333,0.003540,0.076245,0.800206,-49.279793,6.270999
0.020000,0.538593,0.930311,0.005422,0.094119,0.893708,4.675116,6.272322
0.020000,0.540870,0.930288,0.007700,0.113875,0.987794,4.704287,6.273923
0.020000,0.543580,0.930266,0.010410,0.135504,1.081453,4.682980,6.275828
0.020000,0.546760,0.930246,0.013590,0.159023,1.175951,4.724896,6.278067
0.020000,0.550448,0.930232,0.017278,0.184400,1.268832,4.644047,6.280664
0.020000,0.554681,0.930227,0.021511,0.211661,1.363030,4.709877,0.000463
0.020000,0.559497,0.930238,0.026327,0.240790,1.456487,4.672864,0.003860
0.020000,0.564933,0.930269,0.031763,0.271786,1.549781,4.664674,0.007699
0.020000,0.571026,0.930329,0.037856,0.304657,1.643551,4.688533,0.012007
0.020000,0.577813,0.930427,0.044644,0.339400,1.737158,4.680339,0.016810
0.020000,0.585332,0.930574,0.052164,0.376004,1.830193,4.651756,0.022137
0.020000,0.593619,0.930781,0.060454,0.414492,1.924384,4.709557,0.028014
0.020000,0.602712,0.931066,0.069551,0.454852,2.018010,4.681297,0.034469
0.020000,0.612646,0.931443,0.079493,0.497094,2.112102,4.704589,0.041528
0.020000,0.623460,0.931934,0.090317,0.541223,2.206429,4.716355,0.049217
0.020000,0.635188,0.932561,0.102063,0.587267,2.302237,4.790376,0.057559
0.020000,0.647868,0.933349,0.114767,0.635216,2.397439,4.760132,0.066580
0.020000,0.661535,0.934327,0.128469,0.685119,2.495163,4.886182,0.076301
0.020000,0.676207,0.935526,0.143190,0.736041,2.546097,2.546702,0.086727
0.020000,0.691882,0.936976,0.158932,0.787081,2.551970,0.293665,0.097851
0.020000,0.708558,0.938713,0.175697,0.838283,2.560119,0.407443,0.109658
0.020000,0.726232,0.940771,0.193491,0.889673,2.569516,0.469841,0.122134
0.020000,0.744902,0.943187,0.212317,0.941307,2.581683,0.608365,0.135259
0.020000,0.764567,0.946001,0.232182,0.993248,2.597053,0.768469,0.149008
0.020000,0.785223,0.949254,0.253093,1.045539,2.614547,0.874714,0.163355
0.020000,0.806868,0.952988,0.275058,1.098242,2.635143,1.029808,0.178265
0.020000,0.829500,0.957247,0.298086,1.151436,2.659687,1.227182,0.193699
0.020000,0.853114,0.962075,0.322190,1.205175,2.686957,1.363528,0.209614
0.020000,0.877710,0.967518,0.347381,1.259545,2.718526,1.578451,0.225960
0.020000,0.903284,0.973624,0.373673,1.314608,2.753114,1.729369,0.242680
