dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.529803,0.680403,0.000022,0.002213,0.110648,5.532420,6.267246
0.020000,0.529803,0.680403,0.000111,0.006639,0.221297,5.532420,6.267299
0.020000,0.529803,0.680403,0.000310,0.013278,0.331945,5.532420,6.267418
0.020000,0.529803,0.680403,0.000664,0.022130,0.442594,5.532420,6.267630
0.020000,0.529803,0.680403,0.001217,0.033195,0.553242,5.532420,6.267960
0.020000,0.529803,0.680403,0.002014,0.046472,0.663890,5.532420,6.268436
0.020000,0.530455,0.680394,0.003098,0.061963,0.774539,5.532420,6.269083
0.020000,0.531871,0.680374,0.004514,0.079667,0.885187,5.532420,6.269929
0.020000,0.533664,0.680351,0.006307,0.099584,0.995836,5.532420,6.270999
0.020000,0.535877,0.680326,0.008520,0.121713,1.106484,5.532420,6.272322
0.020000,0.538554,0.680299,0.011198,0.146056,1.217132,5.532420,6.273923
0.020000,0.541741,0.680272,0.014384,0.172611,1.327781,5.532420,6.275828
0.020000,0.545481,0.680249,0.018124,0.201380,1.438429,5.532420,6.278067
0.020000,0.549818,0.680233,0.022462,0.232362,1.549078,5.532420,6.280664
0.020000,0.554797,0.680227,0.027441,0.265556,1.659726,5.532420,0.000463
0.020000,0.560462,0.680240,0.033106,0.300964,1.770374,5.532420,0.003860
0.020000,0.566858,0.680277,0.039501,0.338584,1.881023,5.532420,0.007699
0.020000,0.574027,0.680347,0.046671,0.378418,1.991671,5.532420,0.012007
0.020000,0.582015,0.680462,0.054660,0.420464,2.102320,5.532420,0.016810
0.020000,0.590865,0.680635,0.063512,0.464723,2.212968,5.532420,0.022137
0.020000,0.600622,0.680879,0.073271,0.511196,2.323616,5.532420,0.028014
0.020000,0.611327,0.681214,0.083982,0.559881,2.434265,5.532420,0.034469
0.020000,0.623025,0.681659,0.095689,0.610779,2.544913,5.532420,0.041528
0.020000,0.635759,0.682237,0.108435,0.663890,2.655562,5.532420,0.049217
0.020000,0.649570,0.682975,0.122266,0.719215,2.766210,5.532420,0.057559
0.020000,0.664501,0.683903,0.137226,0.776752,2.876858,5.532420,0.066580
0.020000,0.680592,0.685054,0.153359,0.836502,2.987507,5.532420,0.076301
0.020000,0.697862,0.686465,0.170686,0.896252,2.987507,-0.000000,0.086727
0.020000,0.716306,0.688172,0.189209,0.956002,2.987507,0.000000,0.097851
0.020000,0.735917,0.690215,0.208926,1.015752,2.987507,0.000000,0.109658
0.020000,0.756689,0.692633,0.229839,1.075502,2.987507,-0.000000,0.122134
0.020000,0.778614,0.695470,0.251946,1.135253,2.987507,0.000000,0.135259
0.020000,0.801681,0.698771,0.275249,1.195003,2.987507,0.000000,0.149008
0.020000,0.825880,0.702582,0.299747,1.254753,2.987507,-0.000000,0.163355
0.020000,0.851199,0.706950,0.325439,1.314503,2.987507,0.000000,0.178265
0.020000,0.877622,0.711922,0.352327,1.374253,2.987507,0.000000,0.193699
0.020000,0.905135,0.717547,0.380409,1.434003,2.987507,0.000000,0.209614
0.020000,0.933721,0.723874,0.409687,1.493753,2.987507,-0.000000,0.225960
0.020000,0.963360,0.730949,0.440159,1.553503,2.987507,0.000000,0.242680
0.020000,0.994033,0.738822,0.471827,1.613254,2.987507,0.000000,0.259714
0.020000,1.025719,0.747536,0.504689,1.673004,2.987507,-0.000000,0.276995
0.020000,1.058395,0.757136,0.538747,1.732754,2.987507,0.000000,0.294450
0.020000,1.092038,0.767664,0.574000,1.792504,2.987507,0.000000,0.312003
0.020000,1.126625,0.779158,0.610447,1.852254,2.987507,0.000000,0.329572
0.020000,1.162133,0.791654,0.648090,1.912004,2.987507,-0.000000,0.347074
0.020000,1.198538,0.805183,0.686927,1.971754,2.987507,0.000000,0.364421
0.020000,1.235816,0.819772,0.726960,2.031505,2.987507,0.000000,0.381524
0.020000,1.273948,0.835445,0.768188,2.091255,2.987507,-0.000000,0.398291
0.020000,1.312912,0.852221,0.810610,2.151005,2.987507,0.000000,0.414632
0.020000,1.352692,0.870111,0.854228,2.210755,2.987507,0.000000,0.430456
0.020000,1.393271,0.889123,0.899040,2.270505,2.987507,0.000000,0.445671
0.020000,1.434637,0.909260,0.945048,2.330255,2.987507,0.000000,0.460189
0.020000,1.476782,0.930517,0.992251,2.390005,2.987507,0.000000,0.473921
0.020000,1.519700,0.952885,1.040648,2.449756,2.987507,-0.000000,0.486780
0.020000,1.563391,0.976349,1.090241,2.509506,2.987507,0.000000,0.498680
0.020000,1.607858,1.000885,1.141028,2.569256,2.987507,0.000000,0.509537
0.020000,1.653110,1.026467,1.193011,2.629006,2.987507,0.000000,0.519267
0.020000,1.699162,1.053058,1.246189,2.688756,2.987507,0.000000,0.527787
0.020000,1.746033,1.080616,1.300561,2.748506,2.987507,0.000000,0.535011
0.020000,1.793749,1.109093,1.356129,2.808256,2.987507,0.000000,0.540854
0.020000,1.842342,1.138431,1.412892,2.868006,2.987507,-0.000000,0.545227
0.020000,1.891849,1.168565,1.470849,2.927757,2.987507,0.000000,0.548039
0.020000,1.942317,1.199421,1.530002,2.987507,2.987507,0.000000,0.549192
0.020000,1.993795,1.230914,1.590349,3.047257,2.987507,0.000000,0.548586
0.020000,2.046323,1.262939,1.651870,3.104794,2.876858,-5.532420,0.546111
0.020000,2.099927,1.295367,1.714519,3.160118,2.766210,-5.532420,0.541659
0.020000,2.154638,1.328055,1.778253,3.213229,2.655562,-5.532420,0.535116
0.020000,2.210495,1.360852,1.843026,3.264128,2.544913,-5.532420,0.526368
0.020000,2.267538,1.393589,1.908795,3.312813,2.434265,-5.532420,0.515299
0.020000,2.325809,1.426087,1.975516,3.359285,2.323616,-5.532420,0.501794
0.020000,2.385352,1.458151,2.043145,3.403545,2.212968,-5.532420,0.485739
0.020000,2.446210,1.489571,2.111636,3.445591,2.102320,-5.532420,0.467031
0.020000,2.508421,1.520124,2.180946,3.485425,1.991671,-5.532420,0.445577
0.020000,2.572017,1.549572,2.251031,3.523045,1.881023,-5.532420,0.421304
0.020000,2.633955,1.576997,2.321846,3.558452,1.770374,-5.532420,0.417594
0.020000,2.699268,1.606094,2.393347,3.591647,1.659726,-5.532420,0.420510
0.020000,2.765091,1.635621,2.465490,3.622629,1.549078,-5.532420,0.422717
0.020000,2.831405,1.665515,2.538230,3.651397,1.438429,-5.532420,0.424197
0.020000,2.898189,1.695711,2.611523,3.677953,1.327781,-5.532420,0.424931
0.020000,2.965427,1.726140,2.685326,3.702295,1.217132,-5.532420,0.424904
0.020000,3.033100,1.756733,2.759593,3.724425,1.106484,-5.532420,0.424102
0.020000,3.101194,1.787417,2.834281,3.744342,0.995836,-5.532420,0.422509
0.020000,3.169692,1.818120,2.909345,3.762045,0.885187,-5.532420,0.420111
0.020000,3.238578,1.848765,2.984741,3.777536,0.774539,-5.532420,0.416897
0.020000,3.307839,1.879275,3.060424,3.790814,0.663890,-5.532420,0.412854
0.020000,3.377459,1.909574,3.136351,3.801879,0.553242,-5.532420,0.407972
0.020000,3.447421,1.939582,3.212477,3.810731,0.442594,-5.532420,0.402240
0.020000,3.517710,1.969218,3.288758,3.817370,0.331945,-5.532420,0.395651
0.020000,3.588307,1.998402,3.365150,3.821796,0.221297,-5.532420,0.388197
0.020000,3.659193,2.027053,3.441608,3.824009,0.110648,-5.532420,0.379873
0.020000,3.730339,2.055086,3.518077,3.822945,-0.053201,-8.192458,0.370679
0.020000,3.801710,2.082418,3.594503,3.819668,-0.163849,-5.532420,0.360614
0.020000,3.873283,2.108968,3.670842,3.814178,-0.274498,-5.532420,0.349682
0.020000,3.945028,2.134659,3.747048,3.806475,-0.385146,-5.532420,0.337889
0.020000,4.016915,2.159414,3.823079,3.796559,-0.495794,-5.532420,0.325245
0.020000,4.088909,2.183158,3.898889,3.784430,-0.606443,-5.532420,0.311763
0.020000,4.160974,2.205821,3.974434,3.770088,-0.717091,-5.532420,0.297462
0.020000,4.233069,2.227334,4.049670,3.753533,-0.827740,-5.532420,0.282364
0.020000,4.305147,2.247632,4.124553,3.734766,-0.938388,-5.532420,0.266498
0.020000,4.377162,2.266655,4.199038,3.713785,-1.049036,-5.532420,0.249896
0.020000,4.449059,2.284350,4.273082,3.690591,-1.159685,-5.532420,0.232599
0.020000,4.520783,2.300667,4.346640,3.665185,-1.270333,-5.532420,0.214650
0.020000,4.592274,2.315564,4.419667,3.637565,-1.380982,-5.532420,0.196100
0.020000,4.663468,2.329005,4.492120,3.607732,-1.491630,-5.532420,0.177005
0.020000,4.734299,2.340965,4.563955,3.575687,-1.602278,-5.532420,0.157425
0.020000,4.804696,2.351422,4.635126,3.541428,-1.712927,-5.532420,0.137426
0.020000,4.874589,2.360368,4.705590,3.504957,-1.823575,-5.532420,0.117076
0.020000,4.943902,2.367799,4.775302,3.466272,-1.934224,-5.532420,0.096449
0.020000,5.012563,2.373723,4.844218,3.425375,-2.044872,-5.532420,0.075618
0.020000,5.080493,2.378156,4.912295,3.382264,-2.155520,-5.532420,0.054661
0.020000,5.147618,2.381124,4.979487,3.336941,-2.266169,-5.532420,0.033652
0.020000,5.213863,2.382660,5.045750,3.289405,-2.376817,-5.532420,0.012668
0.020000,5.279152,2.382806,5.111041,3.239655,-2.487465,-5.532420,6.274966
0.020000,5.343413,2.381612,5.175314,3.187693,-2.598114,-5.532420,6.254248
0.020000,5.406576,2.379137,5.238527,3.133518,-2.708762,-5.532420,6.233766
0.020000,5.468571,2.375443,5.300633,3.077130,-2.819411,-5.532420,6.213583
