dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.525818,0.430435,0.000022,0.002213,0.110648,5.532420,6.267246
0.020000,0.525832,0.430434,0.000035,0.000661,-0.077615,-9.413151,6.267299
0.020000,0.525861,0.430434,0.000065,0.001487,0.041291,5.945303,6.267418
0.020000,0.525914,0.430433,0.000118,0.002643,0.057806,0.825720,6.267630
0.020000,0.525997,0.430432,0.000201,0.004129,0.074317,0.825550,6.267960
0.020000,0.526116,0.430430,0.000319,0.005945,0.090822,0.825268,6.268436
0.020000,0.526930,0.430418,0.001134,0.040712,1.738319,82.374853,6.269083
0.020000,0.528557,0.430396,0.002761,0.081384,2.033592,14.763639,6.269929
0.020000,0.530618,0.430370,0.004822,0.103014,1.081517,-47.603732,6.270999
0.020000,0.533161,0.430341,0.007365,0.127178,1.208187,6.333478,6.272322
0.020000,0.536239,0.430310,0.010443,0.153893,1.335772,6.379232,6.273923
0.020000,0.539902,0.430279,0.014106,0.183152,1.462925,6.357692,6.275828
0.020000,0.544201,0.430252,0.018406,0.214979,1.591372,6.422335,6.278067
0.020000,0.549188,0.430233,0.023392,0.249335,1.717801,6.321454,6.280664
0.020000,0.554913,0.430227,0.029118,0.286259,1.846178,6.418852,0.000463
0.020000,0.561427,0.430242,0.035632,0.325733,1.973710,6.376605,0.003860
0.020000,0.568782,0.430284,0.042987,0.367756,2.101148,6.371898,0.007699
0.020000,0.577029,0.430365,0.051234,0.412342,2.229311,6.408118,0.012007
0.020000,0.586218,0.430498,0.060424,0.459487,2.357255,6.397232,0.016810
0.020000,0.596399,0.430696,0.070607,0.509174,2.484322,6.353347,0.022137
0.020000,0.607624,0.430978,0.081836,0.561428,2.612704,6.419081,0.028014
0.020000,0.619943,0.431363,0.094160,0.616225,2.739875,6.358558,0.034469
0.020000,0.633404,0.431874,0.107632,0.673565,2.866981,6.355274,0.041528
0.020000,0.648058,0.432540,0.122300,0.733433,2.993390,6.320490,0.049217
0.020000,0.663952,0.433389,0.138217,0.795841,3.120397,6.350333,0.057559
0.020000,0.681134,0.434457,0.155432,0.860734,3.244692,6.214737,0.066580
0.020000,0.699649,0.435782,0.173995,0.928133,3.369928,6.261835,0.076301
0.020000,0.719517,0.437405,0.193929,0.996706,3.428657,2.936427,0.086727
0.020000,0.740729,0.439368,0.215232,1.065159,3.422645,-0.300584,0.097851
0.020000,0.763277,0.441716,0.237901,1.133467,3.415421,-0.361193,0.109658
0.020000,0.787147,0.444495,0.261932,1.201567,3.404960,-0.523077,0.122134
0.020000,0.812325,0.447754,0.287321,1.269420,3.392680,-0.613995,0.135259
0.020000,0.838795,0.451542,0.314061,1.336991,3.378531,-0.707439,0.149008
0.020000,0.866538,0.455910,0.342145,1.404200,3.360465,-0.903336,0.163355
