dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.570778,0.930403,0.000022,0.002209,0.110474,5.523713,6.282265
0.020000,0.570772,0.930403,0.000028,0.000287,-0.096141,-10.330763,6.282288
0.020000,0.570760,0.930403,0.000041,0.000645,0.017915,5.702799,6.282340
0.020000,0.570737,0.930403,0.000064,0.001146,0.025077,0.358079,6.282432
0.020000,0.570701,0.930403,0.000099,0.001791,0.032231,0.357741,6.282575
0.020000,0.570649,0.930403,0.000151,0.002579,0.039375,0.357186,6.282781
0.020000,0.570579,0.930403,0.000221,0.003509,0.046502,0.356359,6.283062
0.020000,0.571426,0.930403,0.001068,0.042328,1.940980,94.723895,0.000243
0.020000,0.573099,0.930404,0.002742,0.083689,2.068031,6.352539,0.000707
0.020000,0.575166,0.930406,0.004808,0.103325,0.981802,-54.311431,0.001279
0.020000,0.577666,0.930410,0.007309,0.125026,1.085055,5.162616,0.001970
0.020000,0.580642,0.930417,0.010285,0.148801,1.188744,5.184467,0.002793
0.020000,0.584135,0.930428,0.013778,0.174649,1.292405,5.183026,0.003757
0.020000,0.588187,0.930446,0.017829,0.202569,1.396020,5.180765,0.004874
0.020000,0.592838,0.930472,0.022480,0.232561,1.499574,5.177700,0.006155
0.020000,0.598130,0.930508,0.027773,0.264631,1.603488,5.195730,0.007609
0.020000,0.604106,0.930558,0.033748,0.298778,1.707382,5.194666,0.009248
0.020000,0.610806,0.930627,0.040449,0.335012,1.811695,5.215652,0.011082
0.020000,0.618272,0.930717,0.047915,0.373331,1.915940,5.212280,0.013121
0.020000,0.626546,0.930835,0.056190,0.413733,2.020110,5.208501,0.015374
0.020000,0.635669,0.930986,0.065315,0.456234,2.125018,5.245375,0.017851
0.020000,0.645684,0.931179,0.075331,0.500828,2.229726,5.235426,0.020560
0.020000,0.656632,0.931420,0.086282,0.547525,2.334859,5.256653,0.023511
0.020000,0.668554,0.931719,0.098208,0.596336,2.440539,5.283962,0.026710
0.020000,0.681494,0.932088,0.111154,0.647257,2.546069,5.276497,0.030167
0.020000,0.695493,0.932536,0.125160,0.700305,2.652371,5.315094,0.033887
0.020000,0.710593,0.933078,0.140269,0.755480,2.758755,5.319229,0.037877
0.020000,0.726815,0.933728,0.156504,0.811764,2.814226,2.773557,0.042137
0.020000,0.744161,0.934498,0.173867,0.868123,2.817945,0.185918,0.046660
0.020000,0.762630,0.935405,0.192358,0.924562,2.821956,0.200588,0.051441
0.020000,0.782223,0.936463,0.211980,0.981092,2.826499,0.227150,0.056473
0.020000,0.802941,0.937689,0.232734,1.037719,2.831308,0.240419,0.061746
0.020000,0.824785,0.939100,0.254624,1.094457,2.836902,0.279696,0.067253
0.020000,0.847754,0.940714,0.277650,1.151304,2.842382,0.274012,0.072984
0.020000,0.871850,0.942548,0.301815,1.208277,2.848643,0.313078,0.078930
0.020000,0.897073,0.944621,0.327123,1.265384,2.855364,0.336014,0.085081
0.020000,0.923423,0.946952,0.353576,1.322633,2.862412,0.352391,0.091423
0.020000,0.950900,0.949562,0.381176,1.380033,2.870027,0.380766,0.097946
0.020000,0.979504,0.952470,0.409928,1.437595,2.878113,0.404324,0.104637
0.020000,1.009236,0.955695,0.439835,1.495329,2.886674,0.428039,0.111481
0.020000,1.040096,0.959260,0.470900,1.553243,2.895724,0.452490,0.118465
0.020000,1.072083,0.963182,0.503127,1.611350,2.905317,0.479635,0.125572
0.020000,1.105198,0.967485,0.536520,1.669656,2.915319,0.500121,0.132788
0.020000,1.139440,0.972186,0.571083,1.728173,2.925822,0.525125,0.140095
0.020000,1.174810,0.977308,0.606821,1.786911,2.936935,0.555664,0.147475
0.020000,1.211306,0.982869,0.643739,1.845877,2.948290,0.567758,0.154910
0.020000,1.248929,0.988889,0.681841,1.905082,2.960255,0.598264,0.162382
0.020000,1.287679,0.995387,0.721131,1.964534,2.972579,0.616200,0.169869
0.020000,1.327555,1.002381,0.761616,2.024242,2.985400,0.641025,0.177353
0.020000,1.368557,1.009889,0.803300,2.084212,2.998521,0.656040,0.184811
0.020000,1.410686,1.017927,0.846189,2.144453,3.012057,0.676804,0.192223
0.020000,1.453942,1.026512,0.890289,2.204972,3.025952,0.694753,0.199566
0.020000,1.498325,1.035658,0.935604,2.265776,3.040173,0.711083,0.206816
0.020000,1.543836,1.045377,0.982142,2.326870,3.054702,0.726453,0.213952
0.020000,1.590476,1.055684,1.029907,2.388260,3.069514,0.740570,0.220949
0.020000,1.638247,1.066587,1.078906,2.449952,3.084590,0.753791,0.227783
0.020000,1.687150,1.078096,1.129145,2.511950,3.099913,0.766164,0.234430
0.020000,1.737188,1.090218,1.180630,2.574260,3.115478,0.778264,0.240865
0.020000,1.788363,1.102958,1.233368,2.636884,3.131233,0.787716,0.247062
0.020000,1.840680,1.116321,1.287364,2.699829,3.147239,0.800322,0.252996
0.020000,1.894143,1.130306,1.342626,2.763098,3.163422,0.809131,0.258641
0.020000,1.948757,1.144913,1.399160,2.826694,3.179814,0.819616,0.263971
0.020000,2.004529,1.160138,1.456973,2.890622,3.196416,0.830103,0.268959
0.020000,2.061465,1.175976,1.516070,2.954887,3.213225,0.840469,0.273578
0.020000,2.119553,1.192411,1.576439,3.018406,3.175957,-1.863427,0.277800
0.020000,2.178760,1.209420,1.638040,3.080085,3.083980,-4.598824,0.281596
0.020000,2.239055,1.226974,1.700839,3.139913,2.991384,-4.629825,0.284935
0.020000,2.300407,1.245043,1.764796,3.197876,2.898140,-4.662209,0.287791
0.020000,2.362787,1.263591,1.829875,3.253960,2.804220,-4.696002,0.290138
0.020000,2.426167,1.282580,1.896038,3.308153,2.709646,-4.728676,0.291950
0.020000,2.490518,1.301967,1.963247,3.360442,2.614417,-4.761451,0.293202
0.020000,2.555816,1.321708,2.031463,3.410812,2.518529,-4.794394,0.293871
0.020000,2.622033,1.341754,2.100648,3.459252,2.422006,-4.826164,0.293935
0.020000,2.689146,1.362052,2.170763,3.505749,2.324822,-4.859211,0.293373
0.020000,2.757129,1.382548,2.241769,3.550288,2.226983,-4.891945,0.292164
0.020000,2.825959,1.403184,2.313626,3.592858,2.128461,-4.926082,0.290289
0.020000,2.895613,1.423899,2.386295,3.633443,2.029273,-4.959402,0.287730
0.020000,2.966067,1.444629,2.459736,3.672029,1.929312,-4.998052,0.284471
0.020000,3.037299,1.465308,2.533908,3.708601,1.828602,-5.035500,0.280495
0.020000,3.109283,1.485867,2.608771,3.743142,1.727049,-5.077663,0.275789
0.020000,3.181997,1.506236,2.684283,3.775634,1.624573,-5.123817,0.270339
0.020000,3.255415,1.526341,2.760404,3.806056,1.521087,-5.174264,0.264135
0.020000,3.329511,1.546109,2.837092,3.834386,1.416526,-5.228043,0.257166
0.020000,3.404258,1.565462,2.914304,3.860599,1.310642,-5.294232,0.249426
0.020000,3.479627,1.584324,2.991998,3.884668,1.203449,-5.359662,0.240909
0.020000,3.555586,1.602617,3.070129,3.906561,1.094665,-5.439155,0.231613
0.020000,3.632103,1.620262,3.148654,3.926245,0.984175,-5.524509,0.221537
0.020000,3.709141,1.637179,3.227527,3.943681,0.871796,-5.618945,0.210685
0.020000,3.786661,1.653292,3.306704,3.958827,0.757331,-5.723274,0.199063
0.020000,3.864620,1.668522,3.386137,3.971639,0.640593,-5.836905,0.186680
0.020000,3.939684,1.682230,3.462442,3.815284,-7.817753,-422.917273,0.176613
0.020000,4.013829,1.695619,3.537786,3.767187,-2.404855,270.644876,0.180434
0.020000,4.088203,1.709286,3.613406,3.780980,0.689661,154.725791,0.182785
0.020000,4.162780,1.723115,3.689254,3.792410,0.571468,-5.909633,0.183676
0.020000,4.237533,1.736990,3.765284,3.801488,0.453924,-5.877187,0.183120
0.020000,4.312436,1.750793,3.841448,3.808229,0.337040,-5.844196,0.181127
0.020000,4.387464,1.764410,3.917701,3.812643,0.220725,-5.815777,0.177705
0.020000,4.462588,1.777724,3.993996,3.814740,0.104822,-5.795146,0.172864
0.020000,4.537780,1.790620,4.070286,3.814519,-0.011014,-5.791816,0.166611
0.020000,4.613010,1.802985,4.146526,3.811979,-0.127041,-5.801316,0.158957
0.020000,4.688245,1.814706,4.222668,3.807104,-0.243747,-5.835322,0.149910
0.020000,4.763447,1.825673,4.298665,3.799870,-0.361676,-5.896433,0.139484
0.020000,4.838575,1.835778,4.374470,3.790241,-0.481444,-5.988420,0.127691
0.020000,4.913584,1.844916,4.450033,3.778167,-0.603731,-6.114348,0.114552
0.020000,4.988422,1.852988,4.525305,3.763587,-0.728980,-6.262433,0.100090
0.020000,5.063031,1.859896,4.600233,3.746418,-0.858452,-6.473609,0.084335
0.020000,5.137347,1.865550,4.674765,3.726569,-0.992438,-6.699300,0.067325
0.020000,5.211300,1.869868,4.748843,3.703932,-1.131886,-6.972381,0.049107
0.020000,5.284810,1.872775,4.822411,3.678386,-1.277254,-7.268415,0.029735
0.020000,5.357792,1.874207,4.895407,3.649799,-1.429386,-7.606623,0.009277
0.020000,5.430153,1.874108,4.967768,3.618032,-1.588317,-7.946544,6.270996
0.020000,5.501792,1.872439,5.039427,3.582946,-1.754328,-8.300524,6.248610
0.020000,5.572605,1.869173,5.110315,3.544400,-1.927301,-8.648636,6.225404
0.020000,5.642481,1.864298,5.180360,3.502265,-2.106747,-8.972322,6.201489
0.020000,5.711305,1.857818,5.249488,3.456422,-2.292130,-9.269171,6.176984
0.020000,5.778961,1.849754,5.317624,3.406778,-2.482231,-9.505047,6.152017
0.020000,5.845335,1.840146,5.384689,3.353262,-2.675799,-9.678366,6.126722
0.020000,5.910324,1.829047,5.450620,3.296542,-2.835993,-8.009743,6.101229
0.020000,5.973858,1.816518,5.515377,3.237844,-2.934907,-4.945673,6.075659
0.020000,6.035877,1.802632,5.578931,3.177714,-3.006459,-3.577622,6.050127
0.020000,6.096329,1.787471,5.641256,3.116222,-3.074613,-3.407703,6.024742
0.020000,6.155169,1.771124,5.702325,3.053446,-3.138825,-3.210597,5.999607
0.020000,6.212360,1.753686,5.762114,2.989491,-3.197754,-2.946431,5.974817
0.020000,6.267870,1.735257,5.820604,2.924462,-3.251426,-2.683623,5.950456
0.020000,6.321677,1.715941,5.877773,2.858487,-3.298760,-2.366682,5.926602
0.020000,6.373769,1.695843,5.933607,2.791701,-3.339271,-2.025526,5.903318
0.020000,6.424137,1.675068,5.988092,2.724220,-3.374052,-1.739091,5.880660
0.020000,6.472783,1.653720,6.041216,2.656184,-3.401818,-1.388260,5.858674
0.020000,6.519713,1.631903,6.092969,2.587690,-3.424716,-1.144917,5.837395
0.020000,6.564941,1.609715,6.143347,2.518859,-3.441548,-0.841612,5.816849
0.020000,6.607344,1.587862,6.191049,2.385140,-6.685964,-162.220808,5.798251
0.020000,6.649468,1.565146,6.238909,2.392973,0.391689,353.882654,5.778232
0.020000,6.691088,1.541484,6.286784,2.393781,0.040402,-17.564321,5.753375
0.020000,6.732232,1.516564,6.334887,2.405118,0.566818,26.320783,5.722836
0.020000,6.772939,1.489984,6.383503,2.430826,1.285397,35.928933,5.685463
0.020000,6.813243,1.461216,6.433021,2.475884,2.252942,48.377289,5.639708
0.020000,6.853141,1.429557,6.483954,2.546658,3.538685,64.287150,5.583508
0.020000,6.892525,1.394071,6.536967,2.650639,5.199024,83.016912,5.514202
0.020000,6.931040,1.353554,6.592868,2.795069,7.221511,101.124385,5.428543
0.020000,6.967826,1.306603,6.652514,2.982279,9.360509,106.949873,5.323093
0.020000,7.001163,1.251987,6.716500,3.199319,10.851986,74.573875,5.195443
0.020000,7.028267,1.189553,6.784564,3.403178,10.192943,-32.952157,5.046635
0.020000,7.045903,1.121445,6.854918,3.517735,5.727864,-223.253975,4.883829
0.020000,7.052110,1.052296,6.924345,3.471319,-2.320793,-402.432844,4.719965
0.020000,7.047647,0.987298,6.989496,3.257581,-10.686901,-418.305376,4.568488
0.020000,7.035383,0.929750,7.048337,2.942008,-15.778674,-254.588644,4.437567
0.020000,7.018517,0.880474,7.100419,2.604117,-16.894507,-55.791662,4.328970
0.020000,6.999474,0.838758,7.146276,2.292855,-15.563136,66.568541,4.240544
0.020000,6.979767,0.803380,7.186773,2.024837,-13.400891,108.112267,4.168813
0.020000,6.960253,0.773149,7.222755,1.799110,-11.286319,105.728564,4.110381
0.020000,6.941393,0.747082,7.254929,1.608697,-9.520679,88.282000,4.062418
0.020000,6.923433,0.724416,7.283847,1.445922,-8.138768,69.095557,4.022709
0.020000,6.906500,0.704574,7.309933,1.304283,-7.081922,52.842336,3.989562
