dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.570548,0.680403,0.000022,0.002209,0.110474,5.523713,6.282265
0.020000,0.570548,0.680403,0.000110,0.006628,0.220949,5.523713,6.282288
0.020000,0.570548,0.680403,0.000309,0.013257,0.331423,5.523713,6.282340
0.020000,0.570548,0.680403,0.000663,0.022095,0.441897,5.523713,6.282432
0.020000,0.570548,0.680403,0.001215,0.033142,0.552371,5.523713,6.282575
0.020000,0.570548,0.680403,0.002011,0.046399,0.662846,5.523713,6.282781
0.020000,0.570548,0.680403,0.003093,0.061866,0.773320,5.523713,6.283062
0.020000,0.571486,0.680403,0.004507,0.079541,0.883794,5.523713,0.000243
0.020000,0.573276,0.680404,0.006297,0.099427,0.994268,5.523713,0.000707
0.020000,0.575486,0.680406,0.008507,0.121522,1.104743,5.523713,0.001279
0.020000,0.578159,0.680410,0.011180,0.145826,1.215217,5.523713,0.001970
0.020000,0.581341,0.680418,0.014362,0.172340,1.325691,5.523713,0.002793
0.020000,0.585075,0.680430,0.018096,0.201063,1.436165,5.523713,0.003757
0.020000,0.589405,0.680449,0.022426,0.231996,1.546640,5.523713,0.004874
0.020000,0.594377,0.680476,0.027398,0.265138,1.657114,5.523713,0.006155
0.020000,0.600033,0.680515,0.033054,0.300490,1.767588,5.523713,0.007609
0.020000,0.606418,0.680569,0.039439,0.338051,1.878062,5.523713,0.009248
0.020000,0.613576,0.680642,0.046598,0.377822,1.988537,5.523713,0.011082
0.020000,0.621552,0.680738,0.054574,0.419802,2.099011,5.523713,0.013121
0.020000,0.630389,0.680864,0.063412,0.463992,2.209485,5.523713,0.015374
0.020000,0.640131,0.681026,0.073156,0.510391,2.319959,5.523713,0.017851
0.020000,0.650823,0.681232,0.083850,0.559000,2.430434,5.523713,0.020560
0.020000,0.662509,0.681489,0.095538,0.609818,2.540908,5.523713,0.023511
0.020000,0.675231,0.681809,0.108265,0.662846,2.651382,5.523713,0.026710
0.020000,0.689035,0.682201,0.122074,0.718083,2.761856,5.523713,0.030167
0.020000,0.703963,0.682680,0.137010,0.775529,2.872331,5.523713,0.033887
0.020000,0.720060,0.683257,0.153117,0.835185,2.982805,5.523713,0.037877
0.020000,0.737347,0.683949,0.170418,0.894841,2.982805,-0.000000,0.042137
0.020000,0.755822,0.684770,0.188911,0.954498,2.982805,0.000000,0.046660
0.020000,0.775485,0.685736,0.208597,1.014154,2.982805,0.000000,0.051441
0.020000,0.796334,0.686862,0.229477,1.073810,2.982805,-0.000000,0.056473
0.020000,0.818368,0.688166,0.251550,1.133466,2.982805,0.000000,0.061746
0.020000,0.841585,0.689665,0.274816,1.193122,2.982805,-0.000000,0.067253
0.020000,0.865984,0.691379,0.299275,1.252778,2.982805,0.000000,0.072984
0.020000,0.891562,0.693326,0.324927,1.312434,2.982805,0.000000,0.078930
0.020000,0.918317,0.695525,0.351772,1.372090,2.982805,-0.000000,0.085081
0.020000,0.946246,0.697997,0.379810,1.431746,2.982805,0.000000,0.091423
0.020000,0.975347,0.700760,0.409042,1.491402,2.982805,0.000000,0.097946
0.020000,1.005616,0.703837,0.439467,1.551058,2.982805,-0.000000,0.104637
0.020000,1.037049,0.707247,0.471084,1.610715,2.982805,0.000000,0.111481
0.020000,1.069643,0.711012,0.503895,1.670371,2.982805,0.000000,0.118465
0.020000,1.103394,0.715151,0.537899,1.730027,2.982805,-0.000000,0.125572
0.020000,1.138298,0.719685,0.573096,1.789683,2.982805,0.000000,0.132788
0.020000,1.174349,0.724636,0.609486,1.849339,2.982805,0.000000,0.140095
0.020000,1.211545,0.730022,0.647070,1.908995,2.982805,-0.000000,0.147475
0.020000,1.249879,0.735862,0.685846,1.968651,2.982805,0.000000,0.154910
0.020000,1.289346,0.742178,0.725816,2.028307,2.982805,0.000000,0.162382
0.020000,1.329942,0.748985,0.766979,2.087963,2.982805,0.000000,0.169869
0.020000,1.371661,0.756302,0.809334,2.147619,2.982805,-0.000000,0.177353
0.020000,1.414497,0.764146,0.852883,2.207276,2.982805,0.000000,0.184811
0.020000,1.458447,0.772532,0.897625,2.266932,2.982805,0.000000,0.192223
0.020000,1.503503,0.781474,0.943561,2.326588,2.982805,-0.000000,0.199566
0.020000,1.549661,0.790985,0.990689,2.386244,2.982805,0.000000,0.206816
0.020000,1.596917,0.801078,1.039010,2.445900,2.982805,0.000000,0.213952
0.020000,1.645265,0.811761,1.088525,2.505556,2.982805,-0.000000,0.220949
0.020000,1.694701,0.823044,1.139233,2.565212,2.982805,0.000000,0.227783
0.020000,1.745222,0.834934,1.191133,2.624868,2.982805,0.000000,0.234430
0.020000,1.796823,0.847435,1.244227,2.684524,2.982805,-0.000000,0.240865
0.020000,1.849502,0.860549,1.298514,2.744180,2.982805,0.000000,0.247062
0.020000,1.903257,0.874279,1.353995,2.803836,2.982805,0.000000,0.252996
0.020000,1.958085,0.888621,1.410668,2.863493,2.982805,-0.000000,0.258641
0.020000,2.013986,0.903573,1.468534,2.923149,2.982805,0.000000,0.263971
0.020000,2.070961,0.919126,1.527594,2.982805,2.982805,0.000000,0.268959
0.020000,2.129010,0.935274,1.587846,3.042461,2.982805,-0.000000,0.273578
0.020000,2.188113,0.951996,1.649270,3.099907,2.872331,-5.523713,0.277800
0.020000,2.248232,0.969267,1.711821,3.155145,2.761856,-5.523713,0.281596
0.020000,2.309329,0.987054,1.775454,3.208172,2.651382,-5.523713,0.284935
0.020000,2.371366,1.005325,1.840125,3.258990,2.540908,-5.523713,0.287791
0.020000,2.434308,1.024040,1.905791,3.307599,2.430434,-5.523713,0.290138
0.020000,2.498122,1.043158,1.972407,3.353998,2.319959,-5.523713,0.291950
0.020000,2.562773,1.062636,2.039929,3.398188,2.209485,-5.523713,0.293202
0.020000,2.628231,1.082426,2.108313,3.440168,2.099011,-5.523713,0.293871
0.020000,2.694463,1.102476,2.177514,3.479939,1.988537,-5.523713,0.293935
0.020000,2.761441,1.122734,2.247488,3.517500,1.878062,-5.523713,0.293373
0.020000,2.829135,1.143142,2.318192,3.552852,1.767588,-5.523713,0.292164
0.020000,2.897517,1.163644,2.389580,3.585994,1.657114,-5.523713,0.290289
0.020000,2.966557,1.184176,2.461609,3.616927,1.546640,-5.523713,0.287730
0.020000,3.036230,1.204676,2.534235,3.645650,1.436165,-5.523713,0.284471
0.020000,3.106506,1.225078,2.607413,3.672164,1.325691,-5.523713,0.280495
0.020000,3.177360,1.245314,2.681100,3.696468,1.215217,-5.523713,0.275789
0.020000,3.248761,1.265315,2.755250,3.718563,1.104743,-5.523713,0.270339
0.020000,3.320683,1.285011,2.829820,3.738449,0.994268,-5.523713,0.264135
0.020000,3.393096,1.304330,2.904766,3.756125,0.883794,-5.523713,0.257166
0.020000,3.465970,1.323199,2.980043,3.771591,0.773320,-5.523713,0.249426
0.020000,3.539273,1.341544,3.055607,3.784848,0.662846,-5.523713,0.240909
0.020000,3.612973,1.359293,3.131415,3.795895,0.552371,-5.523713,0.231613
0.020000,3.687036,1.376371,3.207421,3.804733,0.441897,-5.523713,0.221537
0.020000,3.761424,1.392707,3.283582,3.811362,0.331423,-5.523713,0.210685
