dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.570318,0.430403,0.000022,0.002209,0.110474,5.523713,6.282265
0.020000,0.570324,0.430403,0.000028,0.000287,-0.096141,-10.330763,6.282288
0.020000,0.570337,0.430403,0.000041,0.000645,0.017915,5.702799,6.282340
0.020000,0.570360,0.430403,0.000064,0.001146,0.025077,0.358079,6.282432
0.020000,0.570396,0.430403,0.000099,0.001791,0.032231,0.357741,6.282575
0.020000,0.570447,0.430403,0.000151,0.002579,0.039375,0.357186,6.282781
0.020000,0.570517,0.430403,0.000221,0.003509,0.046502,0.356359,6.283062
0.020000,0.571547,0.430403,0.001251,0.051490,2.399091,117.629445,0.000243
0.020000,0.573453,0.430404,0.003157,0.095279,2.189419,-10.483622,0.000707
0.020000,0.575805,0.430406,0.005509,0.117626,1.117334,-53.604248,0.001279
0.020000,0.578652,0.430411,0.008355,0.142317,1.234583,5.862453,0.001970
0.020000,0.582039,0.430419,0.011743,0.169362,1.352220,5.881848,0.002793
0.020000,0.586014,0.430432,0.015718,0.198755,1.469691,5.873567,0.003757
0.020000,0.590624,0.430452,0.020328,0.230494,1.586952,5.863056,0.004874
0.020000,0.595915,0.430481,0.025619,0.264574,1.703956,5.850188,0.006155
0.020000,0.601935,0.430522,0.031639,0.300997,1.821150,5.859707,0.007609
0.020000,0.608730,0.430580,0.038434,0.339758,1.938064,5.845707,0.009248
0.020000,0.616347,0.430657,0.046051,0.380861,2.055160,5.854794,0.011082
0.020000,0.624832,0.430760,0.054537,0.424298,2.171840,5.833973,0.013121
0.020000,0.634232,0.430894,0.063939,0.470059,2.288045,5.810268,0.015374
0.020000,0.644594,0.431066,0.074302,0.518152,2.404646,5.830054,0.017851
0.020000,0.655963,0.431284,0.085673,0.568562,2.520519,5.793658,0.020560
0.020000,0.668386,0.431558,0.098099,0.621288,2.636307,5.789400,0.023511
0.020000,0.681908,0.431898,0.111625,0.676330,2.752075,5.788406,0.026710
0.020000,0.696576,0.432315,0.126299,0.733669,2.866955,5.744001,0.030167
0.020000,0.712434,0.432823,0.142165,0.793307,2.981905,5.747500,0.033887
0.020000,0.729527,0.433437,0.159269,0.855228,3.096049,5.707192,0.037877
0.020000,0.747878,0.434171,0.177635,0.918260,3.151621,2.778608,0.042137
0.020000,0.767483,0.435042,0.197259,0.981217,3.147808,-0.190657,0.046660
0.020000,0.788339,0.436066,0.218141,1.044088,3.143551,-0.212856,0.051441
0.020000,0.810444,0.437260,0.240278,1.106869,3.139083,-0.223422,0.056473
0.020000,0.833795,0.438642,0.263669,1.169551,3.134067,-0.250773,0.061746
0.020000,0.858386,0.440231,0.288312,1.232132,3.129057,-0.250536,0.067253
0.020000,0.884214,0.442045,0.314203,1.294592,3.123005,-0.302578,0.072984
0.020000,0.911274,0.444104,0.341342,1.356930,3.116890,-0.305727,0.078930
0.020000,0.939562,0.446429,0.369725,1.419136,3.110321,-0.328449,0.085081
0.020000,0.969070,0.449041,0.399349,1.481199,3.103127,-0.359720,0.091423
0.020000,0.999794,0.451959,0.430211,1.543110,3.095556,-0.378532,0.097946
0.020000,1.031727,0.455204,0.462308,1.604859,3.087486,-0.403537,0.104637
0.020000,1.064861,0.458799,0.495637,1.666438,3.078908,-0.428897,0.111481
0.020000,1.099190,0.462764,0.530194,1.727834,3.069834,-0.453700,0.118465
0.020000,1.134705,0.467119,0.565974,1.789041,3.060324,-0.475501,0.125572
0.020000,1.171397,0.471886,0.602975,1.850045,3.050236,-0.504397,0.132788
0.020000,1.209259,0.477085,0.641192,1.910839,3.039683,-0.527659,0.140095
0.020000,1.248280,0.482735,0.680620,1.971415,3.028804,-0.543935,0.147475
0.020000,1.288452,0.488856,0.721256,2.031759,3.017216,-0.579400,0.154910
