dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.576915,3.110141,0.000022,0.002176,0.108804,5.440210,6.250743
0.020000,1.576924,3.110140,0.000031,0.000446,-0.086511,-9.765778,6.250707
0.020000,1.576944,3.110140,0.000051,0.001003,0.027867,5.718915,6.250627
0.020000,1.576980,3.110138,0.000086,0.001784,0.039016,0.557462,6.250484
0.020000,1.577036,3.110137,0.000142,0.002787,0.050169,0.557650,6.250261
0.020000,1.577116,3.110134,0.000222,0.004013,0.061328,0.557956,6.249940
0.020000,1.577225,3.110130,0.000332,0.005463,0.072496,0.558408,6.249503
0.020000,1.577416,3.110124,0.000523,0.009548,0.204217,6.586051,6.248932
0.020000,1.579359,3.110057,0.002467,0.097197,4.382461,208.912183,6.248209
0.020000,1.581756,3.109972,0.004866,0.119948,1.137552,-162.245433,6.247316
0.020000,1.584658,3.109866,0.007769,0.145194,1.262293,6.237014,6.246234
0.020000,1.588111,3.109736,0.011225,0.172775,1.379041,5.837405,6.244946
0.020000,1.592164,3.109578,0.015281,0.202790,1.500769,6.086386,6.243432
0.020000,1.596865,3.109387,0.019985,0.235233,1.622138,6.068478,6.241674
0.020000,1.602262,3.109157,0.025387,0.270093,1.743012,6.043690,6.239652
0.020000,1.608403,3.108883,0.031534,0.307358,1.863245,6.011638,6.237347
0.020000,1.615335,3.108556,0.038475,0.347012,1.982685,5.971993,6.234741
0.020000,1.623109,3.108167,0.046258,0.389156,2.107209,6.226201,6.231812
0.020000,1.631770,3.107708,0.054931,0.433674,2.225895,5.934317,6.228540
0.020000,1.641368,3.107165,0.064544,0.480653,2.348971,6.153828,6.224905
0.020000,1.651950,3.106526,0.075146,0.530071,2.470899,6.096393,6.220886
0.020000,1.663564,3.105776,0.086784,0.581901,2.591486,6.029350,6.216461
0.020000,1.676258,3.104897,0.099509,0.636260,2.717944,6.322874,6.211607
0.020000,1.690080,3.103869,0.113369,0.693004,2.837208,5.963188,6.206304
0.020000,1.705077,3.102670,0.128413,0.752223,2.960938,6.186542,6.200528
0.020000,1.721295,3.101275,0.144692,0.813916,3.084680,6.187081,6.194255
0.020000,1.738782,3.099656,0.162253,0.878076,3.207982,6.165086,6.187463
0.020000,1.757559,3.097784,0.181124,0.943512,3.271821,3.191969,6.180137
0.020000,1.777624,3.095629,0.201304,1.009019,3.275335,0.175716,6.172271
0.020000,1.798973,3.093161,0.222795,1.074552,3.276661,0.066269,6.163862
0.020000,1.821602,3.090345,0.245598,1.140168,3.280789,0.206400,6.154904
0.020000,1.845505,3.087146,0.269714,1.205798,3.281477,0.034407,6.145396
0.020000,1.870676,3.083527,0.295145,1.271517,3.285969,0.224625,6.135332
0.020000,1.897107,3.079447,0.321889,1.337199,3.284120,-0.092478,6.124712
0.020000,1.924789,3.074864,0.349947,1.402918,3.285927,0.090342,6.113535
0.020000,1.953709,3.069735,0.379319,1.468601,3.284172,-0.087759,6.101803
0.020000,1.983857,3.064015,0.410005,1.534288,3.284356,0.009204,6.089518
0.020000,2.015216,3.057655,0.442002,1.599877,3.279426,-0.246483,6.076685
0.020000,2.047770,3.050608,0.475310,1.665389,3.275611,-0.190730,6.063312
0.020000,2.081499,3.042823,0.509926,1.730773,3.269172,-0.321957,6.049407
0.020000,2.116381,3.034251,0.545846,1.796001,3.261420,-0.387635,6.034985
0.020000,2.152392,3.024838,0.583066,1.861043,3.252084,-0.466795,6.020061
0.020000,2.189504,3.014534,0.621582,1.925801,3.237896,-0.709367,6.004655
0.020000,2.227688,3.003286,0.661388,1.990296,3.224748,-0.657421,5.988790
0.020000,2.266910,2.991043,0.702477,2.054439,3.207168,-0.879019,5.972494
0.020000,2.307136,2.977755,0.744841,2.118191,3.187585,-0.979140,5.955798
0.020000,2.348305,2.963381,0.788447,2.180291,3.105017,-4.128376,5.938747
0.020000,2.390331,2.947891,0.833236,2.239483,2.959623,-7.269713,5.921399
0.020000,2.433129,2.931262,0.879152,2.295758,2.813731,-7.294621,5.903815
0.020000,2.476612,2.913475,0.926132,2.349041,2.664132,-7.479936,5.886059
0.020000,2.520697,2.894520,0.974119,2.399331,2.514536,-7.479810,5.868196
0.020000,2.565297,2.874390,1.023051,2.446621,2.364465,-7.503522,5.850293
0.020000,2.610330,2.853087,1.072869,2.490880,2.212962,-7.575158,5.832419
0.020000,2.655715,2.830619,1.123512,2.532126,2.062287,-7.533764,5.814639
0.020000,2.701375,2.806999,1.174919,2.570365,1.911978,-7.515438,5.797021
0.020000,2.747235,2.782248,1.227031,2.605626,1.763053,-7.446266,5.779628
0.020000,2.793224,2.756394,1.279790,2.637926,1.614971,-7.404094,5.762524
0.020000,2.839276,2.729467,1.333136,2.667310,1.469204,-7.288351,5.745768
0.020000,2.885329,2.701507,1.387012,2.693819,1.325457,-7.187331,5.729415
0.020000,2.931326,2.672556,1.441362,2.717502,1.184143,-7.065717,5.713518
0.020000,2.977215,2.642660,1.496131,2.738413,1.045540,-6.930157,5.698124
0.020000,3.022949,2.611870,1.551263,2.756605,0.909605,-6.796736,5.683277
0.020000,3.068484,2.580241,1.606706,2.772140,0.776747,-6.642882,5.669015
0.020000,3.113785,2.547829,1.662407,2.785070,0.646535,-6.510622,5.655373
0.020000,3.158816,2.514694,1.718316,2.795456,0.519288,-6.362333,5.642380
0.020000,3.203551,2.480896,1.774383,2.803353,0.394849,-6.221974,5.630061
0.020000,3.247965,2.446497,1.830559,2.808813,0.272993,-6.092789,5.618437
0.020000,3.292036,2.411563,1.886797,2.811886,0.153645,-5.967387,5.607524
0.020000,3.335747,2.376156,1.943050,2.812619,0.036640,-5.850283,5.597337
0.020000,3.379085,2.340342,1.999271,2.811055,-0.078203,-5.742147,5.587884
0.020000,3.422037,2.304185,2.055415,2.807233,-0.191067,-5.643189,5.579172
0.020000,3.464591,2.267751,2.111435,2.801000,-0.311669,-6.030078,5.571206
0.020000,3.506721,2.231124,2.167261,2.791267,-0.486643,-8.748734,5.563988
0.020000,3.548404,2.194381,2.222826,2.778271,-0.649812,-8.158440,5.557520
0.020000,3.589636,2.157586,2.278089,2.763167,-0.755182,-5.268493,5.551796
0.020000,3.630416,2.120801,2.333009,2.745979,-0.859386,-5.210196,5.546807
0.020000,3.670741,2.084086,2.387544,2.726729,-0.962537,-5.157574,5.542546
0.020000,3.710609,2.047503,2.441652,2.705434,-1.064734,-5.109823,5.539002
0.020000,3.750016,2.011109,2.495294,2.682113,-1.166058,-5.066180,5.536163
0.020000,3.788962,1.974962,2.548430,2.656779,-1.266666,-5.030420,5.534015
0.020000,3.827442,1.939117,2.601019,2.629453,-1.366298,-4.981613,5.532543
0.020000,3.865453,1.903628,2.653022,2.600146,-1.465350,-4.952588,5.531734
0.020000,3.902990,1.868547,2.704400,2.568875,-1.563573,-4.911148,5.531568
0.020000,3.940046,1.833926,2.755113,2.535653,-1.661102,-4.876470,5.532029
0.020000,3.976615,1.799812,2.805123,2.500496,-1.757853,-4.837550,5.533096
0.020000,4.012687,1.766254,2.854391,2.463419,-1.853829,-4.798798,5.534751
0.020000,4.048253,1.733295,2.902880,2.424439,-1.949033,-4.760188,5.536970
0.020000,4.083299,1.700980,2.950551,2.383570,-2.043453,-4.720974,5.539730
0.020000,4.117813,1.669347,2.997368,2.340833,-2.136812,-4.667974,5.543008
0.020000,4.151778,1.638437,3.043293,2.296243,-2.229524,-4.635598,5.546776
0.020000,4.185178,1.608285,3.088289,2.249819,-2.321182,-4.582899,5.551009
0.020000,4.217992,1.578926,3.132321,2.201581,-2.411931,-4.537446,5.555676
0.020000,4.250201,1.550390,3.175352,2.151550,-2.501536,-4.480257,5.560748
0.020000,4.281779,1.522707,3.217346,2.099740,-2.590480,-4.447210,5.566192
0.020000,4.312703,1.495903,3.258270,2.046178,-2.678110,-4.381489,5.571974
0.020000,4.342946,1.470003,3.298088,1.990880,-2.764880,-4.338479,5.578060
0.020000,4.372479,1.445028,3.336765,1.933863,-2.850863,-4.299164,5.584413
0.020000,4.401270,1.420996,3.374268,1.875151,-2.935619,-4.237825,5.590994
0.020000,4.429292,1.397923,3.410566,1.814930,-3.011020,-3.770055,5.597764
0.020000,4.456530,1.375808,3.445652,1.754254,-3.033799,-1.138948,5.604688
0.020000,4.482980,1.354636,3.479531,1.693985,-3.013466,1.016666,5.611734
0.020000,4.508639,1.334395,3.512213,1.634111,-2.993731,0.986756,5.618869
0.020000,4.533503,1.315068,3.543706,1.574625,-2.974301,0.971514,5.626062
0.020000,4.557568,1.296639,3.574016,1.515523,-2.955072,0.961414,5.633283
0.020000,4.580827,1.279092,3.603152,1.456789,-2.936697,0.918748,5.640503
0.020000,4.603276,1.262409,3.631121,1.398418,-2.918561,0.906845,5.647692
0.020000,4.624906,1.246573,3.657929,1.340398,-2.901000,0.878014,5.654822
0.020000,4.645713,1.231566,3.683583,1.282717,-2.884026,0.848688,5.661867
0.020000,4.665689,1.217369,3.708090,1.225366,-2.867578,0.822428,5.668799
0.020000,4.684828,1.203964,3.731457,1.168329,-2.851864,0.785675,5.675594
0.020000,4.703123,1.191332,3.753689,1.111591,-2.836864,0.750000,5.682227
0.020000,4.720567,1.179456,3.774791,1.055143,-2.822394,0.723533,5.688677
0.020000,4.737153,1.168317,3.794771,0.998969,-2.808728,0.683306,5.694919
0.020000,4.752875,1.157898,3.813632,0.943053,-2.795801,0.646313,5.700935
0.020000,4.767726,1.148181,3.831380,0.887382,-2.783563,0.611910,5.706704
0.020000,4.781701,1.139150,3.848018,0.831939,-2.772102,0.573080,5.712208
0.020000,4.794793,1.130788,3.863553,0.776711,-2.761423,0.533918,5.717430
0.020000,4.806999,1.123079,3.877990,0.721852,-2.742961,0.923087,5.722355
0.020000,4.818335,1.115996,3.891356,0.668346,-2.675285,3.383811,5.726977
0.020000,4.828829,1.109503,3.903697,0.617005,-2.567032,5.412653,5.731296
0.020000,4.838511,1.103568,3.915053,0.567809,-2.459804,5.361431,5.735316
0.020000,4.847411,1.098160,3.925468,0.520738,-2.353566,5.311855,5.739039
0.020000,4.855561,1.093248,3.934983,0.475774,-2.248197,5.268465,5.742472
0.020000,4.862991,1.088803,3.943641,0.432902,-2.143586,5.230538,5.745622
0.020000,4.869733,1.084797,3.951483,0.392106,-2.039802,5.189195,5.748496
0.020000,4.875819,1.081204,3.958551,0.353375,-1.936545,5.162856,5.751103
0.020000,4.881281,1.077997,3.964885,0.316697,-1.833910,5.131758,5.753453
0.020000,4.886152,1.075151,3.970526,0.282060,-1.731875,5.101747,5.755558
0.020000,4.890465,1.072643,3.975515,0.249457,-1.630132,5.087165,5.757427
0.020000,4.894253,1.070450,3.979893,0.218877,-1.528981,5.057533,5.759074
0.020000,4.897549,1.068547,3.983699,0.190317,-1.428022,5.047965,5.760512
0.020000,4.900389,1.066914,3.986974,0.163768,-1.327456,5.028319,5.761752
0.020000,4.902804,1.065528,3.989759,0.139225,-1.227124,5.016603,5.762809
0.020000,4.904829,1.064369,3.992092,0.116685,-1.127038,5.004257,5.763697
0.020000,4.906499,1.063415,3.994015,0.096141,-1.027186,4.992610,5.764430
0.020000,4.907847,1.062646,3.995567,0.077595,-0.927307,4.993958,5.765022
0.020000,4.908907,1.062041,3.996788,0.061039,-0.827812,4.974754,5.765489
0.020000,4.909715,1.061581,3.997717,0.046474,-0.728221,4.979553,5.765844
0.020000,4.910304,1.061246,3.998395,0.033899,-0.628754,4.973336,5.766104
0.020000,4.910710,1.061016,3.998862,0.023311,-0.529384,4.968517,5.766283
0.020000,4.910965,1.060870,3.999156,0.014710,-0.430046,4.966903,5.766395
0.020000,4.911106,1.060790,3.999318,0.008096,-0.330729,4.965837,5.766457
0.020000,4.911166,1.060756,3.999387,0.003467,-0.231425,4.965200,5.766484
0.020000,4.911181,1.060748,3.999404,0.000825,-0.132128,4.964879,5.766490
0.020000,4.911181,1.060748,3.999404,0.000000,-0.041240,4.544384,5.766490
