dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.568806,2.860272,0.000022,0.002176,0.108804,5.440210,6.250743
0.020000,1.568806,2.860272,0.000109,0.006528,0.217608,5.440210,6.250707
0.020000,1.568806,2.860272,0.000305,0.013057,0.326413,5.440210,6.250627
0.020000,1.568806,2.860272,0.000653,0.021761,0.435217,5.440210,6.250484
0.020000,1.568806,2.860272,0.001197,0.032641,0.544021,5.440210,6.250261
0.020000,1.568806,2.860272,0.001980,0.045698,0.652825,5.440210,6.249940
0.020000,1.568806,2.860272,0.003047,0.060930,0.761629,5.440210,6.249503
0.020000,1.568854,2.860270,0.004439,0.078339,0.870434,5.440210,6.248932
0.020000,1.570616,2.860209,0.006202,0.097924,0.979238,5.440210,6.248209
0.020000,1.572791,2.860132,0.008378,0.119685,1.088042,5.440210,6.247316
0.020000,1.575422,2.860037,0.011011,0.143622,1.196846,5.440210,6.246234
0.020000,1.578554,2.859919,0.014145,0.169735,1.305650,5.440210,6.244946
0.020000,1.582228,2.859775,0.017822,0.198024,1.414455,5.440210,6.243432
0.020000,1.586490,2.859602,0.022087,0.228489,1.523259,5.440210,6.241674
0.020000,1.591382,2.859394,0.026983,0.261130,1.632063,5.440210,6.239652
0.020000,1.596947,2.859145,0.032554,0.295947,1.740867,5.440210,6.237347
0.020000,1.603229,2.858849,0.038843,0.332941,1.849671,5.440210,6.234741
0.020000,1.610271,2.858497,0.045894,0.372110,1.958476,5.440210,6.231812
0.020000,1.618115,2.858081,0.053749,0.413456,2.067280,5.440210,6.228540
0.020000,1.626806,2.857590,0.062454,0.456978,2.176084,5.440210,6.224905
0.020000,1.636385,2.857011,0.072050,0.502675,2.284888,5.440210,6.220886
0.020000,1.646895,2.856332,0.082582,0.550549,2.393692,5.440210,6.216461
0.020000,1.658379,2.855537,0.094094,0.600599,2.502497,5.440210,6.211607
0.020000,1.670879,2.854608,0.106628,0.652825,2.611301,5.440210,6.206304
0.020000,1.684436,2.853524,0.120229,0.707227,2.720105,5.440210,6.200528
0.020000,1.699092,2.852263,0.134939,0.763806,2.828909,5.440210,6.194255
0.020000,1.714888,2.850801,0.150803,0.822560,2.937714,5.440210,6.187463
0.020000,1.731843,2.849110,0.167841,0.881314,2.937714,-0.000000,6.180137
0.020000,1.749952,2.847165,0.186055,0.940068,2.937714,0.000000,6.172271
0.020000,1.769213,2.844938,0.205444,0.998823,2.937714,-0.000000,6.163862
0.020000,1.789619,2.842399,0.226008,1.057577,2.937714,0.000000,6.154904
0.020000,1.811166,2.839516,0.247747,1.116331,2.937714,0.000000,6.145396
0.020000,1.833847,2.836254,0.270661,1.175085,2.937714,0.000000,6.135332
0.020000,1.857654,2.832579,0.294751,1.233840,2.937714,-0.000000,6.124712
0.020000,1.882579,2.828453,0.320015,1.292594,2.937714,0.000000,6.113535
0.020000,1.908612,2.823836,0.346454,1.351348,2.937714,0.000000,6.101803
0.020000,1.935743,2.818688,0.374069,1.410102,2.937714,-0.000000,6.089518
0.020000,1.963958,2.812966,0.402858,1.468857,2.937714,0.000000,6.076685
0.020000,1.993244,2.806627,0.432823,1.527611,2.937714,-0.000000,6.063312
0.020000,2.023585,2.799624,0.463963,1.586365,2.937714,0.000000,6.049407
0.020000,2.054966,2.791912,0.496278,1.645120,2.937714,0.000000,6.034985
0.020000,2.087367,2.783442,0.529768,1.703874,2.937714,-0.000000,6.020061
0.020000,2.120768,2.774168,0.564433,1.762628,2.937714,0.000000,6.004655
0.020000,2.155147,2.764041,0.600273,1.821382,2.937714,-0.000000,5.988790
0.020000,2.190481,2.753013,0.637288,1.880137,2.937714,0.000000,5.972494
0.020000,2.226744,2.741034,0.675478,1.938891,2.937714,-0.000000,5.955798
0.020000,2.263888,2.728064,0.714822,1.995469,2.828909,-5.440210,5.938747
0.020000,2.301844,2.714074,0.755275,2.049871,2.720105,-5.440210,5.921399
0.020000,2.340545,2.699037,0.796795,2.102097,2.611301,-5.440210,5.903815
0.020000,2.379920,2.682931,0.839337,2.152147,2.502497,-5.440210,5.886059
0.020000,2.419902,2.665740,0.882859,2.200021,2.393692,-5.440210,5.868196
0.020000,2.460422,2.647451,0.927316,2.245719,2.284888,-5.440210,5.850293
0.020000,2.501416,2.628059,0.972666,2.289240,2.176084,-5.440210,5.832419
0.020000,2.542818,2.607562,1.018864,2.330586,2.067280,-5.440210,5.814639
0.020000,2.584565,2.585966,1.065868,2.369756,1.958476,-5.440210,5.797021
0.020000,2.626599,2.563280,1.113633,2.406749,1.849671,-5.440210,5.779628
0.020000,2.668860,2.539521,1.162116,2.441566,1.740867,-5.440210,5.762524
0.020000,2.711296,2.514709,1.211274,2.474208,1.632063,-5.440210,5.745768
0.020000,2.753855,2.488870,1.261062,2.504673,1.523259,-5.440210,5.729415
0.020000,2.796488,2.462036,1.311439,2.532962,1.414455,-5.440210,5.713518
0.020000,2.839153,2.434240,1.362359,2.559075,1.305650,-5.440210,5.698124
0.020000,2.881807,2.405524,1.413780,2.583012,1.196846,-5.440210,5.683277
0.020000,2.924414,2.375928,1.465658,2.604773,1.088042,-5.440210,5.669015
0.020000,2.966941,2.345501,1.517949,2.624357,0.979238,-5.440210,5.655373
0.020000,3.009356,2.314290,1.570610,2.641766,0.870434,-5.440210,5.642380
0.020000,3.051633,2.282348,1.623598,2.656999,0.761629,-5.440210,5.630061
0.020000,3.093749,2.249729,1.676869,2.670055,0.652825,-5.440210,5.618437
0.020000,3.135682,2.216490,1.730379,2.680936,0.544021,-5.440210,5.607524
0.020000,3.177415,2.182686,1.784084,2.689640,0.435217,-5.440210,5.597337
