dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.560697,2.610404,0.000022,0.002176,0.108804,5.440210,6.250743
0.020000,1.560688,2.610404,0.000031,0.000446,-0.086511,-9.765778,6.250707
0.020000,1.560668,2.610405,0.000051,0.001003,0.027867,5.718915,6.250627
0.020000,1.560632,2.610406,0.000086,0.001784,0.039016,0.557462,6.250484
0.020000,1.560577,2.610408,0.000142,0.002787,0.050169,0.557650,6.250261
0.020000,1.560496,2.610410,0.000222,0.004013,0.061328,0.557956,6.249940
0.020000,1.560387,2.610414,0.000332,0.005463,0.072496,0.558408,6.249503
0.020000,1.560293,2.610417,0.000426,0.004726,-0.036850,-5.467343,6.248932
0.020000,1.561874,2.610362,0.002009,0.079119,3.719616,187.823317,6.248209
0.020000,1.563825,2.610293,0.003961,0.097624,0.925258,-139.717890,6.247316
0.020000,1.566187,2.610207,0.006324,0.118150,1.026309,5.052549,6.246234
0.020000,1.568996,2.610102,0.009135,0.140564,1.120686,4.718829,6.244946
0.020000,1.572292,2.609973,0.012434,0.164942,1.218913,4.911373,6.243432
0.020000,1.576115,2.609818,0.016260,0.191274,1.316614,4.885024,6.241674
0.020000,1.580502,2.609631,0.020651,0.219547,1.413641,4.851372,6.239652
0.020000,1.585492,2.609408,0.025645,0.249744,1.509843,4.810100,6.237347
0.020000,1.591122,2.609142,0.031282,0.281845,1.605063,4.760977,6.234741
0.020000,1.597433,2.608827,0.037601,0.315926,1.704038,4.948753,6.231812
0.020000,1.604461,2.608454,0.044639,0.351883,1.797866,4.691430,6.228540
0.020000,1.612244,2.608014,0.052434,0.389780,1.894824,4.847905,6.224905
0.020000,1.620820,2.607496,0.061026,0.429588,1.990390,4.778298,6.220886
0.020000,1.630226,2.606889,0.070451,0.471275,2.084394,4.700181,6.216461
0.020000,1.640500,2.606177,0.080750,0.514929,2.182665,4.913535,6.211607
0.020000,1.651677,2.605346,0.091958,0.560421,2.274626,4.598069,6.206304
0.020000,1.663795,2.604377,0.104115,0.607816,2.369736,4.755483,6.200528
0.020000,1.676889,2.603251,0.117257,0.657104,2.464417,4.734052,6.194255
0.020000,1.690994,2.601945,0.131422,0.708272,2.558361,4.697199,6.187463
0.020000,1.706126,2.600436,0.146629,0.760354,2.604108,2.287341,6.180137
0.020000,1.722281,2.598702,0.162877,0.812380,2.601302,-0.140265,6.172271
0.020000,1.739453,2.596716,0.180163,0.864321,2.597067,-0.211761,6.163862
0.020000,1.757637,2.594453,0.198488,0.916233,2.595597,-0.073500,6.154904
0.020000,1.776828,2.591885,0.217850,0.968074,2.592070,-0.176348,6.145396
0.020000,1.797018,2.588982,0.238248,1.019925,2.592526,0.022790,6.135332
0.020000,1.818202,2.585712,0.259682,1.071706,2.589063,-0.173146,6.124712
0.020000,1.840370,2.582042,0.282152,1.123506,2.589967,0.045208,6.113535
0.020000,1.863515,2.577937,0.305658,1.175300,2.589733,-0.011693,6.101803
0.020000,1.887628,2.573362,0.330201,1.227162,2.593069,0.166763,6.089518
0.020000,1.912699,2.568278,0.355783,1.279055,2.594646,0.078873,6.076685
0.020000,1.938717,2.562645,0.382404,1.331050,2.599776,0.256521,6.063312
0.020000,1.965672,2.556424,0.410067,1.383166,2.605801,0.301227,6.049407
0.020000,1.993551,2.549573,0.438776,1.435448,2.614098,0.414871,6.034985
0.020000,2.022343,2.542047,0.468535,1.487944,2.624774,0.533767,6.020061
0.020000,2.052032,2.533803,0.499348,1.540654,2.635513,0.536969,6.004655
0.020000,2.082607,2.524797,0.531221,1.593680,2.651295,0.789089,5.988790
0.020000,2.114052,2.514982,0.564162,1.647039,2.667969,0.833711,5.972494
0.020000,2.146351,2.504312,0.598178,1.700792,2.687649,0.983973,5.955798
0.020000,2.179470,2.492748,0.633258,1.754019,2.661327,-1.316104,5.938747
0.020000,2.213358,2.480258,0.669374,1.805789,2.588546,-3.639016,5.921399
0.020000,2.247961,2.466813,0.706498,1.856166,2.518805,-3.487077,5.903815
0.020000,2.283227,2.452387,0.744600,1.905144,2.448946,-3.492950,5.886059
0.020000,2.319107,2.436960,0.783656,1.952770,2.381294,-3.382586,5.868196
0.020000,2.355548,2.420512,0.823637,1.999065,2.314720,-3.328701,5.850293
0.020000,2.392502,2.403030,0.864517,2.044017,2.247624,-3.354797,5.832419
0.020000,2.429920,2.384506,0.906270,2.087637,2.181002,-3.331119,5.814639
0.020000,2.467756,2.364933,0.948868,2.129910,2.113624,-3.368864,5.797021
0.020000,2.505962,2.344312,0.992285,2.170820,2.045502,-3.406124,5.779628
0.020000,2.544497,2.322648,1.036491,2.210328,1.975404,-3.504868,5.762524
0.020000,2.583316,2.299951,1.081459,2.248405,1.903853,-3.577586,5.745768
0.020000,2.622380,2.276234,1.127160,2.285005,1.829995,-3.692864,5.729415
0.020000,2.661650,2.251516,1.173561,2.320078,1.753679,-3.815803,5.713518
0.020000,2.701090,2.225821,1.220633,2.353574,1.674762,-3.945882,5.698124
0.020000,2.740665,2.199177,1.268341,2.385433,1.592946,-4.090789,5.683277
0.020000,2.780344,2.171615,1.316653,2.415601,1.508443,-4.225129,5.669015
0.020000,2.820097,2.143172,1.365534,2.444018,1.420849,-4.379725,5.655373
0.020000,2.859896,2.113886,1.414946,2.470629,1.330508,-4.517045,5.642380
0.020000,2.899716,2.083801,1.464854,2.495377,1.237437,-4.653559,5.630061
0.020000,2.939534,2.052962,1.515218,2.518211,1.141660,-4.788852,5.618437
0.020000,2.979329,2.021416,1.566000,2.539078,1.043384,-4.913785,5.607524
0.020000,3.019082,1.989215,1.617158,2.557934,0.942774,-5.030496,5.597337
0.020000,3.058776,1.956411,1.668653,2.574734,0.840004,-5.138512,5.587884
0.020000,3.098396,1.923059,1.720442,2.589439,0.735252,-5.237616,5.579172
0.020000,3.137924,1.889216,1.772478,2.601835,0.619806,-5.772303,5.571206
0.020000,3.177330,1.854957,1.824695,2.610833,0.449920,-8.494255,5.563988
0.020000,3.216587,1.820352,1.877026,2.616566,0.286652,-8.163409,5.557520
0.020000,3.255684,1.785462,1.929427,2.620054,0.174397,-5.612774,5.551796
0.020000,3.294612,1.750348,1.981853,2.621274,0.060986,-5.670535,5.546807
0.020000,3.333361,1.715068,2.034257,2.620205,-0.053466,-5.722588,5.542546
0.020000,3.371923,1.679682,2.086594,2.616827,-0.168866,-5.770003,5.539002
0.020000,3.410288,1.644252,2.138816,2.611125,-0.285143,-5.813881,5.536163
0.020000,3.448446,1.608835,2.190878,2.603078,-0.402338,-5.859725,5.534015
0.020000,3.486388,1.573491,2.242731,2.592676,-0.520112,-5.888702,5.532543
0.020000,3.524103,1.538278,2.294329,2.579899,-0.638802,-5.934488,5.531734
0.020000,3.561579,1.503254,2.345624,2.564737,-0.758141,-5.966944,5.531568
0.020000,3.598804,1.468476,2.396567,2.547171,-0.878264,-6.006164,5.532029
0.020000,3.635763,1.433998,2.447111,2.527189,-0.999110,-6.042312,5.533096
0.020000,3.672441,1.399876,2.497207,2.504775,-1.120723,-6.080631,5.534751
0.020000,3.708820,1.366164,2.546805,2.479912,-1.243159,-6.121807,5.536970
0.020000,3.744881,1.332912,2.595856,2.452582,-1.366470,-6.165581,5.539730
0.020000,3.780603,1.300173,2.644312,2.422773,-1.490441,-6.198536,5.543008
0.020000,3.815962,1.267994,2.692121,2.390462,-1.615565,-6.256167,5.546776
0.020000,3.850933,1.236425,2.739234,2.355632,-1.741486,-6.296057,5.551009
0.020000,3.885487,1.205509,2.785599,2.318264,-1.868409,-6.346187,5.555676
0.020000,3.919593,1.175292,2.831166,2.278342,-1.996130,-6.386029,5.560748
0.020000,3.953219,1.145814,2.875883,2.235838,-2.125182,-6.452619,5.566192
0.020000,3.986328,1.117117,2.919697,2.190740,-2.254877,-6.484737,5.571974
0.020000,4.018882,1.089238,2.962558,2.143027,-2.385672,-6.539752,5.578060
0.020000,4.050839,1.062211,3.004411,2.092675,-2.517600,-6.596388,5.584413
0.020000,4.082157,1.036072,3.045205,2.039673,-2.650103,-6.625141,5.590994
0.020000,4.112793,1.010847,3.084889,1.984190,-2.774149,-6.202300,5.597764
0.020000,4.142718,0.986549,3.123436,1.927356,-2.841711,-3.378128,5.604688
0.020000,4.171918,0.963177,3.160838,1.870120,-2.861788,-1.003855,5.611734
0.020000,4.200378,0.940726,3.197088,1.812485,-2.881762,-0.998686,5.618869
0.020000,4.228083,0.919191,3.232177,1.754460,-2.901251,-0.974436,5.626062
0.020000,4.255014,0.898567,3.266098,1.696058,-2.920068,-0.940880,5.633283
0.020000,4.281155,0.878846,3.298844,1.637281,-2.938869,-0.940020,5.640503
0.020000,4.306488,0.860020,3.330407,1.578143,-2.956888,-0.900949,5.647692
0.020000,4.330996,0.842078,3.360780,1.518655,-2.974425,-0.876861,5.654822
0.020000,4.354659,0.825010,3.389956,1.458826,-2.991415,-0.849518,5.661867
0.020000,4.377461,0.808805,3.417930,1.398672,-3.007715,-0.814982,5.668799
0.020000,4.399383,0.793451,3.444694,1.338202,-3.023494,-0.788953,5.675594
0.020000,4.420407,0.778935,3.470242,1.277429,-3.038667,-0.758654,5.682227
0.020000,4.440516,0.765244,3.494570,1.216369,-3.052967,-0.715013,5.688677
0.020000,4.459693,0.752365,3.517671,1.155036,-3.066664,-0.684839,5.694919
0.020000,4.477922,0.740284,3.539539,1.093443,-3.079646,-0.649111,5.700935
0.020000,4.495187,0.728988,3.560172,1.031607,-3.091825,-0.608953,5.706704
0.020000,4.511473,0.718463,3.579562,0.969541,-3.103284,-0.572950,5.712208
0.020000,4.526766,0.708696,3.597708,0.907261,-3.114021,-0.536815,5.717430
0.020000,4.541054,0.699672,3.614607,0.844981,-3.113994,0.001345,5.722355
0.020000,4.554350,0.691364,3.630285,0.783891,-3.054474,2.975988,5.726977
0.020000,4.566680,0.683735,3.644785,0.724989,-2.945138,5.466816,5.731296
0.020000,4.578076,0.676750,3.658151,0.668294,-2.834722,5.520813,5.735316
0.020000,4.588568,0.670375,3.670427,0.613827,-2.723378,5.567180,5.739039
0.020000,4.598187,0.664577,3.681659,0.561604,-2.611145,5.611637,5.742472
0.020000,4.606969,0.659324,3.691892,0.511642,-2.498070,5.653773,5.745622
0.020000,4.614946,0.654584,3.701171,0.463954,-2.384399,5.683541,5.748496
0.020000,4.622154,0.650327,3.709542,0.418556,-2.269935,5.723185,5.751103
0.020000,4.628630,0.646525,3.717051,0.375457,-2.154939,5.749820,5.753453
0.020000,4.634409,0.643149,3.723745,0.334666,-2.039523,5.770810,5.755558
0.020000,4.639530,0.640172,3.729669,0.296197,-1.923450,5.803654,5.757427
0.020000,4.644031,0.637565,3.734870,0.260053,-1.807197,5.812646,5.759074
0.020000,4.647950,0.635303,3.739395,0.226245,-1.690398,5.839909,5.760512
0.020000,4.651327,0.633361,3.743290,0.194777,-1.573397,5.850088,5.761752
0.020000,4.654200,0.631712,3.746603,0.165656,-1.456097,5.864987,5.762809
0.020000,4.656611,0.630332,3.749381,0.138884,-1.338600,5.874835,5.763697
0.020000,4.658599,0.629196,3.751670,0.114464,-1.220968,5.881593,5.764430
0.020000,4.660204,0.628280,3.753518,0.092405,-1.102963,5.900276,5.765022
