dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.093978,4.138219,0.000022,0.002193,0.109642,5.482080,3.144433
0.020000,5.093968,4.138219,0.000031,0.000463,-0.086468,-9.805484,3.144396
0.020000,5.093948,4.138219,0.000052,0.001043,0.028969,5.771863,3.144313
0.020000,5.093910,4.138219,0.000089,0.001854,0.040563,0.579701,3.144165
0.020000,5.093853,4.138219,0.000147,0.002897,0.052167,0.580188,3.143933
0.020000,5.093769,4.138218,0.000231,0.004173,0.063787,0.580984,3.143599
0.020000,5.093655,4.138218,0.000344,0.005682,0.075430,0.582165,3.143144
0.020000,5.093507,4.138218,0.000493,0.007424,0.087106,0.583806,3.142551
0.020000,5.093319,4.138218,0.000681,0.009400,0.098826,0.585978,3.141798
0.020000,5.091378,4.138219,0.002621,0.097028,4.381391,214.128263,3.140869
0.020000,5.088443,4.138222,0.005556,0.146755,2.486331,-94.753011,3.139743
0.020000,5.084951,4.138231,0.009049,0.174615,1.393032,-54.664952,3.138401
0.020000,5.080850,4.138247,0.013150,0.205070,1.522734,6.485114,3.136822
0.020000,5.076093,4.138274,0.017907,0.237834,1.638171,5.771876,3.134987
0.020000,5.070632,4.138316,0.023367,0.273036,1.760134,6.098122,3.132875
0.020000,5.064416,4.138378,0.029584,0.310842,1.890270,6.506824,3.130463
0.020000,5.057396,4.138466,0.036605,0.351021,2.008961,5.934527,3.127732
0.020000,5.049524,4.138587,0.044478,0.393651,2.131490,6.126472,3.124658
0.020000,5.040749,4.138751,0.053254,0.438811,2.257992,6.325079,3.121217
0.020000,5.031022,4.138967,0.062984,0.486508,2.384860,6.343412,3.117386
0.020000,5.020294,4.139250,0.073715,0.536545,2.501846,5.849273,3.113140
0.020000,5.008514,4.139613,0.085501,0.589301,2.637835,6.799478,3.108453
0.020000,4.995634,4.140073,0.098389,0.644418,2.755853,5.900890,3.103298
0.020000,4.981602,4.140650,0.112433,0.702159,2.887049,6.559793,3.097647
0.020000,4.966370,4.141367,0.127682,0.762485,3.016257,6.460431,3.091470
0.020000,4.949886,4.142250,0.144189,0.825348,3.143196,6.346907,3.084737
0.020000,4.932104,4.143327,0.162004,0.890720,3.268600,6.270207,3.077417
0.020000,4.912995,4.144631,0.181158,0.957696,3.348763,4.008170,3.069485
0.020000,4.892562,4.146195,0.201651,1.024663,3.348353,-0.020518,3.060928
0.020000,4.870804,4.148054,0.223488,1.091842,3.358956,0.530156,3.051733
0.020000,4.847724,4.150248,0.246671,1.159180,3.366904,0.397426,3.041884
0.020000,4.823323,4.152819,0.271208,1.226827,3.382341,0.771852,3.031365
0.020000,4.797607,4.155811,0.297097,1.294478,3.382577,0.011755,3.020165
0.020000,4.770578,4.159272,0.324346,1.362453,3.398754,0.808879,3.008266
0.020000,4.742246,4.163254,0.352958,1.430563,3.405466,0.335619,2.995656
0.020000,4.712617,4.167810,0.382935,1.498859,3.414829,0.468109,2.982321
0.020000,4.681706,4.172999,0.414278,1.567161,3.415079,0.012498,2.968251
0.020000,4.649523,4.178880,0.446994,1.635776,3.430745,0.783293,2.953435
0.020000,4.616089,4.185516,0.481081,1.704349,3.428643,-0.105052,2.937866
0.020000,4.581422,4.192973,0.516540,1.772985,3.431824,0.159035,2.921541
0.020000,4.545545,4.201319,0.553375,1.841751,3.438278,0.322716,2.904457
0.020000,4.508489,4.210625,0.591582,1.910327,3.428807,-0.473592,2.886618
0.020000,4.470285,4.220963,0.631159,1.978880,3.427663,-0.057167,2.868032
0.020000,4.430971,4.232405,0.672105,2.047272,3.419586,-0.403886,2.848712
0.020000,4.390590,4.245024,0.714412,2.115366,3.404709,-0.743829,2.828678
0.020000,4.349187,4.258895,0.758076,2.183206,3.392022,-0.634328,2.807957
0.020000,4.306818,4.274089,0.803088,2.250568,3.368088,-1.196719,2.786581
0.020000,4.263539,4.290677,0.849436,2.317428,3.342990,-1.254916,2.764592
0.020000,4.219415,4.308726,0.897110,2.383680,3.312625,-1.518260,2.742039
0.020000,4.174511,4.328301,0.946094,2.449221,3.277011,-1.780673,2.718979
0.020000,4.128902,4.349461,0.996373,2.513951,3.236500,-2.025532,2.695478
0.020000,4.082662,4.372260,1.047928,2.577754,3.190166,-2.316705,2.671608
0.020000,4.035869,4.396745,1.100740,2.640598,3.142198,-2.398427,2.647448
0.020000,3.988604,4.422957,1.154787,2.702328,3.086478,-2.785991,2.623085
