dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.093268,4.388218,0.000022,0.002193,0.109642,5.482080,3.144433
0.020000,5.093268,4.388218,0.000110,0.006578,0.219283,5.482080,3.144396
0.020000,5.093268,4.388218,0.000307,0.013157,0.328925,5.482080,3.144313
0.020000,5.093268,4.388218,0.000658,0.021928,0.438566,5.482080,3.144165
0.020000,5.093268,4.388218,0.001206,0.032892,0.548208,5.482080,3.143933
0.020000,5.093268,4.388218,0.001995,0.046049,0.657850,5.482080,3.143599
0.020000,5.093268,4.388218,0.003070,0.061399,0.767491,5.482080,3.143144
0.020000,5.093268,4.388218,0.004473,0.078942,0.877133,5.482080,3.142551
0.020000,5.093268,4.388218,0.006250,0.098677,0.986774,5.482080,3.141798
0.020000,5.091559,4.388218,0.008442,0.120606,1.096416,5.482080,3.140869
0.020000,5.088906,4.388222,0.011096,0.144727,1.206058,5.482080,3.139743
0.020000,5.085749,4.388230,0.014253,0.171041,1.315699,5.482080,3.138401
0.020000,5.082042,4.388245,0.017959,0.199548,1.425341,5.482080,3.136822
0.020000,5.077745,4.388269,0.022257,0.230247,1.534983,5.482080,3.134987
0.020000,5.072812,4.388307,0.027191,0.263140,1.644624,5.482080,3.132875
0.020000,5.067198,4.388363,0.032805,0.298225,1.754266,5.482080,3.130463
0.020000,5.060861,4.388442,0.039142,0.335503,1.863907,5.482080,3.127732
0.020000,5.053758,4.388551,0.046247,0.374974,1.973549,5.482080,3.124658
0.020000,5.045843,4.388699,0.054163,0.416638,2.083191,5.482080,3.121217
0.020000,5.037073,4.388894,0.062934,0.460495,2.192832,5.482080,3.117386
0.020000,5.027407,4.389149,0.072605,0.506544,2.302474,5.482080,3.113140
0.020000,5.016797,4.389476,0.083218,0.554787,2.412115,5.482080,3.108453
0.020000,5.005205,4.389890,0.094818,0.605222,2.521757,5.482080,3.103298
0.020000,4.992585,4.390409,0.107449,0.657850,2.631399,5.482080,3.097647
0.020000,4.978895,4.391053,0.121154,0.712670,2.741040,5.482080,3.091470
0.020000,4.964093,4.391846,0.135978,0.769684,2.850682,5.482080,3.084737
0.020000,4.948137,4.392812,0.151963,0.828891,2.960323,5.482080,3.077417
0.020000,4.931006,4.393981,0.169133,0.888097,2.960323,-0.000000,3.069485
0.020000,4.912706,4.395382,0.187487,0.947303,2.960323,0.000000,3.060928
0.020000,4.893239,4.397046,0.207025,1.006510,2.960323,-0.000000,3.051733
0.020000,4.872610,4.399007,0.227748,1.065716,2.960323,0.000000,3.041884
0.020000,4.850824,4.401302,0.249654,1.124923,2.960323,0.000000,3.031365
0.020000,4.827889,4.403970,0.272744,1.184129,2.960323,-0.000000,3.020165
0.020000,4.803811,4.407053,0.297019,1.243336,2.960323,0.000000,3.008266
0.020000,4.778601,4.410596,0.322478,1.302542,2.960323,-0.000000,2.995656
0.020000,4.752267,4.414646,0.349121,1.361749,2.960323,0.000000,2.982321
0.020000,4.724825,4.419252,0.376948,1.420955,2.960323,0.000000,2.968251
0.020000,4.696286,4.424467,0.405959,1.480162,2.960323,0.000000,2.953435
0.020000,4.666669,4.430345,0.436154,1.539368,2.960323,0.000000,2.937866
0.020000,4.635992,4.436944,0.467534,1.598575,2.960323,-0.000000,2.921541
0.020000,4.604275,4.444323,0.500097,1.657781,2.960323,0.000000,2.904457
0.020000,4.571544,4.452543,0.533845,1.716988,2.960323,-0.000000,2.886618
0.020000,4.537826,4.461667,0.568777,1.776194,2.960323,-0.000000,2.868032
0.020000,4.503149,4.471759,0.604893,1.835401,2.960323,0.000000,2.848712
0.020000,4.467548,4.482884,0.642193,1.894607,2.960323,0.000000,2.828678
0.020000,4.431058,4.495110,0.680677,1.953813,2.960323,0.000000,2.807957
0.020000,4.393718,4.508500,0.720345,2.013020,2.960323,-0.000000,2.786581
0.020000,4.355573,4.523120,0.761198,2.072226,2.960323,0.000000,2.764592
0.020000,4.316666,4.539035,0.803234,2.131433,2.960323,0.000000,2.742039
0.020000,4.277048,4.556306,0.846455,2.190639,2.960323,0.000000,2.718979
0.020000,4.236768,4.574994,0.890860,2.249846,2.960323,-0.000000,2.695478
0.020000,4.195880,4.595153,0.936449,2.309052,2.960323,0.000000,2.671608
0.020000,4.154438,4.616839,0.983222,2.368259,2.960323,0.000000,2.647448
0.020000,4.112500,4.640097,1.031179,2.427465,2.960323,0.000000,2.623085
0.020000,4.070122,4.664973,1.080321,2.486672,2.960323,0.000000,2.598608
0.020000,4.027359,4.691503,1.130646,2.545878,2.960323,-0.000000,2.574113
0.020000,3.984267,4.719720,1.182156,2.605085,2.960323,0.000000,2.549695
0.020000,3.940900,4.749649,1.234850,2.664291,2.960323,0.000000,2.525453
0.020000,3.897326,4.781299,1.288706,2.721305,2.850682,-5.482080,2.501493
0.020000,3.853628,4.814653,1.343680,2.776125,2.741040,-5.482080,2.477927
0.020000,3.809881,4.849689,1.399729,2.828753,2.631399,-5.482080,2.454860
0.020000,3.766154,4.886375,1.456808,2.879189,2.521757,-5.482080,2.432390
0.020000,3.722508,4.924670,1.514874,2.927431,2.412115,-5.482080,2.410606
