dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.113910,7.238961,0.000022,0.002204,0.110221,5.511057,3.749939
0.020000,5.113903,7.238956,0.000030,0.000386,-0.090902,-10.056145,3.749908
0.020000,5.113889,7.238946,0.000047,0.000869,0.024151,5.752623,3.749838
0.020000,5.113864,7.238929,0.000078,0.001546,0.033815,0.483220,3.749715
0.020000,5.113824,7.238901,0.000126,0.002415,0.043486,0.483535,3.749521
0.020000,5.113767,7.238861,0.000196,0.003479,0.053167,0.484050,3.749243
0.020000,5.113689,7.238807,0.000291,0.004736,0.062863,0.484814,3.748864
0.020000,5.113587,7.238737,0.000414,0.006188,0.072581,0.485876,3.748369
0.020000,5.112913,7.238269,0.001235,0.041040,1.742614,83.501665,3.747742
0.020000,5.110941,7.236903,0.003634,0.119934,3.944685,110.103536,3.746968
0.020000,5.108555,7.235253,0.006535,0.145043,1.255493,-134.459596,3.746030
0.020000,5.105711,7.233292,0.009990,0.172746,1.385118,6.481284,3.744911
0.020000,5.102371,7.230994,0.014043,0.202687,1.497074,5.597760,3.743597
0.020000,5.098494,7.228334,0.018745,0.235092,1.620230,6.157827,3.742070
0.020000,5.094036,7.225287,0.024145,0.269986,1.744687,6.222855,3.740312
0.020000,5.088957,7.221829,0.030289,0.307222,1.861808,5.856032,3.738308
0.020000,5.083214,7.217937,0.037227,0.346893,1.983540,6.086612,3.736038
0.020000,5.076762,7.213587,0.045009,0.389064,2.108565,6.251259,3.733485
0.020000,5.069559,7.208760,0.053680,0.433572,2.225411,5.842310,3.730631
0.020000,5.061558,7.203432,0.063292,0.480582,2.350477,6.253256,3.727456
0.020000,5.052716,7.197587,0.073892,0.529995,2.470683,6.010324,3.723940
0.020000,5.042983,7.191205,0.085530,0.581922,2.596333,6.282481,3.720063
0.020000,5.032313,7.184269,0.098257,0.636333,2.720548,6.210779,3.715803
0.020000,5.020655,7.176766,0.112121,0.693195,2.843092,6.127185,3.711139
0.020000,5.007960,7.168683,0.127170,0.752469,2.963728,6.031809,3.706049
0.020000,4.994175,7.160008,0.143458,0.814399,3.096469,6.637042,3.700507
0.020000,4.979247,7.150733,0.161032,0.878722,3.216142,5.983638,3.694490
0.020000,4.963141,7.140867,0.179920,0.944371,3.282479,3.316874,3.687981
0.020000,4.945842,7.130429,0.200124,1.010202,3.291521,0.452104,3.680971
0.020000,4.927335,7.119445,0.221645,1.076062,3.293038,0.075858,3.673448
0.020000,4.907601,7.107940,0.244488,1.142150,3.304382,0.567163,3.665404
0.020000,4.886624,7.095942,0.268654,1.208289,3.306939,0.127868,3.656829
0.020000,4.864384,7.083482,0.294147,1.274640,3.317579,0.532018,3.647710
0.020000,4.840863,7.070594,0.320967,1.340999,3.317927,0.017357,3.638039
0.020000,4.816042,7.057312,0.349118,1.407575,3.328797,0.543508,3.627805
0.020000,4.789900,7.043675,0.378604,1.474277,3.335111,0.315726,3.616999
0.020000,4.762416,7.029724,0.409425,1.541069,3.339606,0.224718,3.605610
0.020000,4.733573,7.015504,0.441584,1.607936,3.343348,0.187116,3.593632
0.020000,4.703347,7.001061,0.475082,1.674926,3.349508,0.308011,3.581056
0.020000,4.671721,6.986446,0.509922,1.741998,3.353574,0.203299,3.567877
0.020000,4.638676,6.971712,0.546104,1.809066,3.353407,-0.008356,3.554091
0.020000,4.604191,6.956916,0.583629,1.876251,3.359246,0.291961,3.539696
0.020000,4.568251,6.942118,0.622496,1.943353,3.355108,-0.206916,3.524691
0.020000,4.530841,6.927379,0.662705,2.010450,3.354838,-0.013489,3.509081
0.020000,4.491946,6.912766,0.704253,2.077446,3.349810,-0.251431,3.492872
0.020000,4.451556,6.898347,0.747140,2.144331,3.344244,-0.278268,3.476074
0.020000,4.409662,6.884194,0.791360,2.211014,3.334152,-0.504625,3.458702
0.020000,4.366258,6.870379,0.836910,2.277499,3.324259,-0.494609,3.440774
0.020000,4.321342,6.856978,0.883783,2.343643,3.307222,-0.851889,3.422315
0.020000,4.274915,6.844067,0.931972,2.409440,3.289830,-0.869594,3.403353
0.020000,4.226982,6.831723,0.981468,2.474796,3.267812,-1.100873,3.383924
0.020000,4.177578,6.820030,1.032237,2.538462,3.183275,-4.226879,3.364075
