dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.971032,7.444109,0.000022,0.002204,0.110221,5.511057,3.749939
0.020000,4.971032,7.444109,0.000110,0.006613,0.220442,5.511057,3.749908
0.020000,4.971032,7.444109,0.000309,0.013227,0.330663,5.511057,3.749838
0.020000,4.971032,7.444109,0.000661,0.022044,0.440885,5.511057,3.749715
0.020000,4.971032,7.444109,0.001212,0.033066,0.551106,5.511057,3.749521
0.020000,4.971032,7.444109,0.002006,0.046293,0.661327,5.511057,3.749243
0.020000,4.971032,7.444109,0.003086,0.061724,0.771548,5.511057,3.748864
0.020000,4.971032,7.444109,0.004497,0.079359,0.881769,5.511057,3.748369
0.020000,4.970486,7.443731,0.006283,0.099199,0.991990,5.511057,3.747742
0.020000,4.968673,7.442475,0.008487,0.121243,1.102211,5.511057,3.746968
0.020000,4.966480,7.440959,0.011154,0.145492,1.212433,5.511057,3.746030
0.020000,4.963866,7.439156,0.014329,0.171945,1.322654,5.511057,3.744911
0.020000,4.960798,7.437044,0.018054,0.200602,1.432875,5.511057,3.743597
0.020000,4.957235,7.434601,0.022375,0.231464,1.543096,5.511057,3.742070
0.020000,4.953140,7.431801,0.027335,0.264531,1.653317,5.511057,3.740312
0.020000,4.948475,7.428626,0.032978,0.299802,1.763538,5.511057,3.738308
0.020000,4.943202,7.425052,0.039349,0.337277,1.873759,5.511057,3.736038
0.020000,4.937279,7.421059,0.046491,0.376956,1.983981,5.511057,3.733485
0.020000,4.930668,7.416628,0.054449,0.418840,2.094202,5.511057,3.730631
0.020000,4.923329,7.411741,0.063267,0.462929,2.204423,5.511057,3.727456
0.020000,4.915219,7.406381,0.072988,0.509222,2.314644,5.511057,3.723940
0.020000,4.906298,7.400530,0.083658,0.557719,2.424865,5.511057,3.720063
0.020000,4.896520,7.394175,0.095319,0.608421,2.535086,5.511057,3.715803
0.020000,4.885842,7.387303,0.108017,0.661327,2.645307,5.511057,3.711139
0.020000,4.874221,7.379903,0.121794,0.716437,2.755528,5.511057,3.706049
0.020000,4.861608,7.371966,0.136696,0.773752,2.865750,5.511057,3.700507
0.020000,4.847958,7.363485,0.152766,0.833272,2.975971,5.511057,3.694490
0.020000,4.833240,7.354469,0.170027,0.892791,2.975971,0.000000,3.687981
0.020000,4.817442,7.344936,0.188478,0.952311,2.975971,0.000000,3.680971
0.020000,4.800552,7.334912,0.208120,1.011830,2.975971,-0.000000,3.673448
0.020000,4.782555,7.324420,0.228951,1.071349,2.975971,0.000000,3.665404
0.020000,4.763439,7.313487,0.250974,1.130869,2.975971,-0.000000,3.656829
0.020000,4.743187,7.302141,0.274186,1.190388,2.975971,0.000000,3.647710
0.020000,4.721787,7.290414,0.298589,1.249908,2.975971,-0.000000,3.638039
0.020000,4.699222,7.278339,0.324182,1.309427,2.975971,0.000000,3.627805
0.020000,4.675475,7.265951,0.350966,1.368947,2.975971,0.000000,3.616999
0.020000,4.650530,7.253289,0.378940,1.428466,2.975971,0.000000,3.605610
0.020000,4.624372,7.240393,0.408105,1.487985,2.975971,-0.000000,3.593632
0.020000,4.596984,7.227306,0.438460,1.547505,2.975971,0.000000,3.581056
0.020000,4.568348,7.214073,0.470005,1.607024,2.975971,-0.000000,3.567877
0.020000,4.538451,7.200743,0.502741,1.666544,2.975971,0.000000,3.554091
0.020000,4.507273,7.187366,0.536667,1.726063,2.975971,-0.000000,3.539696
0.020000,4.474802,7.173995,0.571783,1.785582,2.975971,0.000000,3.524691
0.020000,4.441023,7.160687,0.608090,1.845102,2.975971,-0.000000,3.509081
0.020000,4.405922,7.147499,0.645587,1.904621,2.975971,0.000000,3.492872
0.020000,4.369487,7.134492,0.684275,1.964141,2.975971,-0.000000,3.476074
0.020000,4.331707,7.121729,0.724153,2.023660,2.975971,0.000000,3.458702
0.020000,4.292573,7.109273,0.765221,2.083180,2.975971,0.000000,3.440774
0.020000,4.252079,7.097191,0.807480,2.142699,2.975971,-0.000000,3.422315
0.020000,4.210219,7.085551,0.850929,2.202218,2.975971,0.000000,3.403353
0.020000,4.166991,7.074419,0.895569,2.261738,2.975971,-0.000000,3.383924
0.020000,4.122415,7.063869,0.941377,2.319053,2.865750,-5.511057,3.364075
0.020000,4.076538,7.053977,0.988309,2.374163,2.755528,-5.511057,3.343873
0.020000,4.029409,7.044814,1.036321,2.427069,2.645307,-5.511057,3.323385
0.020000,3.981080,7.036447,1.085370,2.477771,2.535086,-5.511057,3.302685
0.020000,3.931608,7.028937,1.135410,2.526269,2.424865,-5.511057,3.281849
0.020000,3.881049,7.022339,1.186398,2.572561,2.314644,-5.511057,3.260956
0.020000,3.829465,7.016699,1.238290,2.616650,2.204423,-5.511057,3.240086
0.020000,3.776919,7.012060,1.291042,2.658534,2.094202,-5.511057,3.219317
0.020000,3.723474,7.008453,1.344610,2.698214,1.983981,-5.511057,3.198731
0.020000,3.669196,7.005904,1.398949,2.735689,1.873759,-5.511057,3.178403
0.020000,3.614150,7.004430,1.454015,2.770959,1.763538,-5.511057,3.158409
0.020000,3.558402,7.004042,1.509765,2.804026,1.653317,-5.511057,3.138818
