dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.828154,7.649258,0.000022,0.002204,0.110221,5.511057,3.749939
0.020000,4.828160,7.649262,0.000030,0.000386,-0.090902,-10.056145,3.749908
0.020000,4.828175,7.649272,0.000047,0.000869,0.024151,5.752623,3.749838
0.020000,4.828200,7.649290,0.000078,0.001546,0.033815,0.483220,3.749715
0.020000,4.828240,7.649317,0.000126,0.002415,0.043486,0.483535,3.749521
0.020000,4.828297,7.649357,0.000196,0.003479,0.053167,0.484050,3.749243
0.020000,4.828375,7.649411,0.000291,0.004736,0.062863,0.484814,3.748864
0.020000,4.828476,7.649482,0.000414,0.006188,0.072581,0.485876,3.748369
0.020000,4.828059,7.649193,0.000922,0.025367,0.958990,44.320472,3.747742
0.020000,4.826406,7.648047,0.002933,0.100567,3.759984,140.049714,3.746968
0.020000,4.824405,7.646664,0.005365,0.121597,1.051478,-135.425295,3.746030
0.020000,4.822022,7.645020,0.008261,0.144784,1.159381,5.395105,3.744911
0.020000,4.819224,7.643095,0.011657,0.169829,1.252217,4.641841,3.743597
0.020000,4.815976,7.640867,0.015596,0.196912,1.354146,5.096438,3.742070
0.020000,4.812244,7.638316,0.020117,0.226048,1.456815,5.133422,3.740312
0.020000,4.807993,7.635422,0.025259,0.257107,1.552941,4.806333,3.738308
0.020000,4.803189,7.632167,0.031062,0.290156,1.652478,4.976835,3.736038
0.020000,4.797796,7.628531,0.037567,0.325241,1.754256,5.088907,3.733485
0.020000,4.791778,7.624497,0.044811,0.362214,1.848626,4.718518,3.730631
0.020000,4.785099,7.620050,0.052835,0.401199,1.949236,5.030480,3.727456
0.020000,4.777723,7.615174,0.061677,0.442100,2.045093,4.792869,3.723940
0.020000,4.769612,7.609855,0.071377,0.484995,2.144735,4.982082,3.720063
0.020000,4.760727,7.604080,0.081974,0.529842,2.242355,4.881013,3.715803
0.020000,4.751030,7.597839,0.093506,0.576596,2.337702,4.767321,3.711139
0.020000,4.740482,7.591123,0.106010,0.625207,2.430530,4.641431,3.706049
0.020000,4.729042,7.583923,0.119527,0.675855,2.532423,5.094636,3.700507
0.020000,4.716669,7.576237,0.134093,0.728304,2.622424,4.500055,3.694490
0.020000,4.703339,7.568070,0.149726,0.781649,2.667268,2.242182,3.687981
0.020000,4.689041,7.559443,0.166424,0.834929,2.663999,-0.163443,3.680971
0.020000,4.673768,7.550379,0.184185,0.888011,2.654068,-0.496530,3.673448
0.020000,4.657509,7.540900,0.203006,0.941049,2.651905,-0.108188,3.665404
0.020000,4.640254,7.531031,0.222883,0.993894,2.642258,-0.482324,3.656829
0.020000,4.621991,7.520799,0.243817,1.046677,2.639162,-0.154795,3.647710
0.020000,4.602711,7.510234,0.265802,1.099230,2.627664,-0.574891,3.638039
0.020000,4.582402,7.499366,0.288836,1.151731,2.625037,-0.131387,3.627805
0.020000,4.561050,7.488228,0.312919,1.204113,2.619103,-0.296661,3.616999
0.020000,4.538644,7.476855,0.338046,1.256360,2.612362,-0.337079,3.605610
0.020000,4.515172,7.465283,0.364215,1.308480,2.605960,-0.320076,3.593632
0.020000,4.490620,7.453551,0.391426,1.360535,2.602775,-0.159243,3.581056
0.020000,4.464976,7.441700,0.419676,1.412524,2.599466,-0.165492,3.567877
0.020000,4.438226,7.429773,0.448965,1.464418,2.594680,-0.239281,3.554091
0.020000,4.410356,7.417815,0.479292,1.516360,2.597110,0.121509,3.539696
0.020000,4.381353,7.405873,0.510657,1.568245,2.594253,-0.142871,3.524691
0.020000,4.351205,7.393995,0.543061,1.620201,2.597763,0.175492,3.509081
0.020000,4.319897,7.382233,0.576505,1.672223,2.601140,0.168854,3.492872
0.020000,4.287417,7.370638,0.610993,1.724389,2.608267,0.356368,3.476074
0.020000,4.253752,7.359264,0.646528,1.776717,2.616403,0.406813,3.458702
0.020000,4.218889,7.348168,0.683114,1.829313,2.629798,0.669730,3.440774
0.020000,4.182817,7.337405,0.720757,1.882172,2.642957,0.657979,3.422315
0.020000,4.145524,7.327035,0.759465,1.935406,2.661687,0.936482,3.403353
0.020000,4.106999,7.317114,0.799247,1.989062,2.682824,1.056837,3.383924
0.020000,4.067252,7.307707,0.840092,2.042261,2.659924,-1.144985,3.364075
0.020000,4.026312,7.298879,0.881973,2.094037,2.588841,-3.554175,3.343873
0.020000,3.984211,7.290694,0.924862,2.144482,2.522236,-3.330221,3.323385
0.020000,3.940981,7.283211,0.968735,2.193631,2.457450,-3.239333,3.302685
0.020000,3.896658,7.276483,1.013565,2.241532,2.395033,-3.120826,3.281849
0.020000,3.851279,7.270560,1.059330,2.288206,2.333703,-3.066508,3.260956
0.020000,3.804882,7.265488,1.106003,2.333674,2.273423,-3.014011,3.240086
0.020000,3.757507,7.261305,1.153562,2.377950,2.213792,-2.981542,3.219317
0.020000,3.709197,7.258045,1.201982,2.420998,2.152391,-3.070037,3.198731
0.020000,3.659995,7.255734,1.251238,2.462812,2.090694,-3.084852,3.178403
0.020000,3.609946,7.254395,1.301305,2.503350,2.026912,-3.189113,3.158409
0.020000,3.559096,7.254041,1.352157,2.542563,1.960643,-3.313447,3.138818
0.020000,3.507492,7.254681,1.403764,2.580394,1.891563,-3.454002,3.119696
0.020000,3.455182,7.256317,1.456100,2.616778,1.819215,-3.617368,3.101104
0.020000,3.402214,7.258944,1.509133,2.651645,1.743345,-3.793509,3.083097
0.020000,3.348637,7.262553,1.562831,2.684921,1.663776,-3.978482,3.065723
0.020000,3.294500,7.267127,1.617162,2.716526,1.580256,-4.175999,3.049027
0.020000,3.239850,7.272645,1.672090,2.746391,1.493233,-4.351118,3.033043
0.020000,3.184736,7.279081,1.727578,2.774439,1.402417,-4.540809,3.017805
0.020000,3.129204,7.286403,1.783590,2.800601,1.308093,-4.716187,3.003336
0.020000,3.073302,7.294576,1.840087,2.824810,1.210473,-4.881036,2.989658
0.020000,3.017075,7.303560,1.897027,2.847006,1.109795,-5.033868,2.976785
0.020000,2.960568,7.313313,1.954369,2.867129,1.006130,-5.183271,2.964729
0.020000,2.903824,7.323789,2.012072,2.885135,0.900298,-5.291589,2.953495
0.020000,2.846886,7.334938,2.070092,2.900977,0.792091,-5.410353,2.943088
0.020000,2.789795,7.346711,2.128384,2.914614,0.681893,-5.509917,2.933507
0.020000,2.732605,7.359053,2.186891,2.925351,0.536829,-7.253176,2.924751
0.020000,2.675367,7.371905,2.245554,2.933147,0.389823,-7.350324,2.916817
0.020000,2.618121,7.385213,2.304327,2.938637,0.274479,-5.767168,2.909697
0.020000,2.560903,7.398919,2.363163,2.941799,0.158084,-5.819783,2.903380
0.020000,2.503752,7.412968,2.422015,2.942615,0.040799,-5.864223,2.897855
0.020000,2.446704,7.427302,2.480836,2.941070,-0.077240,-5.901969,2.893110
0.020000,2.389795,7.441866,2.539579,2.937151,-0.195930,-5.934514,2.889132
0.020000,2.333061,7.456603,2.598196,2.930847,-0.315197,-5.963325,2.885905
0.020000,2.276538,7.471458,2.656639,2.922146,-0.435094,-5.994853,2.883414
0.020000,2.220261,7.486376,2.714860,2.911039,-0.555305,-6.010558,2.881644
0.020000,2.164266,7.501304,2.772810,2.897519,-0.676026,-6.036057,2.880577
0.020000,2.108590,7.516190,2.830442,2.881574,-0.797234,-6.060371,2.880196
0.020000,2.053270,7.530984,2.887706,2.863197,-0.918873,-6.081963,2.880483
0.020000,1.998343,7.545636,2.944553,2.842376,-1.041015,-6.107109,2.881418
0.020000,1.943848,7.560101,3.000935,2.819103,-1.163693,-6.133879,2.882982
0.020000,1.889824,7.574332,3.056803,2.793364,-1.286953,-6.163004,2.885154
0.020000,1.836311,7.588288,3.112105,2.765146,-1.410872,-6.195944,2.887912
0.020000,1.783351,7.601928,3.166794,2.734441,-1.535238,-6.218320,2.891234
0.020000,1.730985,7.615214,3.220819,2.701224,-1.660859,-6.281048,2.895094
0.020000,1.679259,7.628112,3.274129,2.665489,-1.786765,-6.295291,2.899467
0.020000,1.628218,7.640588,3.326673,2.627213,-1.913806,-6.352041,2.904328
0.020000,1.577908,7.652615,3.378400,2.586377,-2.041809,-6.400174,2.909646
0.020000,1.528377,7.664166,3.429260,2.542968,-2.170430,-6.431026,2.915393
0.020000,1.479677,7.675219,3.479199,2.496952,-2.300798,-6.518396,2.921537
0.020000,1.431857,7.685754,3.528165,2.448328,-2.431211,-6.520690,2.928045
0.020000,1.384971,7.695755,3.576106,2.397057,-2.563545,-6.616700,2.934882
0.020000,1.339072,7.705212,3.622969,2.343125,-2.696596,-6.652507,2.942012
0.020000,1.294203,7.714117,3.668714,2.287237,-2.794389,-4.889665,2.949398
0.020000,1.250382,7.722473,3.713324,2.230513,-2.836230,-2.092066,2.957008
0.020000,1.207622,7.730285,3.756792,2.173403,-2.855467,-0.961821,2.964811
0.020000,1.165934,7.737563,3.799110,2.115906,-2.874869,-0.970112,2.972776
0.020000,1.125331,7.744315,3.840270,2.058017,-2.894423,-0.977730,2.980871
0.020000,1.085826,7.750555,3.880266,1.999755,-2.913133,-0.935501,2.989067
0.020000,1.047431,7.756296,3.919088,1.941108,-2.932314,-0.959013,2.997332
0.020000,1.010158,7.761553,3.956730,1.882090,-2.950902,-0.929422,3.005638
0.020000,0.974020,7.766345,3.993184,1.822709,-2.969072,-0.908474,3.013955
0.020000,0.939029,7.770689,4.028443,1.762963,-2.987299,-0.911353,3.022254
0.020000,0.905198,7.774604,4.062500,1.702871,-3.004598,-0.864962,3.030506
0.020000,0.872537,7.778113,4.095349,1.642436,-3.021763,-0.858279,3.038686
0.020000,0.841058,7.781236,4.126982,1.581663,-3.038664,-0.845050,3.046765
0.020000,0.810772,7.783995,4.157394,1.520569,-3.054658,-0.799687,3.054718
0.020000,0.781689,7.786414,4.186577,1.459163,-3.070294,-0.781776,3.062521
0.020000,0.753819,7.788516,4.214526,1.397458,-3.085263,-0.748486,3.070148
0.020000,0.727171,7.790324,4.241236,1.335468,-3.099493,-0.711463,3.077578
0.020000,0.701754,7.791862,4.266700,1.273203,-3.113283,-0.689517,3.084788
0.020000,0.677574,7.793152,4.290913,1.210680,-3.126159,-0.643781,3.091757
0.020000,0.654641,7.794219,4.313871,1.147910,-3.138477,-0.615892,3.098467
0.020000,0.632960,7.795085,4.335570,1.084908,-3.150086,-0.580482,3.104898
0.020000,0.612538,7.795772,4.356003,1.021691,-3.160853,-0.538325,3.111033
0.020000,0.593380,7.796302,4.375169,0.958271,-3.170991,-0.506906,3.116857
0.020000,0.575491,7.796696,4.393062,0.894664,-3.180387,-0.469788,3.122353
0.020000,0.558861,7.796973,4.409695,0.831627,-3.151818,1.428453,3.127513
0.020000,0.543454,7.797153,4.425102,0.770374,-3.062665,4.457648,3.132336
0.020000,0.529227,7.797253,4.439330,0.711375,-2.949930,5.636749,3.136826
0.020000,0.516134,7.797288,4.452423,0.654648,-2.836381,5.677445,3.140989
0.020000,0.504130,7.797272,4.464427,0.600212,-2.721781,5.730002,3.144832
0.020000,0.493169,7.797217,4.475388,0.548078,-2.606709,5.753587,3.148362
0.020000,0.483204,7.797134,4.485354,0.498264,-2.490684,5.801258,3.151588
0.020000,0.474189,7.797030,4.494369,0.450781,-2.374147,5.826855,3.154522
0.020000,0.466077,7.796915,4.502482,0.405638,-2.257163,5.849173,3.157173
0.020000,0.458821,7.796793,4.509739,0.362848,-2.139494,5.883444,3.159553
0.020000,0.452373,7.796670,4.516187,0.322417,-2.021548,5.897320,3.161676
0.020000,0.446688,7.796551,4.521874,0.284356,-1.903074,5.923694,3.163553
0.020000,0.441716,7.796437,4.526848,0.248668,-1.784400,5.933693,3.165200
0.020000,0.437410,7.796333,4.531155,0.215360,-1.665381,5.950945,3.166629
0.020000,0.433722,7.796238,4.534844,0.184439,-1.546059,5.966099,3.167855
0.020000,0.430605,7.796155,4.537962,0.155908,-1.426564,5.974766,3.168893
0.020000,0.428011,7.796083,4.540557,0.129766,-1.307092,5.973624,3.169758
0.020000,0.425891,7.796022,4.542678,0.106027,-1.186968,6.006197,3.170466
0.020000,0.424198,7.795973,4.544371,0.084681,-1.067273,5.984742,3.171031
0.020000,0.422884,7.795934,4.545686,0.065738,-0.947159,6.005674,3.171471
0.020000,0.421900,7.795904,4.546670,0.049199,-0.826957,6.010099,3.171800
0.020000,0.421199,7.795883,4.547371,0.035062,-0.706817,6.007007,3.172035
0.020000,0.420733,7.795869,4.547838,0.023330,-0.586616,6.010052,3.172191
0.020000,0.420453,7.795860,4.548118,0.014003,-0.466373,6.012167,3.172285
0.020000,0.420312,7.795856,4.548260,0.007081,-0.346102,6.013518,3.172332
0.020000,0.420260,7.795854,4.548311,0.002564,-0.225817,6.014279,3.172349
0.020000,0.420251,7.795854,4.548320,0.000454,-0.105524,6.014623,3.172352
0.020000,0.420251,7.795854,4.548320,0.000000,-0.022689,4.141787,3.172352
