dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.631408,7.795972,0.000022,0.002190,0.109509,5.475455,0.001033
0.020000,0.631417,7.795972,0.000031,0.000469,-0.086053,-9.778116,0.000996
0.020000,0.631438,7.795972,0.000052,0.001055,0.029317,5.768490,0.000911
0.020000,0.631476,7.795972,0.000090,0.001876,0.041034,0.585875,0.000761
0.020000,0.631534,7.795972,0.000149,0.002931,0.052738,0.585173,0.000527
0.020000,0.631619,7.795972,0.000233,0.004219,0.064418,0.584023,0.000189
0.020000,0.632365,7.795972,0.000979,0.037321,1.655109,79.534547,6.282915
0.020000,0.633917,7.795971,0.002531,0.077580,2.012914,17.890240,6.282315
0.020000,0.635881,7.795969,0.004495,0.098185,1.030268,-49.132305,6.281557
0.020000,0.638305,7.795964,0.006919,0.121206,1.151051,6.039184,6.280621
0.020000,0.641238,7.795955,0.009852,0.146648,1.272089,6.051880,6.279490
0.020000,0.644728,7.795939,0.013342,0.174505,1.392835,6.037306,6.278145
0.020000,0.648823,7.795915,0.017437,0.204782,1.513865,6.051479,6.276568
0.020000,0.653572,7.795880,0.022187,0.237463,1.634050,6.009247,6.274742
0.020000,0.659023,7.795828,0.027638,0.272558,1.754760,6.035509,6.272649
0.020000,0.665224,7.795755,0.033839,0.310056,1.874907,6.007370,6.270272
0.020000,0.672222,7.795656,0.040838,0.349947,1.994535,5.981372,6.267594
0.020000,0.680066,7.795521,0.048683,0.392237,2.114504,5.998475,6.264600
0.020000,0.688802,7.795345,0.057421,0.436915,2.233915,5.970554,6.261273
0.020000,0.698479,7.795115,0.067100,0.483963,2.352366,5.922528,6.257599
0.020000,0.709142,7.794820,0.077768,0.533385,2.471116,5.937492,6.253563
0.020000,0.720840,7.794448,0.089471,0.585164,2.588974,5.892932,6.249152
0.020000,0.733617,7.793982,0.102257,0.639284,2.705973,5.849947,6.244353
0.020000,0.747520,7.793406,0.116172,0.695741,2.822858,5.844244,6.239156
0.020000,0.762593,7.792699,0.131262,0.754503,2.938105,5.762351,6.233550
0.020000,0.778882,7.791841,0.147573,0.815569,3.053311,5.760305,6.227527
0.020000,0.796430,7.790806,0.165151,0.878903,3.166672,5.668031,6.221080
0.020000,0.815255,7.789571,0.184017,0.943280,3.218865,2.609670,6.214214
0.020000,0.835351,7.788109,0.204166,1.007480,3.210018,-0.442357,6.206943
0.020000,0.856712,7.786395,0.225596,1.071472,3.199556,-0.523082,6.199283
0.020000,0.879329,7.784401,0.248301,1.135242,3.188505,-0.552558,6.191252
0.020000,0.903194,7.782100,0.272276,1.198762,3.176016,-0.624452,6.182871
0.020000,0.928296,7.779462,0.297516,1.262010,3.162418,-0.679889,6.174160
0.020000,0.954624,7.776460,0.324015,1.324963,3.147640,-0.738940,6.165144
0.020000,0.982168,7.773063,0.351767,1.387591,3.131408,-0.811572,6.155848
0.020000,1.010912,7.769243,0.380765,1.449874,3.114147,-0.863055,6.146301
0.020000,1.040845,7.764971,0.411000,1.511780,3.095269,-0.943923,6.136531
0.020000,1.071949,7.760217,0.442466,1.573288,3.075433,-0.991777,6.126572
0.020000,1.104210,7.754955,0.475153,1.634368,3.053978,-1.072738,6.116457
0.020000,1.137611,7.749157,0.509053,1.695000,3.031596,-1.119088,6.106223
0.020000,1.172133,7.742799,0.544156,1.755154,3.007724,-1.193649,6.095907
0.020000,1.207759,7.735855,0.580453,1.814813,2.982948,-1.238754,6.085549
0.020000,1.244470,7.728305,0.617932,1.873951,2.956896,-1.302630,6.075190
0.020000,1.282246,7.720127,0.656583,1.932551,2.929990,-1.345277,6.064875
0.020000,1.321068,7.711305,0.696395,1.990592,2.902058,-1.396606,6.054647
0.020000,1.360916,7.701822,0.737356,2.048059,2.873361,-1.434857,6.044552
0.020000,1.401772,7.691667,0.779455,2.104937,2.843880,-1.474063,6.034638
0.020000,1.443615,7.680829,0.822679,2.161212,2.813756,-1.506176,6.024952
0.020000,1.486428,7.669303,0.867016,2.216873,2.783045,-1.535549,6.015545
0.020000,1.530193,7.657086,0.912454,2.271909,2.751828,-1.560855,6.006466
0.020000,1.574893,7.644178,0.958981,2.326312,2.720149,-1.583955,5.997765
0.020000,1.620512,7.630584,1.006582,2.380074,2.688080,-1.603474,5.989494
0.020000,1.667036,7.616313,1.055246,2.433186,2.655590,-1.624499,5.981705
0.020000,1.714452,7.601376,1.104959,2.485641,2.622767,-1.641132,5.974450
0.020000,1.762749,7.585792,1.155707,2.537431,2.589479,-1.664380,5.967783
0.020000,1.811916,7.569581,1.207478,2.588547,2.555823,-1.682824,5.961758
0.020000,1.861947,7.552770,1.260258,2.638979,2.521592,-1.711525,5.956429
0.020000,1.912835,7.535390,1.314032,2.688716,2.486827,-1.738259,5.951852
0.020000,1.964577,7.517477,1.368787,2.737742,2.451320,-1.775349,5.948083
0.020000,2.017170,7.499072,1.424508,2.786042,2.415018,-1.815126,5.945182
0.020000,2.070615,7.480222,1.481180,2.833597,2.377731,-1.864355,5.943207
0.020000,2.124915,7.460980,1.538787,2.880384,2.339343,-1.919376,5.942219
0.020000,2.180072,7.441405,1.597315,2.926378,2.299682,-1.983044,5.942283
0.020000,2.236092,7.421563,1.656746,2.971550,2.258614,-2.053412,5.943464
0.020000,2.292964,7.401533,1.717042,3.014788,2.161925,-4.834464,5.945830
0.020000,2.350654,7.381407,1.778142,3.055005,2.010851,-7.553703,5.949445
0.020000,2.409134,7.361286,1.839986,3.092213,1.860379,-7.523570,5.954377
0.020000,2.468374,7.341275,1.902515,3.126425,1.710596,-7.489187,5.960689
0.020000,2.528346,7.321485,1.965668,3.157662,1.561851,-7.437245,5.968444
0.020000,2.589023,7.302033,2.029387,3.185951,1.414468,-7.369121,5.977703
0.020000,2.650378,7.283040,2.093614,3.211332,1.269058,-7.270521,5.988523
0.020000,2.712380,7.264634,2.158291,3.233859,1.126347,-7.135517,6.000957
0.020000,2.775002,7.246944,2.223363,3.253605,0.987282,-6.953255,6.015053
0.020000,2.838211,7.230104,2.288776,3.270666,0.853062,-6.711029,6.030849
0.020000,2.901972,7.214250,2.354480,3.285168,0.725083,-6.398934,6.048375
0.020000,2.966251,7.199517,2.420425,3.297267,0.604970,-6.005677,6.067649
0.020000,3.035202,7.184261,2.491043,3.530931,11.683214,553.912240,6.063118
0.020000,3.106458,7.168159,2.564096,3.652635,6.085150,-279.903212,6.058872
0.020000,3.178021,7.151692,2.637529,3.671656,0.951091,-256.702966,6.055295
0.020000,3.249854,7.134919,2.711295,3.688275,0.830934,-6.007860,6.052403
0.020000,3.321921,7.117897,2.785345,3.702511,0.711803,-5.956523,6.050212
0.020000,3.394188,7.100689,2.859633,3.714384,0.593667,-5.906794,6.048736
0.020000,3.466622,7.083355,2.934111,3.723915,0.476511,-5.857824,6.047987
0.020000,3.539188,7.065961,3.008733,3.731121,0.360313,-5.809909,6.047975
0.020000,3.611857,7.048569,3.083454,3.736022,0.245072,-5.762032,6.048710
0.020000,3.684595,7.031247,3.158227,3.738638,0.130795,-5.713860,6.050200
0.020000,3.757373,7.014059,3.233006,3.738988,0.017501,-5.664708,6.052449
0.020000,3.830159,6.997071,3.307748,3.737093,-0.094778,-5.613908,6.055464
0.020000,3.902921,6.980349,3.382408,3.732973,-0.205999,-5.561094,6.059246
0.020000,3.975627,6.963958,3.456938,3.726503,-0.323477,-5.873898,6.063797
0.020000,4.048219,6.947969,3.531270,3.716635,-0.493419,-8.497101,6.069113
0.020000,4.120646,6.932449,3.605342,3.703553,-0.654107,-8.034402,6.075189
0.020000,4.192874,6.917458,3.679109,3.688364,-0.759434,-5.266339,6.082017
0.020000,4.264870,6.903055,3.752531,3.671098,-0.863297,-5.193159,6.089590
0.020000,4.336598,6.889297,3.825566,3.651786,-0.965596,-5.114911,6.097894
0.020000,4.408023,6.876237,3.898176,3.630461,-1.066227,-5.031591,6.106917
0.020000,4.479108,6.863927,3.970319,3.607160,-1.165095,-4.943372,6.116641
0.020000,4.549815,6.852415,4.041957,3.581918,-1.262103,-4.850401,6.127046
0.020000,4.620105,6.841743,4.113053,3.554774,-1.357164,-4.753071,6.138109
0.020000,4.689938,6.831953,4.183568,3.525769,-1.450264,-4.654965,6.149804
0.020000,4.759271,6.823080,4.253467,3.494943,-1.541280,-4.550797,6.162101
0.020000,4.825191,6.815480,4.319824,3.317829,-8.855699,-365.720958,6.177007
0.020000,4.890390,6.809412,4.385304,3.274029,-2.190043,333.282805,6.202718
0.020000,4.956493,6.804782,4.451569,3.313229,1.960000,207.502130,6.222907
0.020000,5.023255,6.801291,4.518422,3.342688,1.472953,-24.352344,6.238177
0.020000,5.090483,6.798652,4.585702,3.363997,1.065452,-20.375041,6.249003
0.020000,5.158022,6.796593,4.653273,3.378513,0.725804,-16.982392,6.255753
0.020000,5.225748,6.794855,4.721021,3.387431,0.445913,-13.994571,6.258701
0.020000,5.293564,6.793192,4.788857,3.391776,0.217246,-11.433372,6.258035
0.020000,5.361388,6.791364,4.856705,3.392436,0.033004,-9.212060,6.253876
0.020000,5.429155,6.789139,4.924509,3.390192,-0.112222,-7.261301,6.246279
0.020000,5.496810,6.786287,4.992224,3.385743,-0.222441,-5.510951,6.235247
0.020000,5.564302,6.782578,5.059818,3.379687,-0.302808,-4.018348,6.220732
0.020000,5.631582,6.777780,5.127269,3.372558,-0.356408,-2.680036,6.202645
0.020000,5.698599,6.771657,5.194565,3.364793,-0.388278,-1.593464,6.180860
0.020000,5.765291,6.763966,5.261700,3.356730,-0.403156,-0.743896,6.155226
0.020000,5.831586,6.754459,5.328673,3.348655,-0.403730,-0.028745,6.125580
0.020000,5.897412,6.742877,5.395509,3.341836,-0.340968,3.138144,6.091747
0.020000,5.962685,6.728954,5.462251,3.337080,-0.237769,5.159916,6.053560
0.020000,6.027280,6.712420,5.528928,3.333859,-0.161065,3.835196,6.010895
0.020000,6.091015,6.693018,5.595551,3.331154,-0.135267,1.289921,5.963711
0.020000,6.153643,6.670517,5.662099,3.327389,-0.188252,-2.649251,5.912093
0.020000,6.214844,6.644740,5.728507,3.320403,-0.349263,-8.050545,5.856298
0.020000,6.274227,6.615590,5.794659,3.307579,-0.641224,-14.598036,5.796794
0.020000,6.331346,6.583083,5.860380,3.286063,-1.075816,-21.729621,5.734276
0.020000,6.385733,6.547371,5.925444,3.253182,-1.644022,-28.410309,5.669655
0.020000,6.436939,6.508748,5.989583,3.206952,-2.311530,-33.375377,5.604002
0.020000,6.484585,6.467638,6.052512,3.146493,-3.022943,-35.570676,5.538455
0.020000,6.528401,6.424560,6.113957,3.072242,-3.712535,-34.479584,5.474120
0.020000,6.568251,6.380084,6.173675,2.985863,-4.318940,-30.320278,5.411968
0.020000,6.604137,6.334776,6.231473,2.889905,-4.797901,-23.948048,5.352767
0.020000,6.636181,6.289161,6.287218,2.787262,-5.132184,-16.714119,5.297052
0.020000,6.664595,6.243694,6.340833,2.680763,-5.324919,-9.636744,5.245130
0.020000,6.689651,6.198750,6.392290,2.572850,-5.395677,-3.537896,5.197116
0.020000,6.711651,6.154622,6.441598,2.465390,-5.372987,1.134499,5.152972
0.020000,6.730905,6.111534,6.488792,2.359709,-5.284031,4.447767,5.112552
0.020000,6.747712,6.069645,6.533927,2.256752,-5.147871,6.808027,5.075644
0.020000,6.762353,6.029070,6.577063,2.156798,-4.997710,7.508055,5.042001
0.020000,6.775086,5.989883,6.618266,2.060161,-4.831830,8.293995,5.011361
0.020000,6.786142,5.952134,6.657601,1.966743,-4.670896,8.046667,4.983464
0.020000,6.795727,5.915850,6.695130,1.876453,-4.514491,7.820275,4.958062
0.020000,6.804024,5.881044,6.730911,1.789043,-4.370532,7.197928,4.934922
0.020000,6.811194,5.847721,6.764997,1.704279,-4.238199,6.616689,4.913832
0.020000,6.817376,5.815877,6.797436,1.621961,-4.115911,6.114384,4.894601
0.020000,6.822695,5.785505,6.828270,1.541700,-4.013045,5.143300,4.877055
0.020000,6.827260,5.756593,6.857540,1.463496,-3.910181,5.143170,4.861040
0.020000,6.831167,5.729132,6.885277,1.386874,-3.831111,3.953531,4.846419
0.020000,6.834498,5.703107,6.911515,1.311888,-3.749269,4.092082,4.833071
0.020000,6.837329,5.678506,6.936278,1.238142,-3.687331,3.096897,4.820888
0.020000,6.839724,5.655316,6.959591,1.165662,-3.623992,3.166955,4.809775
0.020000,6.841741,5.633525,6.981476,1.094239,-3.571126,2.643312,4.799648
0.020000,6.843431,5.613121,7.001950,1.023687,-3.527612,2.175699,4.790433
0.020000,6.844838,5.594095,7.021028,0.953902,-3.489264,1.917377,4.782065
0.020000,6.846003,5.576430,7.038731,0.885163,-3.436960,2.615232,4.774484
0.020000,6.846963,5.560092,7.055097,0.818319,-3.342175,4.739242,4.767629
0.020000,6.847749,5.545024,7.070186,0.754436,-3.194145,7.401469,4.761437
0.020000,6.848390,5.531166,7.084058,0.693613,-3.041187,7.647948,4.755849
0.020000,6.848911,5.518468,7.096767,0.635455,-2.907885,6.665087,4.750817
0.020000,6.849330,5.506874,7.108369,0.580066,-2.769464,6.921052,4.746294
0.020000,6.849666,5.496330,7.118918,0.527463,-2.630153,6.965557,4.742239
0.020000,6.849934,5.486785,7.128467,0.477463,-2.499963,6.509477,4.738616
0.020000,6.850146,5.478185,7.137069,0.430108,-2.367766,6.609843,4.735389
0.020000,6.850312,5.470480,7.144776,0.385327,-2.239060,6.435288,4.732528
0.020000,6.850441,5.463619,7.151638,0.343109,-2.110876,6.409228,4.730004
0.020000,6.850541,5.457554,7.157705,0.303326,-1.989147,6.086436,4.727791
0.020000,6.850618,5.452231,7.163027,0.266134,-1.859597,6.477525,4.725863
0.020000,6.850677,5.447604,7.167656,0.231412,-1.736107,6.174507,4.724197
