dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.631666,7.545972,0.000022,0.002190,0.109509,5.475455,0.001033
0.020000,0.631666,7.545972,0.000110,0.006571,0.219018,5.475455,0.000996
0.020000,0.631666,7.545972,0.000307,0.013141,0.328527,5.475455,0.000911
0.020000,0.631666,7.545972,0.000657,0.021902,0.438036,5.475455,0.000761
0.020000,0.631666,7.545972,0.001205,0.032853,0.547545,5.475455,0.000527
0.020000,0.631666,7.545972,0.001993,0.045994,0.657055,5.475455,0.000189
0.020000,0.632298,7.545972,0.003066,0.061325,0.766564,5.475455,6.282915
0.020000,0.633699,7.545971,0.004468,0.078847,0.876073,5.475455,6.282315
0.020000,0.635473,7.545969,0.006242,0.098558,0.985582,5.475455,6.281557
0.020000,0.637664,7.545965,0.008432,0.120460,1.095091,5.475455,6.280621
0.020000,0.640314,7.545956,0.011082,0.144552,1.204600,5.475455,6.279490
0.020000,0.643468,7.545943,0.014236,0.170834,1.314109,5.475455,6.278145
0.020000,0.647169,7.545921,0.017938,0.199307,1.423618,5.475455,6.276568
0.020000,0.651461,7.545889,0.022230,0.229969,1.533127,5.475455,6.274742
0.020000,0.656389,7.545842,0.027158,0.262822,1.642636,5.475455,6.272649
0.020000,0.661996,7.545776,0.032765,0.297865,1.752146,5.475455,6.270272
0.020000,0.668325,7.545686,0.039095,0.335098,1.861655,5.475455,6.267594
0.020000,0.675420,7.545565,0.046191,0.374521,1.971164,5.475455,6.264600
0.020000,0.683325,7.545405,0.054097,0.416135,2.080673,5.475455,6.261273
0.020000,0.692083,7.545196,0.062858,0.459938,2.190182,5.475455,6.257599
0.020000,0.701738,7.544930,0.072517,0.505932,2.299691,5.475455,6.253563
0.020000,0.712333,7.544593,0.083117,0.554116,2.409200,5.475455,6.249152
0.020000,0.723911,7.544171,0.094703,0.604490,2.518709,5.475455,6.244353
0.020000,0.736516,7.543648,0.107319,0.657055,2.628218,5.475455,6.239156
0.020000,0.750190,7.543007,0.121008,0.711809,2.737727,5.475455,6.233550
0.020000,0.764975,7.542228,0.135813,0.768754,2.847236,5.475455,6.227527
0.020000,0.780913,7.541288,0.151780,0.827889,2.956746,5.475455,6.221080
0.020000,0.798026,7.540165,0.168929,0.887024,2.956746,-0.000000,6.214214
0.020000,0.816309,7.538835,0.187261,0.946159,2.956746,0.000000,6.206943
0.020000,0.835761,7.537274,0.206775,1.005293,2.956746,0.000000,6.199283
0.020000,0.856378,7.535457,0.227472,1.064428,2.956746,0.000000,6.191252
0.020000,0.878157,7.533356,0.249352,1.123563,2.956746,0.000000,6.182871
0.020000,0.901093,7.530947,0.272415,1.182698,2.956746,0.000000,6.174160
0.020000,0.925183,7.528200,0.296660,1.241833,2.956746,0.000000,6.165144
0.020000,0.950419,7.525087,0.322088,1.300968,2.956746,-0.000000,6.155848
0.020000,0.976798,7.521582,0.348699,1.360103,2.956746,0.000000,6.146301
0.020000,1.004312,7.517654,0.376492,1.419238,2.956746,0.000000,6.136531
0.020000,1.032956,7.513277,0.405468,1.478373,2.956746,0.000000,6.126572
0.020000,1.062721,7.508421,0.435627,1.537508,2.956746,0.000000,6.116457
0.020000,1.093601,7.503061,0.466969,1.596643,2.956746,0.000000,6.106223
0.020000,1.125587,7.497170,0.499493,1.655778,2.956746,0.000000,6.095907
0.020000,1.158671,7.490722,0.533200,1.714912,2.956746,-0.000000,6.085549
0.020000,1.192845,7.483693,0.568089,1.774047,2.956746,0.000000,6.075190
0.020000,1.228101,7.476061,0.604162,1.833182,2.956746,0.000000,6.064875
0.020000,1.264429,7.467805,0.641417,1.892317,2.956746,0.000000,6.054647
0.020000,1.301822,7.458907,0.679854,1.951452,2.956746,0.000000,6.044552
0.020000,1.340273,7.449349,0.719475,2.010587,2.956746,0.000000,6.034638
0.020000,1.379772,7.439119,0.760278,2.069722,2.956746,0.000000,6.024952
0.020000,1.420314,7.428204,0.802264,2.128857,2.956746,0.000000,6.015545
0.020000,1.461893,7.416597,0.845432,2.187992,2.956746,0.000000,6.006466
0.020000,1.504503,7.404292,0.889783,2.247127,2.956746,0.000000,5.997765
0.020000,1.548140,7.391289,0.935317,2.306262,2.956746,0.000000,5.989494
0.020000,1.592803,7.377588,0.982034,2.365396,2.956746,0.000000,5.981705
0.020000,1.638489,7.363197,1.029933,2.424531,2.956746,0.000000,5.974450
0.020000,1.685199,7.348124,1.079015,2.483666,2.956746,-0.000000,5.967783
0.020000,1.732936,7.332385,1.129280,2.542801,2.956746,0.000000,5.961758
0.020000,1.781704,7.315998,1.180727,2.601936,2.956746,0.000000,5.956429
0.020000,1.831509,7.298988,1.233357,2.661071,2.956746,0.000000,5.951852
0.020000,1.882360,7.281382,1.287170,2.720206,2.956746,0.000000,5.948083
0.020000,1.934269,7.263217,1.342165,2.779341,2.956746,0.000000,5.945182
0.020000,1.987249,7.244531,1.398344,2.838476,2.956746,0.000000,5.943207
0.020000,2.041315,7.225372,1.455704,2.897611,2.956746,0.000000,5.942219
0.020000,2.096487,7.205792,1.514248,2.956746,2.956746,0.000000,5.942283
