dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.631924,7.295972,0.000022,0.002190,0.109509,5.475455,0.001033
0.020000,0.631915,7.295972,0.000031,0.000469,-0.086053,-9.778116,0.000996
0.020000,0.631894,7.295972,0.000052,0.001055,0.029317,5.768490,0.000911
0.020000,0.631856,7.295972,0.000090,0.001876,0.041034,0.585875,0.000761
0.020000,0.631798,7.295972,0.000149,0.002931,0.052738,0.585173,0.000527
0.020000,0.631713,7.295972,0.000233,0.004219,0.064418,0.584023,0.000189
0.020000,0.632230,7.295972,0.000750,0.025839,1.081011,50.829658,6.282915
0.020000,0.633482,7.295971,0.002002,0.062590,1.837534,37.826129,6.282315
0.020000,0.635066,7.295969,0.003586,0.079223,0.831651,-50.294122,6.281557
0.020000,0.637023,7.295965,0.005542,0.097812,0.929448,4.889853,6.280621
0.020000,0.639390,7.295958,0.007909,0.118364,1.027594,4.907294,6.279490
0.020000,0.642207,7.295946,0.010727,0.140878,1.125684,4.904491,6.278145
0.020000,0.645515,7.295926,0.014034,0.165362,1.224223,4.926927,6.276568
0.020000,0.649351,7.295898,0.017870,0.191809,1.322346,4.906156,6.274742
0.020000,0.653755,7.295856,0.022275,0.220233,1.421213,4.943379,6.272649
0.020000,0.658767,7.295797,0.027288,0.250633,1.520008,4.939752,6.270272
0.020000,0.664427,7.295716,0.032948,0.283010,1.618836,4.941363,6.267594
0.020000,0.670774,7.295608,0.039296,0.317380,1.718473,4.981872,6.264600
0.020000,0.677847,7.295465,0.046371,0.353745,1.818285,4.990615,6.261273
0.020000,0.685687,7.295278,0.054213,0.392106,1.918052,4.988318,6.257599
0.020000,0.694334,7.295040,0.062862,0.432485,2.018912,5.043031,6.253563
0.020000,0.703826,7.294737,0.072360,0.474885,2.120039,5.056349,6.249152
0.020000,0.714206,7.294359,0.082746,0.519318,2.221611,5.078579,6.244353
0.020000,0.725512,7.293890,0.094063,0.565806,2.324406,5.139735,6.239156
0.020000,0.737786,7.293315,0.106350,0.614353,2.427378,5.148637,6.233550
0.020000,0.751067,7.292615,0.119649,0.664994,2.532043,5.233233,6.227527
0.020000,0.765397,7.291770,0.134004,0.717738,2.637168,5.256249,6.221080
0.020000,0.780797,7.290759,0.149437,0.771626,2.694439,2.863537,6.214214
0.020000,0.797267,7.289561,0.165951,0.825701,2.703755,0.465799,6.206943
0.020000,0.814810,7.288154,0.183550,0.879974,2.713643,0.494429,6.199283
0.020000,0.833427,7.286512,0.202240,0.934475,2.725051,0.570376,6.191252
0.020000,0.853121,7.284613,0.222024,0.989223,2.737380,0.616448,6.182871
0.020000,0.873891,7.282431,0.242909,1.044243,2.750987,0.680379,6.174160
0.020000,0.895741,7.279939,0.264900,1.099560,2.765888,0.745020,6.165144
0.020000,0.918671,7.277111,0.288004,1.155199,2.781912,0.801199,6.155848
0.020000,0.942684,7.273920,0.312228,1.211188,2.799448,0.876799,6.146301
0.020000,0.967780,7.270338,0.337579,1.267548,2.818021,0.928673,6.136531
0.020000,0.993962,7.266336,0.364065,1.324312,2.838176,1.007735,6.126572
0.020000,1.021232,7.261888,0.391695,1.381498,2.859324,1.057410,6.116457
0.020000,1.049591,7.256966,0.420478,1.439138,2.881991,1.133354,6.106223
0.020000,1.079040,7.251541,0.450423,1.497250,2.905619,1.181393,6.095907
0.020000,1.109583,7.245588,0.481540,1.555862,2.930603,1.249212,6.085549
0.020000,1.141220,7.239081,0.513840,1.614992,2.956499,1.294808,6.075190
0.020000,1.173955,7.231995,0.547333,1.674663,2.983529,1.351493,6.064875
0.020000,1.207790,7.224306,0.582031,1.734891,3.011389,1.392990,6.054647
0.020000,1.242729,7.215991,0.617945,1.795693,3.040143,1.437678,6.044552
0.020000,1.278773,7.207031,0.655087,1.857086,3.069609,1.473323,6.034638
0.020000,1.315929,7.197408,0.693468,1.919081,3.099752,1.507148,6.024952
0.020000,1.354200,7.187104,0.733102,1.981690,3.130470,1.535896,6.015545
0.020000,1.393592,7.176108,0.774001,2.044924,3.161702,1.561601,6.006466
0.020000,1.434113,7.164406,0.816176,2.108792,3.193378,1.583787,5.997765
0.020000,1.475768,7.151993,0.859642,2.173301,3.225481,1.605172,5.989494
0.020000,1.518569,7.138864,0.904412,2.238460,3.257938,1.622868,5.981705
0.020000,1.562525,7.125017,0.950497,2.304277,3.290823,1.644210,5.974450
0.020000,1.607649,7.110456,0.997912,2.370757,3.324046,1.661178,5.967783
0.020000,1.653956,7.095189,1.046671,2.437913,3.357777,1.686539,5.961758
0.020000,1.701461,7.079226,1.096786,2.505752,3.391947,1.708491,5.956429
0.020000,1.750183,7.062585,1.148271,2.574287,3.426760,1.740656,5.951852
0.020000,1.800144,7.045288,1.201142,2.643532,3.462229,1.773434,5.948083
0.020000,1.851368,7.027362,1.255412,2.713503,3.498546,1.815886,5.945182
0.020000,1.903882,7.008841,1.311096,2.784219,3.535805,1.862950,5.943207
0.020000,1.957716,6.989764,1.368210,2.855702,3.574187,1.919058,5.942219
0.020000,2.012903,6.970178,1.426770,2.927979,3.613819,1.981641,5.942283
0.020000,2.069480,6.950139,1.486792,3.001076,3.654858,2.051909,5.943464
0.020000,2.127467,6.929716,1.548270,3.073916,3.642010,-0.642367,5.945830
0.020000,2.186865,6.908995,1.611178,3.145396,3.574000,-3.400488,5.949445
0.020000,2.247676,6.888072,1.675488,3.215505,3.505441,-3.427986,5.954377
0.020000,2.309906,6.867051,1.741172,3.284227,3.436096,-3.467233,5.960689
0.020000,2.373561,6.846047,1.808203,3.351543,3.365790,-3.515302,5.968444
0.020000,2.438647,6.825182,1.876552,3.417424,3.294045,-3.587231,5.977703
0.020000,2.505169,6.804590,1.946188,3.481831,3.220356,-3.684449,5.988523
0.020000,2.573132,6.784415,2.017083,3.544710,3.143959,-3.819859,6.000957
0.020000,2.642536,6.764811,2.089202,3.605988,3.063888,-4.003555,6.015053
0.020000,2.713377,6.745939,2.162514,3.665567,2.978985,-4.245150,6.030849
0.020000,2.785643,6.727970,2.236980,3.723324,2.887832,-4.557637,6.048375
0.020000,2.859315,6.711086,2.312562,3.779100,2.788816,-4.950834,6.067649
0.020000,2.926054,6.696320,2.380915,3.417659,-18.072062,-1043.043862,6.063118
0.020000,2.995239,6.680685,2.451845,3.546488,6.441440,1225.675085,6.058872
0.020000,3.065059,6.664620,2.523490,3.582222,1.786716,-232.736208,6.055295
0.020000,3.135485,6.648175,2.595809,3.615979,1.687842,-4.943685,6.052403
0.020000,3.206486,6.631405,2.668764,3.647738,1.587943,-4.994957,6.050212
0.020000,3.278035,6.614368,2.742313,3.677479,1.487043,-5.045016,6.048736
0.020000,3.350104,6.597121,2.816417,3.705182,1.385170,-5.093629,6.047987
0.020000,3.422665,6.579728,2.891034,3.730829,1.282333,-5.141883,6.047975
0.020000,3.495690,6.562251,2.966122,3.754400,1.178538,-5.189738,6.048710
0.020000,3.569153,6.544756,3.041639,3.775875,1.073778,-5.237973,6.050200
0.020000,3.643026,6.527309,3.117544,3.795236,0.968036,-5.287123,6.052449
0.020000,3.717280,6.509979,3.193793,3.812462,0.861280,-5.337819,6.055464
0.020000,3.791885,6.492833,3.270344,3.827531,0.753459,-5.391041,6.059246
0.020000,3.866810,6.475943,3.347149,3.840269,0.636899,-5.827964,6.063797
0.020000,3.941999,6.459382,3.424140,3.849534,0.463281,-8.680926,6.069113
0.020000,4.017396,6.443225,3.501249,3.855443,0.295430,-8.392540,6.075189
0.020000,4.092967,6.427541,3.578430,3.859077,0.181720,-5.685516,6.082017
0.020000,4.168675,6.412395,3.655638,3.860408,0.066550,-5.758500,6.089590
0.020000,4.244482,6.397855,3.732826,3.859405,-0.050182,-5.836581,6.097894
0.020000,4.320345,6.383985,3.809947,3.856033,-0.168579,-5.919838,6.106917
0.020000,4.396221,6.370846,3.886952,3.850258,-0.288741,-6.008124,6.116641
0.020000,4.472063,6.358497,3.963793,3.842043,-0.410757,-6.100792,6.127046
0.020000,4.547822,6.346996,4.040420,3.831349,-0.534696,-6.196945,6.138109
0.020000,4.623445,6.336394,4.116783,3.818136,-0.660668,-6.298600,6.149804
0.020000,4.698877,6.326741,4.192830,3.802363,-0.788621,-6.397652,6.162101
0.020000,4.772202,6.318296,4.266639,3.690465,-5.594917,-240.314806,6.177007
0.020000,4.850200,6.311030,4.344975,3.916799,11.316698,845.580725,6.202718
0.020000,4.926372,6.305690,4.421334,3.817950,-4.942474,-812.958594,6.222907
0.020000,5.000758,6.301797,4.495823,3.724414,-4.676772,13.285126,6.238177
0.020000,5.073395,6.298944,4.568516,3.634652,-4.488087,9.434255,6.249003
0.020000,5.144308,6.296781,4.639461,3.547277,-4.368788,5.964916,6.255753
0.020000,5.213507,6.295005,4.708684,3.461112,-4.308230,3.027931,6.258701
0.020000,5.280990,6.293350,4.776186,3.375135,-4.298865,0.468223,6.258035
0.020000,5.346735,6.291579,4.841955,3.288452,-4.334119,-1.762663,6.253876
0.020000,5.410706,6.289480,4.905961,3.200283,-4.408473,-3.717719,6.246279
0.020000,5.472850,6.286861,4.968160,3.109945,-4.516897,-5.421193,6.235247
0.020000,5.533096,6.283553,5.028496,3.016817,-4.656417,-6.976005,6.220732
0.020000,5.591355,6.279401,5.086904,2.920373,-4.822161,-8.287212,6.202645
0.020000,5.647525,6.274272,5.143307,2.820174,-5.009958,-9.389862,6.180860
0.020000,5.701486,6.268054,5.197625,2.715915,-5.212977,-10.150956,6.155226
0.020000,5.753110,6.260656,5.249776,2.607531,-5.419181,-10.310184,6.125580
0.020000,5.802276,6.252012,5.299697,2.496044,-5.574340,-7.757934,6.091747
0.020000,5.848878,6.242078,5.347346,2.382452,-5.679623,-5.264144,6.053560
0.020000,5.892811,6.230842,5.392692,2.267320,-5.756611,-3.849430,6.010895
0.020000,5.933981,6.218318,5.435726,2.151672,-5.782372,-1.288052,5.963711
0.020000,5.972327,6.204552,5.476468,2.037087,-5.729265,2.655363,5.912093
0.020000,6.007825,6.189610,5.514982,1.925711,-5.568783,8.024092,5.856298
0.020000,6.040508,6.173577,5.551385,1.820186,-5.276251,14.626606,5.796794
0.020000,6.070468,6.156536,5.585853,1.723374,-4.840621,21.781489,5.734276
0.020000,6.097854,6.138561,5.618612,1.637947,-4.271328,28.464669,5.669655
0.020000,6.122860,6.119705,5.649930,1.565902,-3.602257,33.453528,5.604002
0.020000,6.145698,6.100002,5.680092,1.508118,-2.889180,35.653850,5.538455
0.020000,6.166579,6.079473,5.709375,1.464149,-2.198489,34.534549,5.474120
0.020000,6.185694,6.058136,5.738022,1.432317,-1.591570,30.345981,5.411968
0.020000,6.203202,6.036027,5.766224,1.410094,-1.111169,24.020019,5.352767
0.020000,6.219232,6.013202,5.794115,1.394558,-0.776810,16.717975,5.297052
0.020000,6.233886,5.989746,5.821772,1.382875,-0.584117,9.634640,5.245130
0.020000,6.247250,5.965766,5.849224,1.372611,-0.513213,3.545196,5.197116
0.020000,6.259399,5.941389,5.876462,1.361860,-0.537533,-1.216002,5.152972
0.020000,6.270406,5.916750,5.903447,1.349286,-0.628734,-4.560056,5.112552
0.020000,6.280339,5.891986,5.930129,1.334106,-0.758964,-6.511499,5.075644
0.020000,6.289269,5.867232,5.956445,1.315769,-0.916855,-7.894513,5.042001
0.020000,6.297266,5.842614,5.982329,1.294190,-1.078957,-8.105143,5.011361
0.020000,6.304400,5.818250,6.007716,1.269344,-1.242307,-8.167477,4.983464
0.020000,6.310740,5.794246,6.032544,1.241405,-1.396933,-7.731311,4.958062
0.020000,6.316354,5.770694,6.056755,1.210559,-1.542327,-7.269696,4.934922
0.020000,6.321304,5.747679,6.080296,1.177052,-1.675327,-6.649985,4.913832
0.020000,6.325653,5.725274,6.103119,1.141172,-1.794018,-5.934563,4.894601
0.020000,6.329459,5.703544,6.125181,1.103062,-1.905496,-5.573903,4.877055
0.020000,6.332775,5.682541,6.146443,1.063119,-1.997146,-4.582475,4.861040
0.020000,6.335651,5.662318,6.166870,1.021368,-2.087567,-4.521055,4.846419
0.020000,6.338135,5.642912,6.186434,0.978184,-2.159179,-3.580599,4.833071
0.020000,6.340269,5.624363,6.205106,0.933578,-2.230334,-3.557749,4.820888
0.020000,6.342093,5.606700,6.222862,0.887841,-2.286818,-2.824213,4.809775
0.020000,6.343643,5.589950,6.239684,0.841062,-2.338975,-2.607830,4.799648
0.020000,6.344953,5.574138,6.255550,0.793313,-2.387441,-2.423344,4.790433
0.020000,6.346051,5.559285,6.270444,0.744708,-2.430261,-2.140960,4.782065
0.020000,6.346967,5.545402,6.284357,0.695639,-2.453424,-1.158189,4.774484
0.020000,6.347726,5.532486,6.297296,0.646942,-2.434849,0.928776,4.767629
0.020000,6.348350,5.520509,6.309288,0.599623,-2.365936,3.445664,4.761437
0.020000,6.348863,5.509443,6.320366,0.553917,-2.285319,4.030814,4.755849
0.020000,6.349280,5.499259,6.330559,0.509643,-2.213695,3.581220,4.750817
0.020000,6.349617,5.489925,6.339899,0.466998,-2.132271,4.071213,4.746294
0.020000,6.349889,5.481407,6.348421,0.426095,-2.045134,4.356812,4.742239
