dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.533453,7.816318,0.000022,0.002204,0.110194,5.509698,6.268585
0.020000,0.533458,7.816318,0.000027,0.000248,-0.097796,-10.399507,6.268565
0.020000,0.533469,7.816318,0.000038,0.000558,0.015496,5.664597,6.268521
0.020000,0.533489,7.816318,0.000058,0.000992,0.021690,0.309711,6.268441
0.020000,0.533520,7.816317,0.000089,0.001549,0.027878,0.309397,6.268318
0.020000,0.533564,7.816317,0.000134,0.002230,0.034056,0.308882,6.268139
0.020000,0.534242,7.816306,0.000811,0.033876,1.582261,77.410265,6.267896
0.020000,0.535731,7.816283,0.002301,0.074486,2.030520,22.412952,6.267579
0.020000,0.537617,7.816253,0.004186,0.094270,0.989185,-52.066737,6.267178
0.020000,0.539944,7.816216,0.006514,0.116377,1.105388,5.810152,6.266684
0.020000,0.542760,7.816168,0.009330,0.140811,1.221665,5.813865,6.266086
0.020000,0.546110,7.816110,0.012681,0.167567,1.337825,5.807954,6.265375
0.020000,0.550043,7.816038,0.016614,0.196648,1.454034,5.810480,6.264541
0.020000,0.554603,7.815951,0.021175,0.228047,1.569978,5.797170,6.263575
0.020000,0.559837,7.815845,0.026411,0.261769,1.686071,5.804663,6.262469
0.020000,0.565792,7.815718,0.032367,0.297808,1.801941,5.793496,6.261212
0.020000,0.572513,7.815566,0.039090,0.336159,1.917547,5.780331,6.259796
0.020000,0.580048,7.815384,0.046626,0.376826,2.033363,5.790779,6.258212
0.020000,0.588441,7.815166,0.055022,0.419800,2.148717,5.767680,6.256452
0.020000,0.597739,7.814909,0.064324,0.465083,2.264136,5.770970,6.254508
0.020000,0.607988,7.814604,0.074577,0.512666,2.379141,5.750265,6.252371
0.020000,0.619233,7.814244,0.085828,0.562546,2.494031,5.744476,6.250034
0.020000,0.631520,7.813821,0.098123,0.614723,2.608837,5.740293,6.247491
0.020000,0.644895,7.813325,0.111506,0.669184,2.723061,5.711220,6.244733
0.020000,0.659402,7.812745,0.126025,0.725930,2.837262,5.710051,6.241756
0.020000,0.675086,7.812070,0.141724,0.784948,2.950933,5.683559,6.238553
0.020000,0.691993,7.811286,0.158649,0.846234,3.064285,5.667575,6.235119
0.020000,0.710142,7.810379,0.176821,0.908621,3.119356,2.753578,6.231455
0.020000,0.729533,7.809337,0.196240,0.970940,3.115932,-0.171240,6.227566
0.020000,0.750163,7.808146,0.216904,1.033183,3.112156,-0.188751,6.223457
0.020000,0.772027,7.806791,0.238811,1.095346,3.108161,-0.199778,6.219136
0.020000,0.795125,7.805257,0.261959,1.157424,3.103902,-0.212964,6.214609
0.020000,0.819452,7.803528,0.286347,1.219409,3.099251,-0.232553,6.209884
0.020000,0.845004,7.801589,0.311973,1.281293,3.094192,-0.252905,6.204968
0.020000,0.871778,7.799421,0.338834,1.343070,3.088848,-0.267203,6.199870
0.020000,0.899769,7.797010,0.366929,1.404735,3.083254,-0.279725,6.194600
0.020000,0.928972,7.794336,0.396255,1.466279,3.077183,-0.303549,6.189166
0.020000,0.959383,7.791382,0.426809,1.527693,3.070712,-0.323548,6.183580
0.020000,0.990996,7.788131,0.458588,1.588972,3.063962,-0.337511,6.177852
0.020000,1.023805,7.784565,0.491590,1.650109,3.056835,-0.356344,6.171993
0.020000,1.057804,7.780666,0.525812,1.711095,3.049291,-0.377207,6.166015
0.020000,1.092987,7.776415,0.561251,1.771923,3.041413,-0.393886,6.159932
0.020000,1.129346,7.771797,0.597902,1.832586,3.033175,-0.411920,6.153756
0.020000,1.166875,7.766792,0.635764,1.893077,3.024515,-0.432994,6.147501
0.020000,1.205567,7.761385,0.674832,1.953388,3.015545,-0.448506,6.141182
0.020000,1.245414,7.755558,0.715102,2.013512,3.006230,-0.465741,6.134813
0.020000,1.286407,7.749296,0.756571,2.073443,2.996536,-0.484686,6.128410
0.020000,1.328539,7.742583,0.799234,2.133174,2.986537,-0.499961,6.121989
0.020000,1.371802,7.735405,0.843088,2.192698,2.976217,-0.515982,6.115566
0.020000,1.416186,7.727748,0.888128,2.252009,2.965558,-0.532972,6.109159
0.020000,1.461684,7.719599,0.934350,2.311102,2.954633,-0.546226,6.102785
0.020000,1.508287,7.710946,0.981750,2.369970,2.943413,-0.561018,6.096462
0.020000,1.555986,7.701779,1.030322,2.428609,2.931925,-0.574386,6.090208
0.020000,1.604773,7.692088,1.080062,2.487012,2.920183,-0.587114,6.084042
0.020000,1.654640,7.681866,1.130966,2.545176,2.908198,-0.599223,6.077983
0.020000,1.705578,7.671105,1.183028,2.603096,2.895979,-0.610971,6.072051
0.020000,1.757579,7.659801,1.236243,2.660767,2.883548,-0.621553,6.066266
