dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.529803,7.566345,0.000022,0.002204,0.110194,5.509698,6.268585
0.020000,0.529803,7.566345,0.000110,0.006612,0.220388,5.509698,6.268565
0.020000,0.529803,7.566345,0.000309,0.013223,0.330582,5.509698,6.268521
0.020000,0.529803,7.566345,0.000661,0.022039,0.440776,5.509698,6.268441
0.020000,0.529803,7.566345,0.001212,0.033058,0.550970,5.509698,6.268318
0.020000,0.529803,7.566345,0.002006,0.046281,0.661164,5.509698,6.268139
0.020000,0.530420,7.566335,0.003085,0.061709,0.771358,5.509698,6.267896
0.020000,0.531830,7.566314,0.004496,0.079340,0.881552,5.509698,6.267579
0.020000,0.533615,7.566285,0.006281,0.099175,0.991746,5.509698,6.267178
0.020000,0.535819,7.566250,0.008485,0.121213,1.101940,5.509698,6.266684
0.020000,0.538485,7.566205,0.011152,0.145456,1.212134,5.509698,6.266086
0.020000,0.541658,7.566149,0.014325,0.171903,1.322328,5.509698,6.265375
0.020000,0.545382,7.566082,0.018050,0.200553,1.432522,5.509698,6.264541
0.020000,0.549701,7.565999,0.022369,0.231407,1.542715,5.509698,6.263575
0.020000,0.554658,7.565899,0.027328,0.264466,1.652909,5.509698,6.262469
0.020000,0.560299,7.565779,0.032970,0.299728,1.763103,5.509698,6.261212
0.020000,0.566667,7.565634,0.039339,0.337194,1.873297,5.509698,6.259796
0.020000,0.573805,7.565461,0.046480,0.376863,1.983491,5.509698,6.258212
0.020000,0.581758,7.565256,0.054436,0.418737,2.093685,5.509698,6.256452
0.020000,0.590571,7.565012,0.063251,0.462815,2.203879,5.509698,6.254508
0.020000,0.600285,7.564723,0.072970,0.509096,2.314073,5.509698,6.252371
0.020000,0.610947,7.564381,0.083637,0.557581,2.424267,5.509698,6.250034
0.020000,0.622598,7.563980,0.095296,0.608271,2.534461,5.509698,6.247491
0.020000,0.635284,7.563510,0.107990,0.661164,2.644655,5.509698,6.244733
0.020000,0.649047,7.562960,0.121764,0.716261,2.754849,5.509698,6.241756
0.020000,0.663932,7.562319,0.136663,0.773562,2.865043,5.509698,6.238553
0.020000,0.679981,7.561574,0.152729,0.833066,2.975237,5.509698,6.235119
0.020000,0.697216,7.560714,0.169985,0.892571,2.975237,0.000000,6.231455
0.020000,0.715635,7.559724,0.188432,0.952076,2.975237,-0.000000,6.227566
0.020000,0.735239,7.558592,0.208068,1.011581,2.975237,0.000000,6.223457
0.020000,0.756026,7.557304,0.228895,1.071085,2.975237,-0.000000,6.219136
0.020000,0.777994,7.555845,0.250912,1.130590,2.975237,0.000000,6.214609
0.020000,0.801143,7.554200,0.274118,1.190095,2.975237,-0.000000,6.209884
0.020000,0.825470,7.552353,0.298515,1.249600,2.975237,0.000000,6.204968
0.020000,0.850973,7.550289,0.324102,1.309104,2.975237,-0.000000,6.199870
0.020000,0.877652,7.547990,0.350880,1.368609,2.975237,0.000000,6.194600
0.020000,0.905502,7.545440,0.378847,1.428114,2.975237,0.000000,6.189166
0.020000,0.934523,7.542621,0.408004,1.487618,2.975237,-0.000000,6.183580
0.020000,0.964711,7.539517,0.438352,1.547123,2.975237,0.000000,6.177852
0.020000,0.996064,7.536109,0.469889,1.606628,2.975237,-0.000000,6.171993
0.020000,1.028578,7.532380,0.502617,1.666133,2.975237,0.000000,6.166015
0.020000,1.062251,7.528312,0.536534,1.725637,2.975237,-0.000000,6.159932
0.020000,1.097079,7.523888,0.571642,1.785142,2.975237,0.000000,6.153756
0.020000,1.133059,7.519090,0.607940,1.844647,2.975237,-0.000000,6.147501
0.020000,1.170186,7.513901,0.645428,1.904152,2.975237,0.000000,6.141182
0.020000,1.208457,7.508305,0.684106,1.963656,2.975237,0.000000,6.134813
0.020000,1.247868,7.502285,0.723974,2.023161,2.975237,0.000000,6.128410
0.020000,1.288414,7.495824,0.765033,2.082666,2.975237,-0.000000,6.121989
0.020000,1.330093,7.488909,0.807281,2.142171,2.975237,0.000000,6.115566
0.020000,1.372899,7.481524,0.850719,2.201675,2.975237,0.000000,6.109159
0.020000,1.416828,7.473656,0.895348,2.261180,2.975237,0.000000,6.102785
0.020000,1.461877,7.465292,0.941167,2.320685,2.975237,-0.000000,6.096462
0.020000,1.508041,7.456420,0.988175,2.380190,2.975237,0.000000,6.090208
0.020000,1.555316,7.447029,1.036374,2.439694,2.975237,0.000000,6.084042
0.020000,1.603699,7.437111,1.085763,2.499199,2.975237,-0.000000,6.077983
0.020000,1.653185,7.426657,1.136342,2.558704,2.975237,0.000000,6.072051
0.020000,1.703773,7.415660,1.188111,2.618209,2.975237,-0.000000,6.066266
0.020000,1.755459,7.404115,1.241071,2.677713,2.975237,0.000000,6.060648
0.020000,1.808240,7.392020,1.295220,2.737218,2.975237,-0.000000,6.055217
0.020000,1.862114,7.379371,1.350559,2.796723,2.975237,0.000000,6.049995
0.020000,1.917080,7.366169,1.407089,2.856227,2.975237,0.000000,6.045002
0.020000,1.973137,7.352416,1.464808,2.915732,2.975237,-0.000000,6.040260
0.020000,2.030285,7.338116,1.523718,2.975237,2.975237,0.000000,6.035791
0.020000,2.088524,7.323276,1.583818,3.034742,2.975237,0.000000,6.031617
0.020000,2.147854,7.307903,1.645108,3.094246,2.975237,0.000000,6.027760
0.020000,2.208279,7.292008,1.707588,3.153751,2.975237,-0.000000,6.024243
0.020000,2.269800,7.275606,1.771258,3.213256,2.975237,0.000000,6.021089
0.020000,2.332421,7.258711,1.836118,3.272761,2.975237,-0.000000,6.018322
0.020000,2.396147,7.241343,1.902168,3.332265,2.975237,0.000000,6.015965
0.020000,2.460962,7.223529,1.969386,3.389566,2.865043,-5.509698,6.014044
0.020000,2.526829,7.205306,2.037729,3.444663,2.754849,-5.509698,6.012584
0.020000,2.593716,7.186713,2.107151,3.497556,2.644655,-5.509698,6.011609
0.020000,2.661586,7.167794,2.177609,3.548246,2.534461,-5.509698,6.011143
0.020000,2.730408,7.148595,2.249059,3.596731,2.424267,-5.509698,6.011208
0.020000,2.800149,7.129164,2.321456,3.643012,2.314073,-5.509698,6.011827
0.020000,2.870779,7.109556,2.394757,3.687090,2.203879,-5.509698,6.013021
0.020000,2.938803,7.090724,2.468918,3.728964,2.093685,-5.509698,6.010904
0.020000,3.010931,7.070256,2.543894,3.768633,1.983491,-5.509698,6.002596
0.020000,3.083635,7.048999,2.619641,3.806099,1.873297,-5.509698,5.995018
0.020000,3.156880,7.027011,2.696116,3.841362,1.763103,-5.509698,5.988196
0.020000,3.230635,7.004350,2.773273,3.874420,1.652909,-5.509698,5.982150
0.020000,3.304871,6.981083,2.851070,3.905274,1.542715,-5.509698,5.976901
0.020000,3.379560,6.957275,2.929462,3.933924,1.432522,-5.509698,5.972466
0.020000,3.454678,6.932998,3.008405,3.960371,1.322328,-5.509698,5.968864
0.020000,3.530199,6.908325,3.087855,3.984614,1.212134,-5.509698,5.966109
0.020000,3.606103,6.883331,3.167768,4.006652,1.101940,-5.509698,5.964215
0.020000,3.682367,6.858096,3.248099,4.026487,0.991746,-5.509698,5.963196
0.020000,3.758973,6.832699,3.328805,4.044118,0.881552,-5.509698,5.963065
0.020000,3.835901,6.807222,3.409842,4.059546,0.771358,-5.509698,5.963833
0.020000,3.913132,6.781749,3.491165,4.072769,0.661164,-5.509698,5.965510
0.020000,3.990647,6.756366,3.572731,4.083788,0.550970,-5.509698,5.968108
0.020000,4.068428,6.731159,3.654495,4.092604,0.440776,-5.509698,5.971635
0.020000,4.146457,6.706217,3.736413,4.099215,0.330582,-5.509698,5.976098
0.020000,4.224713,6.681626,3.818441,4.103623,0.220388,-5.509698,5.981507
0.020000,4.303175,6.657477,3.900536,4.105827,0.110194,-5.509698,5.987865
0.020000,4.381805,6.633863,3.982635,4.104100,-0.086374,-9.828394,5.995176
0.020000,4.460562,6.610879,4.064678,4.100168,-0.196568,-5.509698,6.003440
0.020000,4.539420,6.588610,4.146620,4.094033,-0.306762,-5.509698,6.012655
0.020000,4.618350,6.567145,4.228417,4.085694,-0.416956,-5.509698,6.022817
0.020000,4.697321,6.546568,4.310025,4.075151,-0.527150,-5.509698,6.033921
0.020000,4.776299,6.526962,4.391401,4.062404,-0.637344,-5.509698,6.045956
0.020000,4.855246,6.508408,4.472499,4.047453,-0.747538,-5.509698,6.058908
0.020000,4.934121,6.490983,4.553277,4.030299,-0.857732,-5.509698,6.072759
0.020000,5.012879,6.474760,4.633689,4.010940,-0.967926,-5.509698,6.087485
0.020000,5.091472,6.459809,4.713693,3.989378,-1.078120,-5.509698,6.103057
0.020000,5.169847,6.446193,4.793242,3.965611,-1.188314,-5.509698,6.119443
0.020000,5.247948,6.433971,4.872295,3.939641,-1.298508,-5.509698,6.136600
0.020000,5.325715,6.423193,4.950806,3.911467,-1.408701,-5.509698,6.154484
0.020000,5.403084,6.413904,5.028732,3.881089,-1.518895,-5.509698,6.173042
0.020000,5.479987,6.406140,5.106028,3.848508,-1.629089,-5.509698,6.192217
0.020000,5.556356,6.399928,5.182650,3.813722,-1.739283,-5.509698,6.211944
0.020000,5.632117,6.395286,5.258554,3.776732,-1.849477,-5.509698,6.232156
0.020000,5.707196,6.392224,5.333697,3.737539,-1.959671,-5.509698,6.252777
0.020000,5.781517,6.390739,5.408034,3.696142,-2.069865,-5.509698,6.273733
0.020000,5.855002,6.390821,5.481521,3.652540,-2.180059,-5.509698,0.011757
0.020000,5.927575,6.392448,5.554114,3.606735,-2.290253,-5.509698,0.033140
0.020000,5.999160,6.395589,5.625768,3.558726,-2.400447,-5.509698,0.054613
0.020000,6.069680,6.400203,5.696441,3.508514,-2.510641,-5.509698,0.076097
0.020000,6.139063,6.406239,5.766087,3.456097,-2.620835,-5.509698,0.097510
0.020000,6.207237,6.413640,5.834662,3.401476,-2.731029,-5.509698,0.118778
0.020000,6.274133,6.422338,5.902124,3.344652,-2.841223,-5.509698,0.139826
0.020000,6.339689,6.432259,5.968426,3.285623,-2.951417,-5.509698,0.160587
0.020000,6.403857,6.443326,6.033544,3.226119,-2.975237,-1.191002,0.181003
0.020000,6.464051,6.454857,6.097471,3.166614,-2.975237,-0.000000,0.196906
0.020000,6.525471,6.467642,6.160208,3.107109,-2.975237,0.000000,0.213906
0.020000,6.585491,6.481264,6.221756,3.047605,-2.975237,-0.000000,0.232855
