dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.526153,7.316372,0.000022,0.002204,0.110194,5.509698,6.268585
0.020000,0.526148,7.316372,0.000027,0.000248,-0.097796,-10.399507,6.268565
0.020000,0.526137,7.316372,0.000038,0.000558,0.015496,5.664597,6.268521
0.020000,0.526117,7.316372,0.000058,0.000992,0.021690,0.309711,6.268441
0.020000,0.526086,7.316373,0.000089,0.001549,0.027878,0.309397,6.268318
0.020000,0.526042,7.316373,0.000134,0.002230,0.034056,0.308882,6.268139
0.020000,0.526598,7.316365,0.000690,0.027806,1.278782,62.236343,6.267896
0.020000,0.527929,7.316344,0.002021,0.066562,1.937791,32.950428,6.267579
0.020000,0.529613,7.316318,0.003706,0.084246,0.884199,-52.679584,6.267178
0.020000,0.531693,7.316284,0.005786,0.104010,0.988233,5.201694,6.266684
0.020000,0.534210,7.316241,0.008303,0.125859,1.092411,5.208886,6.266086
0.020000,0.537206,7.316189,0.011299,0.149790,1.196578,5.208360,6.265375
0.020000,0.540721,7.316125,0.014815,0.175808,1.300905,5.216361,6.264541
0.020000,0.544799,7.316047,0.018893,0.203911,1.405131,5.211299,6.263575
0.020000,0.549480,7.315953,0.023576,0.234104,1.509652,5.226046,6.262469
0.020000,0.554806,7.315839,0.028903,0.266387,1.614161,5.225442,6.261212
0.020000,0.560820,7.315703,0.034918,0.300760,1.718651,5.224510,6.259796
0.020000,0.567563,7.315539,0.041663,0.337232,1.823577,5.246308,6.258212
0.020000,0.575076,7.315345,0.049179,0.375799,1.928374,5.239851,6.256452
0.020000,0.583402,7.315114,0.057508,0.416470,2.033553,5.258926,6.254508
0.020000,0.592583,7.314841,0.066693,0.459245,2.138725,5.258614,6.252371
0.020000,0.602661,7.314519,0.076776,0.504129,2.244204,5.273936,6.250034
0.020000,0.613677,7.314139,0.087799,0.551130,2.350068,5.293188,6.247491
0.020000,0.625673,7.313694,0.099804,0.600249,2.455924,5.292821,6.244733
0.020000,0.638693,7.313174,0.112833,0.651495,2.562332,5.320389,6.241756
0.020000,0.652777,7.312568,0.126931,0.704873,2.668900,5.328404,6.238553
0.020000,0.667969,7.311863,0.142139,0.760391,2.775885,5.349243,6.235119
0.020000,0.684289,7.311048,0.158479,0.817016,2.831224,2.766971,6.231455
0.020000,0.701738,7.310110,0.175953,0.873708,2.834598,0.168696,6.227566
0.020000,0.720316,7.309038,0.194563,0.930472,2.838224,0.181309,6.223457
0.020000,0.740025,7.307816,0.214309,0.987317,2.842239,0.200718,6.219136
0.020000,0.760864,7.306432,0.235194,1.044249,2.846621,0.219133,6.214609
0.020000,0.782834,7.304871,0.257219,1.101275,2.851275,0.232676,6.209884
0.020000,0.805935,7.303117,0.280387,1.158399,2.856202,0.246364,6.204968
0.020000,0.830169,7.301156,0.304700,1.215629,2.861528,0.266296,6.199870
0.020000,0.855534,7.298970,0.330160,1.272975,2.867299,0.288552,6.194600
0.020000,0.882032,7.296544,0.356768,1.330442,2.873323,0.301177,6.189166
0.020000,0.909663,7.293860,0.384529,1.388035,2.879677,0.317737,6.183580
0.020000,0.938427,7.290902,0.413444,1.445765,2.886480,0.340147,6.177852
0.020000,0.968323,7.287653,0.443517,1.503638,2.893648,0.358377,6.171993
0.020000,0.999353,7.284094,0.474750,1.561661,2.901145,0.374838,6.166015
0.020000,1.031516,7.280208,0.507147,1.619842,2.909046,0.395049,6.159932
0.020000,1.064812,7.275979,0.540711,1.678188,2.917322,0.413811,6.153756
0.020000,1.099242,7.271388,0.575445,1.736706,2.925910,0.429408,6.147501
0.020000,1.134804,7.266418,0.611353,1.795404,2.934901,0.449563,6.141182
0.020000,1.171500,7.261052,0.648439,1.854289,2.944251,0.467465,6.134813
0.020000,1.209328,7.255273,0.686706,1.913368,2.953910,0.482961,6.128410
0.020000,1.248290,7.249065,0.726159,1.972646,2.963927,0.500874,6.121989
0.020000,1.288384,7.242413,0.766802,2.032131,2.974268,0.517029,6.115566
0.020000,1.329612,7.235300,0.808638,2.091829,2.984890,0.531104,6.109159
0.020000,1.371972,7.227713,0.851673,2.151746,2.995838,0.547391,6.102785
0.020000,1.415467,7.219637,0.895911,2.211887,3.007057,0.560950,6.096462
0.020000,1.460095,7.211060,0.941356,2.272258,3.018547,0.574507,6.090208
0.020000,1.505858,7.201970,0.988014,2.332864,3.030294,0.587341,6.084042
0.020000,1.552757,7.192356,1.035888,2.393710,3.042283,0.599474,6.077983
0.020000,1.600793,7.182208,1.084984,2.454800,3.054498,0.610733,6.072051
0.020000,1.649967,7.171519,1.135306,2.516138,3.066938,0.621983,6.066266
0.020000,1.700282,7.160280,1.186861,2.577730,3.079584,0.632344,6.060648
0.020000,1.751740,7.148488,1.239653,2.639578,3.092423,0.641936,6.055217
0.020000,1.804343,7.136137,1.293686,2.701688,3.105475,0.652619,6.049995
0.020000,1.858096,7.123227,1.348968,2.764062,3.118689,0.660662,6.045002
0.020000,1.913002,7.109756,1.405502,2.826704,3.132127,0.671929,6.040260
0.020000,1.969065,7.095728,1.463294,2.889619,3.145719,0.679572,6.035791
0.020000,2.026293,7.081145,1.522350,2.952809,3.159540,0.691043,6.031617
0.020000,2.084690,7.066014,1.582676,3.016280,3.173540,0.700006,6.027760
0.020000,2.144264,7.050343,1.644277,3.080036,3.187762,0.711120,6.024243
0.020000,2.205023,7.034144,1.707158,3.144080,3.202220,0.722910,6.021089
0.020000,2.266976,7.017429,1.771327,3.208418,3.216905,0.734236,6.018322
0.020000,2.330134,7.000216,1.836788,3.273056,3.231876,0.748560,6.015965
0.020000,2.394486,6.982529,1.903526,3.336903,3.192367,-1.975447,6.014044
0.020000,2.460002,6.964403,1.971503,3.398861,3.097921,-4.722324,6.012584
0.020000,2.526653,6.945876,2.040681,3.458921,3.002991,-4.746486,6.011609
0.020000,2.594411,6.926988,2.111023,3.517073,2.907569,-4.771101,6.011143
0.020000,2.663249,6.907784,2.182489,3.573306,2.811655,-4.795719,6.011208
0.020000,2.733139,6.888312,2.255041,3.627610,2.715240,-4.820750,6.011827
0.020000,2.804056,6.868624,2.328641,3.679977,2.618312,-4.846409,6.013021
0.020000,2.871571,6.849934,2.398695,3.502701,-8.863797,-574.105438,6.010904
0.020000,2.941701,6.830033,2.471593,3.644932,7.111581,798.768886,6.002596
0.020000,3.012586,6.809308,2.545446,3.692640,2.385386,-236.309746,5.995018
0.020000,3.084197,6.787809,2.620215,3.738442,2.290112,-4.763683,5.988196
0.020000,3.156508,6.765593,2.695861,3.782312,2.193493,-4.830970,5.982150
0.020000,3.229491,6.742718,2.772346,3.824228,2.095798,-4.884725,5.976901
