dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.581057,5.514108,0.000022,0.002211,0.110536,5.526805,0.032491
0.020000,1.581049,5.514108,0.000031,0.000426,-0.089228,-9.988198,0.032525
0.020000,1.581030,5.514107,0.000050,0.000959,0.026636,5.793207,0.032602
0.020000,1.580996,5.514106,0.000084,0.001705,0.037293,0.532860,0.032739
0.020000,1.580942,5.514104,0.000137,0.002664,0.047955,0.533065,0.032952
0.020000,1.580866,5.514102,0.000214,0.003836,0.058623,0.533401,0.033259
0.020000,1.580761,5.514098,0.000318,0.005222,0.069301,0.533897,0.033676
0.020000,1.580625,5.514094,0.000455,0.006822,0.079992,0.534583,0.034222
0.020000,1.582214,5.514149,0.002045,0.079491,3.633428,177.671794,0.034913
0.020000,1.584209,5.514219,0.004042,0.099850,1.017970,-130.772913,0.035767
0.020000,1.586625,5.514307,0.006458,0.120839,1.049437,1.573369,0.036801
0.020000,1.589498,5.514414,0.009334,0.143762,1.146165,4.836369,0.038033
0.020000,1.592869,5.514545,0.012708,0.168697,1.246765,5.029992,0.039480
0.020000,1.596779,5.514703,0.016620,0.195639,1.347091,5.016331,0.041162
0.020000,1.601266,5.514892,0.021111,0.224541,1.445093,4.900088,0.043095
0.020000,1.606370,5.515118,0.026220,0.255442,1.545047,4.997684,0.045299
0.020000,1.612129,5.515386,0.031986,0.288283,1.642041,4.849716,0.047792
0.020000,1.618584,5.515704,0.038448,0.323116,1.741677,4.981776,0.050594
0.020000,1.625772,5.516079,0.045646,0.359898,1.839053,4.868835,0.053723
0.020000,1.633733,5.516521,0.053619,0.398666,1.938433,4.969013,0.057201
0.020000,1.642505,5.517040,0.062407,0.439394,2.036392,4.897927,0.061048
0.020000,1.652127,5.517649,0.072048,0.482049,2.132745,4.817646,0.065284
0.020000,1.662636,5.518360,0.082581,0.526649,2.229999,4.862712,0.069931
0.020000,1.674070,5.519190,0.094045,0.573190,2.327047,4.852370,0.075010
0.020000,1.686466,5.520156,0.106479,0.621682,2.424596,4.877455,0.080544
0.020000,1.699860,5.521278,0.119920,0.672082,2.519989,4.769690,0.086555
0.020000,1.714290,5.522578,0.134408,0.724401,2.615984,4.799751,0.093068
0.020000,1.729771,5.524077,0.149961,0.777647,2.662310,2.316276,0.100095
0.020000,1.746298,5.525800,0.166578,0.830830,2.659118,-0.159578,0.107644
0.020000,1.763866,5.527770,0.184256,0.883911,2.654079,-0.251996,0.115719
