dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.589179,5.264240,0.000022,0.002211,0.110536,5.526805,0.032491
0.020000,1.589179,5.264240,0.000111,0.006632,0.221072,5.526805,0.032525
0.020000,1.589179,5.264240,0.000310,0.013264,0.331608,5.526805,0.032602
0.020000,1.589179,5.264240,0.000663,0.022107,0.442144,5.526805,0.032739
0.020000,1.589179,5.264240,0.001216,0.033161,0.552681,5.526805,0.032952
0.020000,1.589179,5.264240,0.002012,0.046425,0.663217,5.526805,0.033259
0.020000,1.589179,5.264240,0.003095,0.061900,0.773753,5.526805,0.033676
0.020000,1.589179,5.264240,0.004510,0.079586,0.884289,5.526805,0.034222
0.020000,1.590940,5.264301,0.006301,0.099482,0.994825,5.526805,0.034913
0.020000,1.593149,5.264379,0.008511,0.121590,1.105361,5.526805,0.035767
0.020000,1.595823,5.264476,0.011186,0.145908,1.215897,5.526805,0.036801
0.020000,1.599004,5.264595,0.014370,0.172436,1.326433,5.526805,0.038033
0.020000,1.602737,5.264740,0.018106,0.201176,1.436969,5.526805,0.039480
0.020000,1.607066,5.264915,0.022439,0.232126,1.547505,5.526805,0.041162
0.020000,1.612036,5.265124,0.027413,0.265287,1.658042,5.526805,0.043095
0.020000,1.617690,5.265374,0.033072,0.300658,1.768578,5.526805,0.045299
0.020000,1.624072,5.265671,0.039461,0.338240,1.879114,5.526805,0.047792
0.020000,1.631227,5.266024,0.046624,0.378033,1.989650,5.526805,0.050594
0.020000,1.639196,5.266440,0.054605,0.420037,2.100186,5.526805,0.053723
0.020000,1.648025,5.266930,0.063448,0.464252,2.210722,5.526805,0.057201
0.020000,1.657758,5.267506,0.073197,0.510677,2.321258,5.526805,0.061048
0.020000,1.668436,5.268181,0.083897,0.559313,2.431794,5.526805,0.065284
0.020000,1.680104,5.268971,0.095592,0.610159,2.542330,5.526805,0.069931
0.020000,1.692805,5.269893,0.108325,0.663217,2.652867,5.526805,0.075010
0.020000,1.706580,5.270967,0.122142,0.718485,2.763403,5.526805,0.080544
0.020000,1.721472,5.272214,0.137087,0.775963,2.873939,5.526805,0.086555
0.020000,1.737523,5.273659,0.153203,0.835653,2.984475,5.526805,0.093068
0.020000,1.754753,5.275329,0.170513,0.895342,2.984475,-0.000000,0.100095
0.020000,1.773157,5.277247,0.189017,0.955032,2.984475,0.000000,0.107644
0.020000,1.792731,5.279442,0.208714,1.014721,2.984475,-0.000000,0.115719
0.020000,1.813472,5.281944,0.229606,1.074411,2.984475,0.000000,0.124327
0.020000,1.835374,5.284782,0.251691,1.134100,2.984475,-0.000000,0.133471
0.020000,1.858431,5.287992,0.274970,1.193790,2.984475,0.000000,0.143157
