dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.597300,5.014372,0.000022,0.002211,0.110536,5.526805,0.032491
0.020000,1.597309,5.014372,0.000031,0.000426,-0.089228,-9.988198,0.032525
0.020000,1.597328,5.014373,0.000050,0.000959,0.026636,5.793207,0.032602
0.020000,1.597362,5.014374,0.000084,0.001705,0.037293,0.532860,0.032739
0.020000,1.597415,5.014376,0.000137,0.002664,0.047955,0.533065,0.032952
0.020000,1.597492,5.014378,0.000214,0.003836,0.058623,0.533401,0.033259
0.020000,1.597596,5.014382,0.000318,0.005222,0.069301,0.533897,0.033676
0.020000,1.597733,5.014386,0.000455,0.006822,0.079992,0.534583,0.034222
0.020000,1.599667,5.014453,0.002390,0.096772,4.497497,220.875255,0.034913
0.020000,1.602089,5.014539,0.004814,0.121191,1.220954,-163.827192,0.035767
0.020000,1.605021,5.014645,0.007748,0.146692,1.275019,2.703264,0.036801
0.020000,1.608510,5.014776,0.011239,0.174556,1.393206,5.909374,0.038033
0.020000,1.612604,5.014935,0.015337,0.204883,1.516343,6.156806,0.039480
0.020000,1.617354,5.015126,0.020090,0.237671,1.639438,6.154774,0.041162
0.020000,1.622806,5.015356,0.025548,0.272872,1.760043,6.030264,0.043095
0.020000,1.629011,5.015631,0.031758,0.310540,1.883399,6.167798,0.045299
0.020000,1.636016,5.015957,0.038771,0.350612,2.003583,6.009162,0.047792
0.020000,1.643870,5.016344,0.046634,0.393161,2.127448,6.193250,0.050594
0.020000,1.652620,5.016800,0.055397,0.438142,2.249080,6.081646,0.053723
0.020000,1.662318,5.017339,0.065109,0.485617,2.373710,6.231503,0.057201
0.020000,1.673010,5.017972,0.075820,0.535561,2.497208,6.174884,0.061048
0.020000,1.684746,5.018714,0.087579,0.587948,2.619378,6.108477,0.065284
0.020000,1.697573,5.019582,0.100435,0.642814,2.743299,6.196066,0.069931
0.020000,1.711539,5.020596,0.114439,0.700167,2.867637,6.216916,0.075010
0.020000,1.726694,5.021777,0.129639,0.760032,2.993260,6.281156,0.080544
0.020000,1.743084,5.023150,0.146087,0.822370,3.116904,6.182159,0.086555
0.020000,1.760757,5.024741,0.163831,0.887208,3.241896,6.249619,0.093068
0.020000,1.779735,5.026580,0.182898,0.953339,3.306519,3.231160,0.100095
0.020000,1.800016,5.028694,0.203289,1.019550,3.310557,0.201875,0.107644
0.020000,1.821596,5.031114,0.225005,1.085792,3.312133,0.078830,0.115719
0.020000,1.844474,5.033873,0.248048,1.152165,3.318614,0.324043,0.124327
